player,salary,proj_own,lo,hi
Terry McLaurin,5200,76.5,63.2,94.7
Javonte Williams,6400,55.8,36.8,68.4
Christian McCaffrey,8000,54.4,36.8,84.2
De'Von Achane,6700,54.4,31.6,68.4
Jake Ferguson,3800,51.6,36.8,68.4
George Pickens,6300,42.5,15.8,63.2
CeeDee Lamb,7300,41.1,26.3,63.2
Ashton Jeanty,6800,40.0,26.3,73.7
Jaxon Smith-Njigba,8100,39.3,21.1,52.6
Seattle Defense,3500,38.9,26.3,57.9
Brock Purdy,6200,37.2,21.1,52.6
Caleb Douglas,3700,35.8,21.1,52.6
LA Chargers Defense,3200,31.9,10.5,52.6
George Kittle,4600,30.5,15.8,47.4
Jadarian Price,5500,27.4,15.8,47.4
Dak Prescott,6400,27.0,10.5,42.1
Stefon Diggs,5300,22.8,5.3,42.1
J.K. Dobbins,5000,22.5,10.5,36.8
AJ Barner,3300,19.3,5.3,31.6
Jacksonville Defense,2400,16.8,5.3,36.8
Jayden Daniels,6300,15.8,5.3,31.6
Malik Washington,4000,15.4,0.0,31.6
Deebo Samuel Sr.,5300,11.2,5.3,26.3
Michael Mayer,3600,9.5,0.0,21.1
Trey McBride,6900,9.1,0.0,21.1
Parker Washington,5900,7.7,0.0,21.1
Justin Herbert,6000,6.0,0.0,15.8
Denver Defense,2800,6.0,0.0,15.8
Trevor Lawrence,5800,5.6,0.0,15.8
Ladd McConkey,6200,5.6,0.0,15.8
Bo Nix,5700,5.3,0.0,15.8
Las Vegas Defense,2600,4.9,0.0,15.8
Omarion Hampton,6600,4.6,0.0,10.5
Brenton Strange,3900,4.2,0.0,10.5
Tre Tucker,4500,3.2,0.0,10.5
Jalen Nailor,3900,2.8,0.0,15.8
Jeremiyah Love,5900,2.5,0.0,5.3
Greg Dulcich,3200,2.1,0.0,10.5
Quentin Johnston,5000,2.1,0.0,5.3
Jacoby Brissett,5000,1.4,0.0,5.3
Brian Thomas Jr.,4800,1.4,0.0,5.3
Drew Lock,4900,1.1,0.0,5.3
Jacory Croskey-Merritt,5500,1.1,0.0,5.3
Ryan Flournoy,3800,1.1,0.0,10.5
Malik Willis,5200,0.7,0.0,5.3
Mike Evans,6600,0.7,0.0,5.3
Jakobi Meyers,4900,0.7,0.0,5.3
Miami Defense,2000,0.7,0.0,5.3
Courtland Sutton,5800,0.7,0.0,10.5
Marvin Harrison Jr.,4900,0.4,0.0,5.3
