                        n  below_mc  below_cal  p10_mc  p10_cal  emp_q10
position bin                                                            
QB       (0, 3]      87.0     0.655      0.253   0.764    0.000   -0.300
         (3, 6]     222.0     0.662      0.230   2.389    0.000   -0.200
         (6, 10]    524.0     0.553      0.212   3.699    0.018   -0.200
         (10, 15]  1300.0     0.071      0.038   4.002    2.579    5.156
         (15, 20]  1387.0     0.040      0.050   5.675    6.705    9.264
         (20, 25]   750.0     0.053      0.125   7.824   11.272   10.220
         (25, 60]   256.0     0.059      0.242  10.185   16.538   12.960
RB       (0, 3]    3724.0     0.150      0.019   0.182    0.000    0.000
         (3, 6]    2400.0     0.145      0.048   0.487    0.132    0.100
         (6, 10]   2306.0     0.067      0.120   0.836    2.055    1.700
         (10, 15]  1878.0     0.055      0.193   1.930    5.738    3.670
         (15, 20]   848.0     0.054      0.268   3.591   10.046    6.100
         (20, 25]   346.0     0.043      0.254   4.511   14.150    7.950
         (25, 60]    97.0     0.000      0.309   5.678   18.684   12.200
TE       (0, 3]    2138.0     0.398      0.001   0.716    0.000    0.000
         (3, 6]    3229.0     0.181      0.074   0.706    0.253    0.000
         (6, 10]   1781.0     0.080      0.166   1.157    2.506    1.600
         (10, 15]   827.0     0.089      0.274   2.415    6.127    2.600
         (15, 20]   211.0     0.028      0.313   3.029   10.026    5.700
         (20, 25]     2.0     0.000      0.000   0.493   12.764   24.800
WR       (0, 3]    2560.0     0.538      0.023   0.697    0.000    0.000
         (3, 6]    4754.0     0.233      0.021   0.728    0.022    0.000
         (6, 10]   3859.0     0.089      0.102   1.114    1.434    1.500
         (10, 15]  3303.0     0.085      0.186   2.542    4.910    3.100
         (15, 20]  1555.0     0.064      0.231   3.831    8.807    5.500
         (20, 25]   359.0     0.028      0.248   4.108   12.447    8.680
         (25, 60]    17.0     0.000      0.529   2.709   15.375    7.020
