season,position,n,weeks,bias,MAE,RMSE,pearson,spearman_wxp,topN_actual,topN_hit,below_p10,above_p90
2014,DST,480,16,-0.4483843654552082,4.919594491017708,6.40822075165185,0.24781714634528632,0.24955277130182132,9.390625,0.5,0.06666666666666667,0.9
2014,QB,556,16,0.611479131931885,6.636761428721649,8.34523747767672,0.5138450393221901,0.4898374932080024,19.407708333333332,0.5052083333333333,0.14388489208633093,0.07913669064748201
2014,RB,1508,16,-0.1542088360903706,4.405797541000769,6.308514841338509,0.6417604826137753,0.6528151418846206,14.917708333333334,0.6171875,0.06962864721485411,0.15119363395225463
2014,TE,1002,16,-0.01525635050362709,4.052643261092271,5.656420196960562,0.522189784747165,0.5436506045092769,11.322395833333333,0.4635416666666667,0.07584830339321358,0.13672654690618763
2014,WR,1985,16,0.02466753507715558,5.214784656958778,7.222303777549928,0.5765447065422182,0.631846176057089,14.826284722222223,0.5625,0.0836272040302267,0.12090680100755667
2015,DST,480,16,0.03460633940937523,4.647583546136459,5.944643192926205,0.2050439709040389,0.19814426287946665,8.614583333333334,0.5,0.05416666666666667,0.9208333333333333
2015,QB,564,16,-0.028464780362773227,6.333788567595817,8.170333822582503,0.5782564501364076,0.5065220523610261,20.974270833333335,0.5104166666666666,0.13120567375886524,0.09574468085106383
2015,RB,1511,16,-0.16912558666932884,4.776695615362919,6.7973380183056085,0.5671909761836016,0.6349729449895605,13.74921875,0.5260416666666667,0.0900066181336863,0.14890800794176043
2015,TE,1008,16,-0.25287247839794197,3.954758908512902,5.753747466109717,0.5496736107855686,0.5684600471360316,12.500520833333333,0.5052083333333334,0.061507936507936505,0.1488095238095238
2015,WR,1988,16,-0.40529691587741623,5.341945778503828,7.422473007682775,0.5706365887077312,0.6029681993635624,15.440625,0.6024305555555556,0.08601609657947686,0.14386317907444668
2016,DST,480,16,0.39873659266458367,4.348742044972917,5.538016364867702,0.29151164110335515,0.29820046736806094,8.494791666666666,0.5520833333333333,0.04791666666666667,0.8979166666666667
2016,QB,558,16,0.4392385342650699,6.035739953451868,7.555707219767583,0.5779556998238095,0.5095351583022082,20.094375,0.5260416666666667,0.12903225806451613,0.07168458781362007
2016,RB,1428,16,-0.28733259034173186,4.509466931964696,6.510402798355608,0.6590341727142934,0.6911704606099749,15.197916666666668,0.59375,0.07633053221288516,0.14355742296918766
2016,TE,995,16,-0.5115084737946415,3.9848338158070904,5.750277252468974,0.5177400969780263,0.5765274609524127,11.644791666666666,0.4479166666666667,0.053266331658291456,0.18190954773869347
2016,WR,2056,16,0.03227660265781619,5.0733197863846975,6.968043182189803,0.5509451257316855,0.6206991515896199,14.125381944444444,0.546875,0.07441634241245136,0.11721789883268482
2017,DST,476,16,0.034961814684874214,4.646514730787815,5.96996762547502,0.2958188618311067,0.2702843202331771,9.511111111111113,0.5555555555555555,0.05672268907563025,0.8991596638655462
2017,QB,543,16,0.595735040394725,6.208125198581415,7.819287209349069,0.5297448052211577,0.5325197386221073,19.031041666666667,0.5260416666666667,0.12338858195211787,0.0847145488029466
2017,RB,1453,16,0.021231171768452274,4.579074150634725,6.473585392970279,0.6338402047304678,0.6794278286817184,14.87109375,0.59375,0.08189951823812801,0.12732278045423262
2017,TE,1050,16,-0.17191894661106027,3.7090823574444802,5.343089460263276,0.5036597896144601,0.5216584266852052,10.3828125,0.46875,0.06571428571428571,0.15904761904761905
2017,WR,2002,16,0.14009327029901203,4.748927842881527,6.571321740713103,0.5612323777627476,0.6234657607191239,13.195277777777779,0.5729166666666667,0.08141858141858142,0.11838161838161838
2018,DST,478,16,0.5998657553535568,4.641411722493723,5.7437631040840955,0.3184177287587089,0.30469111418386563,8.53125,0.5364583333333334,0.06694560669456066,0.8849372384937239
2018,QB,562,16,0.739877255261375,6.8315054695688415,8.785706552078151,0.5770545662570874,0.5843732836040441,21.96427083333333,0.546875,0.15658362989323843,0.09608540925266904
2018,RB,1395,16,-0.18987974800070903,4.79209402801011,6.861051710841816,0.6618611537709576,0.700395534737597,16.184739583333336,0.5989583333333333,0.07813620071684588,0.13405017921146953
2018,TE,1025,16,-0.4556021316723281,3.813594047168503,5.515195138658333,0.5530126936740777,0.5151668806448949,11.8375,0.49479166666666663,0.054634146341463415,0.16195121951219513
2018,WR,1988,16,-0.17276778415824537,5.204759128512149,7.267339790282672,0.5544558083161998,0.6083724072502668,14.826284722222223,0.5642361111111112,0.08450704225352113,0.12374245472837023
2019,DST,478,16,0.2877005181161091,4.88170137500523,6.161551451285033,0.27428325916290236,0.27210976809454623,9.036458333333332,0.5260416666666666,0.060669456066945605,0.9016736401673641
2019,QB,547,16,0.6216241851572001,6.53918642317694,8.276899417828323,0.5716458890100194,0.5417534847135462,21.009166666666665,0.5572916666666666,0.1480804387568556,0.07495429616087751
2019,RB,1410,16,-0.07986282758697692,4.767768460324922,6.843552215201915,0.6450137700003532,0.7087232854009857,16.047708333333333,0.6067708333333333,0.08581560283687943,0.12695035460992907
2019,TE,1020,16,-0.24187365531019955,3.7473008690247194,5.396051735968206,0.5546626660970511,0.5692081936985941,11.370833333333334,0.5104166666666667,0.061764705882352944,0.1480392156862745
2019,WR,2022,16,-0.08306011596640064,5.103072824650097,7.245545054349736,0.549465098285819,0.6201644373453781,14.174965277777776,0.5607638888888888,0.09000989119683482,0.12462908011869436
2020,DST,476,16,0.7998145341260507,4.38034299387605,5.5906768352048335,0.29647320242240227,0.3340924921539759,7.59375,0.5885416666666666,0.09243697478991597,0.8550420168067226
2020,QB,578,16,0.1362479394078287,6.391510488416879,8.152019949295552,0.6625084302554155,0.6489496831576951,22.9853125,0.546875,0.1384083044982699,0.10899653979238755
2020,RB,1396,16,-0.25828654385195904,4.9036471756162126,7.13937912723398,0.5666789633584369,0.6603437135841823,14.734114583333334,0.5807291666666667,0.08094555873925502,0.12535816618911175
2020,TE,1008,16,-0.3977329304661235,3.846342017456863,5.461336881487109,0.541994708393726,0.5418372112806742,11.236770833333333,0.4322916666666667,0.060515873015873016,0.14781746031746032
2020,WR,2085,16,-0.29964441143129766,5.378109616297917,7.418494346107331,0.5404482231069756,0.5900795519643498,14.783888888888889,0.5277777777777778,0.08489208633093526,0.13525179856115108
2021,DST,512,17,0.6795534837988284,4.62450456868164,5.716943672121966,0.2856826492649774,0.2873456860928196,8.24019607843137,0.5049019607843137,0.087890625,0.869140625
2021,QB,618,17,0.9371506335121237,6.3774114407704525,8.211252434942356,0.6083335610711365,0.6036761462017821,21.057254901960786,0.5539215686274509,0.14563106796116504,0.09061488673139159
2021,RB,1498,17,-0.27235101472150564,4.903131769943002,6.847630189140272,0.6034780808800174,0.6535917838769094,15.1293137254902,0.5882352941176471,0.10881174899866489,0.1341789052069426
2021,TE,1080,17,-0.12352282999367051,3.7688818649197815,5.450798658612174,0.5353453276985095,0.5638643193298344,11.511274509803924,0.4852941176470588,0.06481481481481481,0.1537037037037037
2021,WR,2281,17,-0.011734461887155018,4.8998412656861206,6.798308466857455,0.585902336258512,0.6384961715031947,14.293758169934641,0.5522875816993463,0.07715914072775099,0.13371328364752302
