Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
132913-89627,WR,Brycen,Brycen Tremayne,Tremayne,1.7692307692307692,13,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
132913-135325,TE,Rivaldo,Rivaldo Fairweather,Fairweather,,0,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
132913-80289,WR,Kendrick,Kendrick Bourne,Bourne,5.306666564941406,15,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
132913-112037,WR,Casey,Casey Washington,Washington,2.4799999237060546,5,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
132913-138277,WR,Jalen,Jalen Brooks,Brooks,1.149999976158142,4,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
132913-128681,TE,Caden,Caden Prieskorn,Prieskorn,,0,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
132913-102696,WR,John,John Metchie III,Metchie III,4.261538578913762,13,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
132913-87467,RB,Chuba,Chuba Hubbard,Hubbard,8.081250190734863,16,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
132913-128944,QB,Haynes,Haynes King,King,,0,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
132913-93107,RB,A.J.,A.J. Dillon,Dillon,1.2666666507720947,6,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
132913-69302,QB,Feleipe,Feleipe Franks,Franks,0.0800000011920929,5,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
132913-119606,QB,Bryce,Bryce Young,Young,15.117647058823529,17,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
132913-137525,WR,Malick,Malick Meiga,Meiga,,0,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
132913-226875,WR,Ja'seem,Ja'seem Reed,Reed,,0,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
132913-114109,WR,Ainias,Ainias Smith,Smith,2.839999961853027,5,8000,12000,CAR@ARI,CAR,ARI,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
132913-90428,RB,Tyler,Tyler Allgeier,Allgeier,6.823529411764706,17,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
132913-151740,RB,Corey,Corey Kiner,Kiner,2.075000047683716,4,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
132913-167620,WR,Tetairoa,Tetairoa McMillan,McMillan,10.722222222222221,18,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
132913-171332,WR,Reggie,Reggie Virgil,Virgil,,0,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
132913-201547,WR,Jalen,Jalen Coker,Coker,8.40000025431315,12,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
132913-152651,WR,Marvin,Marvin Harrison Jr.,Harrison Jr.,8.941666920979818,12,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
132913-102986,TE,Elijah,Elijah Higgins,Higgins,2.873333231608073,15,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
132913-114252,WR,Xavier,Xavier Weaver,Weaver,1.4571428298950195,7,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
132913-103252,RB,Zonovan,Zonovan Knight,Knight,6.825000127156575,12,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
132913-201685,WR,Gabriel,Gabriel Benyard,Benyard,,0,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
132913-72665,TE,Kenny,Kenny Yeboah,Yeboah,2.199999968210856,6,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
132913-142042,RB,Trey,Trey Benson,Benson,7.224999904632568,4,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
132913-91101,TE,Tommy,Tommy Tremble,Tremble,3.3812499046325684,16,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
132913-152159,WR,Bryson,Bryson Green,Green,,0,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
132913-86750,K,Chad,Chad Ryland,Ryland,7.647058823529412,17,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
132913-152669,TE,Jameson,Jameson Geers,Geers,,0,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
132913-86113,WR,Ihmir,Ihmir Smith-Marsette,Smith-Marsette,0.4,15,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
132913-85986,TE,James,James Mitchell,Mitchell,1.433333396911621,3,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
132913-93026,TE,Teagan,Teagan Quitoriano,Quitoriano,0,1,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
132913-172646,RB,Trevor,Trevor Etienne,Etienne,0.47777779897054035,18,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
