Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,Kyle Williams (43725166),Kyle Williams,43725166,WR/FLEX,3000,NE@CHI 08/03/2026 04:00PM ET,NE,0,
WR,Jacob Cowing (43725168),Jacob Cowing,43725168,WR/FLEX,3000,CIN@SF 08/03/2026 12:00PM ET,SF,0,
WR,Tyler Johnson (43725170),Tyler Johnson,43725170,WR/FLEX,3000,SEA@NYJ 08/03/2026 02:00PM ET,NYJ,0,
WR,Mitch Tinsley (43725172),Mitch Tinsley,43725172,WR/FLEX,3000,CIN@SF 08/03/2026 12:00PM ET,CIN,0,
WR,Dareke Young (43725174),Dareke Young,43725174,WR/FLEX,3000,SEA@NYJ 08/03/2026 02:00PM ET,SEA,0,
WR,Charlie Jones (43725176),Charlie Jones,43725176,WR/FLEX,3000,CIN@SF 08/03/2026 12:00PM ET,CIN,0.1,
WR,Jordan Watkins (43725178),Jordan Watkins,43725178,WR/FLEX,3000,CIN@SF 08/03/2026 12:00PM ET,SF,0,
WR,Efton Chism III (43725180),Efton Chism III,43725180,WR/FLEX,3000,NE@CHI 08/03/2026 04:00PM ET,NE,0,
WR,Arian Smith (43725182),Arian Smith,43725182,WR/FLEX,3000,SEA@NYJ 08/03/2026 02:00PM ET,NYJ,0,
WR,Cody White (43725184),Cody White,43725184,WR/FLEX,3000,SEA@NYJ 08/03/2026 02:00PM ET,SEA,0,
TE,Colston Loveland (43725198),Colston Loveland,43725198,TE/FLEX,3000,NE@CHI 08/03/2026 04:00PM ET,CHI,3.8,
DST,Bengals (43725223),Bengals,43725223,DST,3000,CIN@SF 08/03/2026 12:00PM ET,CIN,2.5,
DST,Bears (43725224),Bears,43725224,DST,2900,NE@CHI 08/03/2026 04:00PM ET,CHI,2.3,
DST,Seahawks (43725225),Seahawks,43725225,DST,2800,SEA@NYJ 08/03/2026 02:00PM ET,SEA,1.7,
TE,Noah Fant (43725200),Noah Fant,43725200,TE/FLEX,2600,CIN@SF 08/03/2026 12:00PM ET,CIN,2.3,
TE,Durham Smythe (43725202),Durham Smythe,43725202,TE/FLEX,2500,NE@CHI 08/03/2026 04:00PM ET,CHI,0.4,
TE,Jeremy Ruckert (43725204),Jeremy Ruckert,43725204,TE/FLEX,2500,SEA@NYJ 08/03/2026 02:00PM ET,NYJ,1.3,
TE,Austin Hooper (43725206),Austin Hooper,43725206,TE/FLEX,2500,NE@CHI 08/03/2026 04:00PM ET,NE,1.9,
TE,AJ Barner (43725208),AJ Barner,43725208,TE/FLEX,2500,SEA@NYJ 08/03/2026 02:00PM ET,SEA,1,
TE,Luke Farrell (43725210),Luke Farrell,43725210,TE/FLEX,2500,CIN@SF 08/03/2026 12:00PM ET,SF,1.1,
TE,Drew Sample (43725212),Drew Sample,43725212,TE/FLEX,2500,CIN@SF 08/03/2026 12:00PM ET,CIN,0.9,
TE,Eric Saubert (43725214),Eric Saubert,43725214,TE/FLEX,2500,SEA@NYJ 08/03/2026 02:00PM ET,SEA,0.5,
TE,Stone Smartt (43725216),Stone Smartt,43725216,TE/FLEX,2500,SEA@NYJ 08/03/2026 02:00PM ET,NYJ,0,
TE,Jake Tonges (43725218),Jake Tonges,43725218,TE/FLEX,2500,CIN@SF 08/03/2026 12:00PM ET,SF,0.2,
