player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available,_row_key,exp15,exp30,exp50,actual_ownership_pct,own,slate,injury_raw_status,injury_status
00-0033303,Harrison Butker,K,KC,7500,44105027,12.324225000000002,12.324225000000002,1.0,1.0,12.324225000000002,DEN,0.0,0.0,,,7.431900000000001,kicker_session_13_1,3.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPT,showdown,54.43181818181818,1.421274474992999,True,00-0033303::CPT,8.333333333333332,6.666666666666667,6.666666666666667,1.7,1.7,dk_showdown_wk1_Den_KC_14Sep2026,,
00-0032569,Wil Lutz,K,DEN,7800,44105026,12.13755,12.13755,1.0,1.0,12.13755,KC,0.0,0.0,,,7.3032,kicker_session_13_1,3.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPT,showdown,54.06818181818181,1.3872336197531894,True,00-0032569::CPT,5.0,3.3333333333333335,3.3333333333333335,0.93,0.93,dk_showdown_wk1_Den_KC_14Sep2026,,
DST_DEN,Broncos,DST,DEN,7200,44105028,10.420507737,10.420507737,1.0150128875900342,1.0184945611997045,10.420507737,KC,20.44,42.72,,,8.841149999999999,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPT,showdown,62.74999999999999,2.474651161482004,True,DST_DEN::CPT,3.3333333333333335,8.333333333333332,8.333333333333332,4.7,4.7,dk_showdown_wk1_Den_KC_14Sep2026,,
DST_KC,Chiefs,DST,KC,6600,44105029,10.11225172725,10.11225172725,0.9849871124099656,1.1101790031080925,10.11225172725,DEN,22.28,42.72,,,8.49225,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPT,showdown,72.8409090909091,4.8492628997119525,True,DST_KC::CPT,1.6666666666666667,3.3333333333333335,3.3333333333333335,0.83,0.83,dk_showdown_wk1_Den_KC_14Sep2026,,
00-0036158,J.K. Dobbins,RB,DEN,9600,44105022,11.9163,11.9163,0.8742349774343455,0.956928838951311,9.968957879884512,KC,20.44,42.72,10.0,1.0,10.67475,statline_mc+recal_10_4b,1.049319992191568,23.86484248952505,0.0,0.0,0.0,9.54375,39.243218849134514,0.227,0.82475,0.63075,3.8290003500955625,0.02225,CPT,showdown,59.11363636363637,1.9419161636069964,True,00-0036158::CPT,0.0,1.6666666666666667,1.6666666666666667,6.47,6.47,dk_showdown_wk1_Den_KC_14Sep2026,,
00-0040730,RJ Harvey,RB,DEN,7400,44104964,11.1945,11.1945,0.8742349774343455,0.956928838951311,9.365097854343816,KC,20.44,42.72,17.0,1.0,7.354,statline_mc+recal_10_4b,1.9443081118926115,19.85804877167846,0.0,0.0,0.0,8.16875,25.92420036450913,0.282,3.18725,2.5025,16.751778178929047,0.12775,FLEX,showdown,68.02272727272727,17.1657814439157,True,00-0040730::FLEX,38.333333333333336,36.666666666666664,35.0,18.46,18.46,dk_showdown_wk1_Den_KC_14Sep2026,,
00-0038134,Kenneth Walker III,RB,KC,10600,44104957,11.467,11.467,0.7716516452170188,1.0430711610486891,9.229651183497564,DEN,22.28,42.72,17.0,1.0,7.4474,statline_mc+recal_10_4b,1.7691017018083044,20.677078361655617,0.0,0.0,0.0,11.67,42.94955382070361,0.22375,2.2625,1.81825,12.196958014272022,0.04425,FLEX,showdown,75.47727272727273,28.215956415740457,True,00-0038134::FLEX,8.333333333333332,18.333333333333332,26.666666666666668,48.47,48.47,dk_showdown_wk1_Den_KC_14Sep2026,,
00-0034348,Courtland Sutton,WR,DEN,8000,44104963,10.133,10.133,0.8883781436614301,0.956928838951311,8.614184446506297,KC,20.44,42.72,17.0,1.0,7.4242,statline_mc+recal_10_4b,1.5952734954796588,18.589016867886844,0.0,0.0,0.0,0.0,0.0,0.0,5.34625,3.20575,37.07934446506297,0.24175,FLEX,showdown,64.8409090909091,13.884828082800638,True,00-0034348::FLEX,16.666666666666664,26.666666666666668,26.666666666666668,24.23,24.23,dk_showdown_wk1_Den_KC_14Sep2026,,
00-0030506,Travis Kelce,TE,KC,7000,44104965,7.9984,7.9984,1.0267224734124816,1.0430711610486891,8.565801105392973,DEN,22.28,42.72,17.0,1.0,6.5857,statline_mc+recal_10_4b,1.663131972651806,18.491749724699183,0.0,0.0,0.0,0.0,0.0,0.0,4.574,3.1595,36.92801105392973,0.25025,FLEX,showdown,75.02272727272727,27.373752544969165,True,00-0030506::FLEX,35.0,46.666666666666664,46.666666666666664,34.5,34.5,dk_showdown_wk1_Den_KC_14Sep2026,,
00-0036613,Jaylen Waddle,WR,DEN,13500,44105016,10.0683,10.0683,0.8883781436614301,0.956928838951311,8.55920849808831,KC,20.44,42.72,16.0,1.0,9.82845,statline_mc+recal_10_4b,1.1990893224665649,18.24669398382227,0.0,0.0,0.0,0.27775,1.5952565494568656,0.0065,3.34575,2.08425,24.501133437798536,0.143,CPT,showdown,51.29545454545456,1.1531105045581609,True,00-0036613::CPT,0.0,0.0,0.0,11.1,11.1,dk_showdown_wk1_Den_KC_14Sep2026,,
