slate,rule,n_pool,pts,pct,top10,top1
wk1_Den_KC,avg_top10_est,350,65.33,0.38449999999999995,False,False
wk1_Den_KC,worst_top10_est,350,65.33,0.38449999999999995,False,False
wk1_Den_KC,avg_top1_est,350,56.019999999999996,0.22283333333333333,False,False
wk1_Den_KC,avg_pct_est,350,65.33,0.38449999999999995,False,False
wk1_Den_KC,raw_proj_est,350,65.33,0.38449999999999995,False,False
wk1_Den_KC,avg_top10_real,350,65.33,0.38449999999999995,False,False
wk1_Den_KC,worst_top10_real,350,74.33000000000001,0.5441666666666667,False,False
wk1_Den_KC,avg_top1_real,350,74.05000000000001,0.54,False,False
wk1_Den_KC,avg_pct_real,350,65.33,0.38449999999999995,False,False
wk1_Den_KC,raw_proj_real,350,65.33,0.38449999999999995,False,False
wk2_NYG_LAR,avg_top10_est,350,127.23,0.9743333333333334,True,False
wk2_NYG_LAR,worst_top10_est,350,135.17000000000002,0.9938333333333333,True,True
wk2_NYG_LAR,avg_top1_est,350,135.17000000000002,0.9938333333333333,True,True
wk2_NYG_LAR,avg_pct_est,350,85.97,0.5489999999999999,False,False
wk2_NYG_LAR,raw_proj_est,350,85.97,0.5489999999999999,False,False
wk2_NYG_LAR,avg_top10_real,350,135.17000000000002,0.9938333333333333,True,True
wk2_NYG_LAR,worst_top10_real,350,135.17000000000002,0.9938333333333333,True,True
wk2_NYG_LAR,avg_top1_real,350,135.17000000000002,0.9938333333333333,True,True
wk2_NYG_LAR,avg_pct_real,350,70.88000000000001,0.29666666666666663,False,False
wk2_NYG_LAR,raw_proj_real,350,85.97,0.5489999999999999,False,False
