,avg_top10,min_top10,avg_top1,avg_pct,desc,proj
4,21.47,18.0,2.8650000000000007,64.95827899999995,"CPT Adams | Stafford, Dart, Williams, Rams(D), Giants(D)  [LA4/NYG2]",93.63191673838988
368,21.394999999999996,16.76,3.585000000000001,63.99154800000001,"CPT Williams | Dart, Nabers, Adams, Likely, Smith  [LA3/NYG3]",93.6169127101939
247,21.365000000000002,15.559999999999999,3.1900000000000004,63.409878500000005,"CPT Likely | Stafford, Dart, Nabers, Adams, Mumpfield  [NYG3/LA3]",91.13911717588668
151,21.235,15.440000000000001,4.22,57.58995349999998,"CPT Likely | Stafford, Dart, Nabers, Mevis(K), Zvada(K)  [NYG4/LA2]",89.69582855551974
327,21.12,16.28,4.130000000000001,54.54827599999999,"CPT Nabers | Stafford, Dart, Skattebo, Rams(D), Singletary  [NYG4/LA2]",89.74885612552205
347,21.12,16.32,3.34,60.623933000000065,"CPT Dart | Williams, Nabers, Likely, Rams(D), Corum  [NYG3/LA3]",93.76789009431309
560,21.12,17.560000000000002,2.64,63.329768500000014,"CPT Adams | Stafford, Williams, Nabers, Rams(D), Parkinson  [LA5/NYG1]",93.16347044121888
399,21.119999999999997,18.6,3.61,60.54909149999999,"CPT Williams | Stafford, Adams, Likely, Rams(D), Corum  [LA5/NYG1]",92.6327810989307
346,21.115000000000002,15.120000000000001,2.6550000000000002,63.753360999999984,"CPT Dart | Stafford, Nabers, Adams, Rams(D), Singletary  [NYG3/LA3]",95.17363025722463
461,21.03,17.080000000000002,4.105,59.16448599999996,"CPT Williams | Dart, Nabers, Likely, Zvada(K), Corum  [NYG4/LA2]",92.3972559148897
174,21.0,15.0,3.875,57.3279105,"CPT Likely | Stafford, Dart, Nabers, Zvada(K), Corum  [NYG4/LA2]",89.28631499453135
350,20.955,16.0,3.3100000000000005,63.58768450000001,"CPT Dart | Stafford, Adams, Likely, Zvada(K), Rams(D)  [NYG3/LA3]",95.50548081518119
323,20.89,13.68,3.66,60.757032499999994,"CPT Dart | Stafford, Williams, Nabers, Giants(D), Singletary  [NYG4/LA2]",93.53696965361543
6,20.839999999999996,17.84,2.4949999999999997,63.943332500000004,"CPT Williams | Dart, Nabers, Adams, Rams(D), Parkinson  [LA4/NYG2]",94.14357641940997
21,20.815,18.4,3.5549999999999997,61.93724249999999,"CPT Stafford | Williams, Adams, Likely, Rams(D), Corum  [LA5/NYG1]",94.56147490706961
355,20.775000000000006,16.48,4.665000000000001,57.72482600000001,"CPT Nabers | Dart, Williams, Adams, Zvada(K), Singletary  [NYG4/LA2]",91.04123926721587
523,20.640000000000004,15.0,4.175,55.020191,"CPT Nabers | Dart, Williams, Likely, Fields, Parkinson  [NYG4/LA2]",89.35619314707988
70,20.64,15.24,2.8950000000000005,60.697487999999964,"CPT Dart | Stafford, Nabers, Likely, Corum, Parkinson  [NYG3/LA3]",94.19155975575133
325,20.630000000000003,14.84,4.584999999999999,60.47440250000007,"CPT Dart | Stafford, Williams, Likely, Zvada(K), Giants(D)  [NYG4/LA2]",93.868820211572
91,20.525,16.08,2.8949999999999996,64.35801049999998,"CPT Dart | Stafford, Williams, Nabers, Parkinson, Singletary  [NYG3/LA3]",95.17091417004255
436,20.48,14.64,3.66,61.38786000000004,"CPT Dart | Williams, Nabers, Adams, Rams(D), Giants(D)  [NYG3/LA3]",93.91881865590625
437,20.455,15.160000000000002,2.415,63.30060299999999,"CPT Dart | Stafford, Williams, Nabers, Zvada(K), Rivers  [NYG3/LA3]",94.53976538911168
482,20.424999999999997,17.919999999999998,2.42,63.87496250000001,"CPT Williams | Stafford, Dart, Likely, Rams(D), Parkinson  [LA4/NYG2]",94.0550254015757
314,20.365,14.92,4.345,55.328580500000015,"CPT Nabers | Dart, Adams, Likely, Mevis(K), Zvada(K)  [NYG4/LA2]",90.47139841391304
140,20.365,18.88,2.23,62.90911299999995,"CPT Williams | Stafford, Dart, Adams, Mevis(K), Mumpfield  [LA5/NYG1]",93.2621254687884
89,20.355,15.52,2.575,63.640323499999965,"CPT Dart | Stafford, Williams, Nabers, Zvada(K), Mumpfield  [NYG3/LA3]",94.73949010834319
489,20.32,16.400000000000002,3.035,65.39026949999995,"CPT Williams | Stafford, Nabers, Adams, Likely, Smith  [LA4/NYG2]",94.03251835436632
253,20.215,16.32,2.635,66.91055299999996,"CPT Stafford | Williams, Nabers, Adams, Likely, Smith  [LA4/NYG2]",95.96121216250522
528,20.18,13.52,3.4299999999999997,55.21758450000005,"CPT Nabers | Stafford, Dart, Likely, Corum, Giants(D)  [NYG4/LA2]",89.92962672232657
214,20.15,13.56,3.1799999999999997,61.38587299999996,"CPT Adams | Stafford, Dart, Nabers, Zvada(K), Giants(D)  [NYG4/LA2]",92.69542790063048
356,20.14,15.24,3.06,63.30455800000004,"CPT Dart | Stafford, Williams, Nabers, Zvada(K), Ferguson  [NYG3/LA3]",94.96964290620565
352,20.09,14.96,2.6850000000000005,62.43274749999998,"CPT Dart | Stafford, Williams, Nabers, Fields, Mumpfield  [NYG3/LA3]",93.73890350219212
204,20.064999999999998,15.079999999999998,2.8449999999999998,62.39547149999996,"CPT Adams | Stafford, Dart, Nabers, Likely, Berrios  [NYG4/LA2]",92.34234094878775
73,20.034999999999997,15.4,2.745,63.27353649999999,"CPT Rams(D) | Stafford, Dart, Williams, Adams, Mevis(K)  [LA5/NYG1]",88.71657529547497
305,19.994999999999997,18.12,2.31,62.493766500000014,"CPT Williams | Stafford, Dart, Adams, Mevis(K), Rivers  [LA5/NYG1]",93.06240074955689
395,19.985,16.0,3.36,60.22384300000003,"CPT Dart | Williams, Nabers, Adams, Corum, Singletary  [NYG3/LA3]",93.33306422322512
239,19.975,15.76,2.85,62.12395149999996,"CPT Adams | Dart, Williams, Nabers, Zvada(K), Parkinson  [LA3/NYG3]",92.78641737054647
116,19.960000000000004,15.120000000000001,3.11,61.78462700000003,"CPT Nabers | Dart, Williams, Adams, Corum, Parkinson  [LA4/NYG2]",92.62716366784734
527,19.950000000000003,13.320000000000002,3.5399999999999996,58.38357150000001,"CPT Nabers | Stafford, Dart, Williams, Giants(D), Singletary  [NYG4/LA2]",90.9089811366178
85,19.945,15.2,3.6349999999999993,60.0911845,"CPT Williams | Dart, Nabers, Adams, Zvada(K), Giants(D)  [NYG4/LA2]",92.54818447648286
599,19.93,14.24,5.07,51.71851850000003,"CPT Likely | Stafford, Dart, Nabers, Fields, Giants(D)  [NYG5/LA1]",85.83010947436867
671,19.924999999999997,14.96,3.005,62.99327400000006,"CPT Zvada(K) | Stafford, Dart, Williams, Nabers, Rams(D)  [NYG3/LA3]",88.83294389898137
537,19.875,13.96,2.915,62.34549100000001,"CPT Nabers | Stafford, Dart, Williams, Parkinson, Giants(D)  [NYG3/LA3]",92.83106909823765
158,19.87,16.72,1.8400000000000003,64.83422749999995,"CPT Adams | Stafford, Dart, Williams, Rams(D), Singletary  [LA4/NYG2]",93.34377329319713
45,19.855,15.440000000000001,2.015,65.77920699999996,"CPT Likely | Stafford, Dart, Williams, Adams, Smith  [LA4/NYG2]",91.48101320109497
480,19.81,17.36,2.375,63.29209399999998,"CPT Williams | Stafford, Dart, Likely, Corum, Parkinson  [LA4/NYG2]",93.75741441408734
119,19.799999999999997,16.2,2.2800000000000002,64.88279399999998,"CPT Dart | Stafford, Williams, Likely, Rams(D), Parkinson  [LA4/NYG2]",95.46421215449911
554,19.789999999999996,17.0,1.8250000000000002,62.92688050000004,"CPT Adams | Stafford, Dart, Williams, Rams(D), Higbee  [LA5/NYG1]",92.57104746758483
148,19.785,14.84,2.8449999999999998,63.26340699999996,"CPT Rams(D) | Stafford, Dart, Williams, Nabers, Zvada(K)  [LA3/NYG3]",88.78475318210637
34,19.720000000000002,15.0,2.7199999999999998,64.36276649999996,"CPT Stafford | Dart, Adams, Likely, Zvada(K), Rams(D)  [LA3/NYG3]",96.0249878703967
335,19.69,10.040000000000001,3.88,59.61059599999997,"CPT Giants(D) | Stafford, Dart, Nabers, Adams, Likely  [NYG4/LA2]",85.05269569106773
520,19.66,15.28,2.54,62.458960499999996,"CPT Nabers | Dart, Williams, Adams, Rams(D), Parkinson  [LA4/NYG2]",92.92477465533572
167,19.654999999999994,17.84,2.785,63.290012000000004,"CPT Williams | Stafford, Dart, Nacua, Rams(D), Smith  [LA5/NYG1]",93.12740087725733
