player_id,player_name,position,team,salary,OLD,FIX_NS,FIX,stack_delta,proj_pass_att,act,slate_id,week,sub
00-0039139,Jahmyr Gibbs,RB,DET,8000,22.53305319015452,27.976052175604117,22.88766896216625,-5.088383213437865,0.0,37.6,dk_classic_wk1_main_13Sep2026,1,main
00-0036355,Justin Herbert,QB,LAC,6100,20.68664733412292,27.33024679634977,21.36247831533048,-5.967768481019288,34.867,14.26,dk_classic_wk1_main_13Sep2026,1,main
00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.62979510471524,21.008930841447683,20.144252760375984,-0.8646780810716983,0.0,28.7,dk_classic_wk1_main_13Sep2026,1,main
00-0033106,Jared Goff,QB,DET,6000,18.342062949007893,23.657101453634592,19.469672879483834,-4.187428574150758,37.35275,16.44,dk_classic_wk1_main_13Sep2026,1,main
00-0036442,Joe Burrow,QB,CIN,6900,17.99742322037352,29.599487443097487,24.498315818794488,-5.101171624302999,36.53675,15.16,dk_classic_wk1_main_13Sep2026,1,main
00-0036389,Jalen Hurts,QB,PHI,6600,17.892576087855044,26.462229640033208,22.31003375442352,-4.152195885609689,33.53725,24.72,dk_classic_wk1_main_13Sep2026,1,main
00-0040666,Omarion Hampton,RB,LAC,6800,16.20804079937417,18.618160578181456,16.777252706242056,-1.8409078719394003,0.0,9.3,dk_classic_wk1_main_13Sep2026,1,main
00-0036223,Jonathan Taylor,RB,IND,7300,15.781346558821948,16.564388230854117,17.971256217107303,1.406867986253186,0.0,26.1,dk_classic_wk1_main_13Sep2026,1,main
00-0034855,Baker Mayfield,QB,TB,5900,15.61896700756827,22.219777511567266,18.5668624182726,-3.65291509329467,34.6435,14.64,dk_classic_wk1_main_13Sep2026,1,main
00-0036900,Ja'Marr Chase,WR,CIN,7800,15.478328049566953,15.295478426614228,18.518927306601977,3.2234488799877496,0.0,3.2,dk_classic_wk1_main_13Sep2026,1,main
