player_id,player_name,position,team,salary,OLD,FIX_NS,FIX,stack_delta,proj_pass_att,act,slate_id,week,sub
00-0035710,Daniel Jones,QB,IND,5400,11.929150112176329,21.774698346592224,17.03788363341757,-4.7368147131746525,35.0035,10.04,dk_classic_wk1_main_13Sep2026,1,main
00-0036919,Kenny Gainwell,RB,TB,5200,11.403112575188343,14.09883475619272,11.972338782034065,-2.126495974158658,0.0,2.8,dk_classic_wk1_main_13Sep2026,1,main
00-0035261,Tony Pollard,RB,TEN,5600,11.27486039931067,15.312081984943006,13.791049787672502,-1.521032197270504,0.0,4.4,dk_classic_wk1_main_13Sep2026,1,main
DST_JAX,Jaguars,DST,JAX,3400,11.049392187,11.049392187,11.049392187,0.0,0.0,13.0,dk_classic_wk1_main_13Sep2026,1,main
00-0037744,Trey McBride,TE,ARI,6800,10.936001759160748,13.226647410646123,16.06392340399859,2.837275993352465,0.0,24.5,dk_classic_wk1_main_13Sep2026,1,main
00-0036912,DeVonta Smith,WR,PHI,6600,10.9029221361297,12.751528840908332,14.00689460179318,1.2553657608848496,0.0,8.3,dk_classic_wk1_main_13Sep2026,1,main
00-0037664,Alec Pierce,WR,IND,5700,10.898483956169004,13.407335242818538,11.8884021128175,-1.518933130001038,0.0,10.1,dk_classic_wk1_main_13Sep2026,1,main
00-0036970,Kyle Pitts Sr.,TE,ATL,4700,10.855232536849162,13.45560205368322,12.41216249792722,-1.0434395557559988,0.0,0.0,dk_classic_wk1_main_13Sep2026,1,main
00-0036322,Justin Jefferson,WR,MIN,7300,10.818186532904289,12.356399152385046,17.63349323102324,5.277094078638195,0.0,31.2,dk_classic_wk1_main_13Sep2026,1,main
00-0037228,Jaylen Warren,RB,PIT,5400,10.44406156865399,14.268125913830715,12.536438679128189,-1.7316872347025285,0.0,11.3,dk_classic_wk1_main_13Sep2026,1,main
00-0033293,Aaron Jones Sr.,RB,MIN,5300,10.3344486995771,12.32670078014705,12.221666527970845,-0.1050342521762068,0.0,10.0,dk_classic_wk1_main_13Sep2026,1,main
00-0039065,Sam LaPorta,TE,DET,4400,9.91908542682592,10.951731797698438,9.993189146591016,-0.9585426511074218,0.0,9.8,dk_classic_wk1_main_13Sep2026,1,main
00-0038129,Cade Otton,TE,TB,3700,9.850493360832951,11.941248447455273,9.195092172116638,-2.7461562753386346,0.0,5.6,dk_classic_wk1_main_13Sep2026,1,main
00-0040124,Tetairoa McMillan,WR,CAR,6100,9.770910430528147,11.795414528358538,12.999015288854562,1.2036007604960233,0.0,11.5,dk_classic_wk1_main_13Sep2026,1,main
DST_TEN,Titans,DST,TEN,3100,9.6909051285,9.6909051285,9.6909051285,0.0,0.0,0.0,dk_classic_wk1_main_13Sep2026,1,main
00-0029604,Kirk Cousins,QB,LV,5000,9.4491328603946,62.17185654269591,33.85973966872341,-28.312116873972503,134.49925,15.8,dk_classic_wk1_main_13Sep2026,1,main
00-0039040,De'Von Achane,RB,MIA,7000,9.378043205433666,11.230912058401811,14.327881168908714,3.096969110506901,0.0,10.6,dk_classic_wk1_main_13Sep2026,1,main
00-0040676,Cam Ward,QB,TEN,5100,9.354594449679436,10.333632122435548,11.17277451799744,0.8391423955618915,22.51225,11.7,dk_classic_wk1_main_13Sep2026,1,main
00-0039163,C.J. Stroud,QB,HOU,5200,9.272678514082228,13.423147289327298,12.807155492505917,-0.6159917968213815,33.34525,18.46,dk_classic_wk1_main_13Sep2026,1,main
00-0036410,Tee Higgins,WR,CIN,6300,9.24431884397184,9.301522146559236,12.45447004597596,3.1529478994167253,0.0,8.9,dk_classic_wk1_main_13Sep2026,1,main
00-0035228,Kyler Murray,QB,MIN,5500,9.202174500675918,57.03344931090496,32.91641745845341,-24.117031852451547,134.94325,0.62,dk_classic_wk1_main_13Sep2026,1,main
DST_PIT,Steelers,DST,PIT,3300,9.168019785,9.168019785,9.168019785,0.0,0.0,18.0,dk_classic_wk1_main_13Sep2026,1,main
00-0037248,James Cook III,RB,BUF,7200,9.140371819211472,10.04871873924941,14.758492184546064,4.709773445296655,0.0,9.9,dk_classic_wk1_main_13Sep2026,1,main
00-0036264,Jordan Love,QB,GB,5700,9.062340588200437,11.119133896391263,13.118868973275852,1.9997350768845887,30.972,24.48,dk_classic_wk1_main_13Sep2026,1,main
00-0036139,Rico Dowdle,RB,PIT,5200,9.040256496039726,12.317194664183226,12.078411424324107,-0.2387832398591189,0.0,4.1,dk_classic_wk1_main_13Sep2026,1,main
00-0037238,Drake London,WR,ATL,6500,8.946937189956953,11.015824670924427,13.779525928411411,2.763701257486984,0.0,5.5,dk_classic_wk1_main_13Sep2026,1,main
