Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5263917673,brucew92,0,206.72,DST Raiders  FLEX Jaxon Smith-Njigba QB Kirk Cousins RB Christian McCaffrey RB Bhayshul Tuten TE Michael Mayer WR CeeDee Lamb WR Stefon Diggs WR Tre Tucker,,Christian McCaffrey,RB,45.90%,22.6
2,5263975265,EagleEye3434,0,190.36,DST Jaguars  FLEX Jake Ferguson QB Dak Prescott RB Omarion Hampton RB Javonte Williams TE Michael Mayer WR Jaxon Smith-Njigba WR CeeDee Lamb WR Stefon Diggs,,Ashton Jeanty,RB,45.50%,10.3
3,5264091676,corbdaddy,0,186.26,DST 49ers  FLEX Jaxon Smith-Njigba QB Dak Prescott RB Jadarian Price RB Jacory Croskey-Merritt TE Michael Mayer WR CeeDee Lamb WR Stefon Diggs WR Tre Tucker,,Javonte Williams,RB,36.48%,8
4,5263889724,MFDunn89,0,186.06,DST Jaguars  FLEX Tre Tucker QB Dak Prescott RB Ashton Jeanty RB Jadarian Price TE Jake Ferguson WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,CeeDee Lamb,WR,33.01%,38.3
5,5263902561,tbeaver04,0,182.26,DST Jaguars  FLEX Stefon Diggs QB Dak Prescott RB Christian McCaffrey RB Bhayshul Tuten TE Evan Engram WR Jaxon Smith-Njigba WR CeeDee Lamb WR Jack Bech,,Michael Mayer,TE,32.91%,5.3
6,5263963348,jerseyking1,0,181.06001,DST Cowboys  FLEX Michael Mayer QB Dak Prescott RB Omarion Hampton RB J.K. Dobbins TE Jake Ferguson WR Jaxon Smith-Njigba WR CeeDee Lamb WR Parker Washington,,Jaxon Smith-Njigba,WR,30.30%,45.5
7,5264022423,La3peet,0,180.38,DST Broncos  FLEX Jake Ferguson QB Brock Purdy RB Christian McCaffrey RB Javonte Williams TE Michael Mayer WR Jaxon Smith-Njigba WR CeeDee Lamb WR Caleb Douglas,,49ers ,DST,30.11%,8
8,5263916870,dhelm83,0,180.36,DST Cardinals  FLEX Trey McBride QB Dak Prescott RB Bhayshul Tuten RB Jacory Croskey-Merritt TE Jake Ferguson WR Jaxon Smith-Njigba WR CeeDee Lamb WR Demarcus Robinson,,Brock Purdy,QB,29.88%,28.48
9,5263916817,Costanzuh,0,180.2,DST 49ers  FLEX AJ Barner QB Drew Lock RB Omarion Hampton RB Jacory Croskey-Merritt TE George Kittle WR Jaxon Smith-Njigba WR CeeDee Lamb WR Parker Washington,,George Pickens,WR,27.80%,10
10,5263941950,fishlvd,0,180.06001,DST 49ers  FLEX Stefon Diggs QB Dak Prescott RB Christian McCaffrey RB Tyler Allgeier TE Jake Ferguson WR Jaxon Smith-Njigba WR Quentin Johnston WR Tre Tucker,,Parker Washington,WR,23.76%,16.8
11,5264024623,Lawman12,0,179.56001,DST Jaguars  FLEX Jake Ferguson QB Dak Prescott RB Christian McCaffrey RB Ashton Jeanty TE Michael Mayer WR Jaxon Smith-Njigba WR CeeDee Lamb WR Jack Bech,,Terry McLaurin,WR,22.56%,7
12,5262758860,majormario,0,179.38,DST Jaguars  FLEX Josh Cameron QB Brock Purdy RB Christian McCaffrey RB Ashton Jeanty TE Michael Mayer WR Jaxon Smith-Njigba WR CeeDee Lamb WR Tre Tucker,,Deebo Samuel Sr.,WR,22.29%,6.5
13,5263284967,TSkittles,0,177.48,DST 49ers  FLEX Jonah Coleman QB Brock Purdy RB Christian McCaffrey RB Ashton Jeanty TE George Kittle WR Jaxon Smith-Njigba WR Tre Tucker WR Caleb Douglas,,Mike Evans,WR,21.76%,8.4
14,5263960384,icecoldnbold,0,177.37999,DST 49ers  FLEX CeeDee Lamb QB Brock Purdy RB Jacory Croskey-Merritt RB J.K. Dobbins TE George Kittle WR Jaxon Smith-Njigba WR Jakobi Meyers WR Tre Tucker,,Jaguars ,DST,21.68%,3
15,5260372330,omes16,0,177.2,DST 49ers  FLEX AJ Barner QB Drew Lock RB Ashton Jeanty RB Omarion Hampton TE Jake Ferguson WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,Dak Prescott,QB,20.56%,29.76
16,5259583005,rlf22,0,177.06,DST 49ers  FLEX Jake Ferguson QB Dak Prescott RB Christian McCaffrey RB Jadarian Price TE Evan Engram WR Jaxon Smith-Njigba WR CeeDee Lamb WR Caleb Douglas,,Stefon Diggs,WR,19.05%,21.7
17,5262456967,Dutch_22,0,176.95999,DST 49ers  FLEX Malik Washington QB Dak Prescott RB Ashton Jeanty RB Bhayshul Tuten TE Jake Ferguson WR Jaxon Smith-Njigba WR CeeDee Lamb WR Jalen Nailor,,Trey McBride,TE,17.41%,18.1
18,5264091022,Honker91,0,176.68001,DST Cardinals  FLEX Parker Washington QB Brock Purdy RB Javonte Williams RB Bhayshul Tuten TE Jake Ferguson WR Jaxon Smith-Njigba WR CeeDee Lamb WR Kendrick Bourne,,Caleb Douglas,WR,14.84%,3.9
19,5259116425,B.Ajer,0,175.96,DST Broncos  FLEX David Njoku QB Dak Prescott RB Christian McCaffrey RB Javonte Williams TE Jake Ferguson WR Jaxon Smith-Njigba WR CeeDee Lamb WR Pat Bryant,,Trevor Lawrence,QB,14.36%,7.16
20,5264047772,fantasylegend44,0,175.76,DST Broncos  FLEX Jake Ferguson QB Dak Prescott RB Christian McCaffrey RB J.K. Dobbins TE Michael Mayer WR Jaxon Smith-Njigba WR CeeDee Lamb WR Quentin Johnston,,Jayden Daniels,QB,14.34%,14.74
21,5263772993,cwbyaikman,0,175.26,DST Broncos  FLEX Kyle Juszczyk QB Dak Prescott RB Christian McCaffrey RB J.K. Dobbins TE Oronde Gadsden II WR Jaxon Smith-Njigba WR CeeDee Lamb WR Brian Thomas Jr.,,Jacory Croskey-Merritt,RB,13.60%,5.8
22,5263970662,youngmoneyYM,0,175.1,DST Raiders  FLEX George Kittle QB Drew Lock RB Ashton Jeanty RB Jeremiyah Love TE Michael Mayer WR Jaxon Smith-Njigba WR CeeDee Lamb WR Parker Washington,,Quentin Johnston,WR,13.52%,2.4
23,5261104882,stickymeatflowers,0,174.76001,DST 49ers  FLEX Luke Farrell QB Dak Prescott RB Christian McCaffrey RB Ashton Jeanty TE Jake Ferguson WR Jaxon Smith-Njigba WR CeeDee Lamb WR Josh Cameron,,Seahawks ,DST,11.48%,8
24,5263114070,Munkracing,0,174.37999,DST Raiders  FLEX Stefon Diggs QB Brock Purdy RB Christian McCaffrey RB Jeremiyah Love TE Brenton Strange WR Jaxon Smith-Njigba WR Terry McLaurin WR Tre Tucker,,Jake Ferguson,TE,10.70%,20.3
25,5264092266,signutz,0,173.95999,DST 49ers  FLEX Jaxon Smith-Njigba QB Dak Prescott RB Christian McCaffrey RB Bhayshul Tuten TE David Njoku WR CeeDee Lamb WR Demarcus Robinson WR Ryan Flournoy,,Bhayshul Tuten,RB,10.62%,14.2
26,5259107615,REBEBIS,0,173.90001,DST Raiders  FLEX George Kittle QB Drew Lock RB Christian McCaffrey RB Ashton Jeanty TE Jake Ferguson WR Jaxon Smith-Njigba WR Parker Washington WR Terry McLaurin,,Omarion Hampton,RB,10.05%,18.5
27,5262107963,LOCNOTM,0,173.68,DST Broncos  FLEX George Kittle QB Brock Purdy RB De'Von Achane RB J.K. Dobbins TE Evan Engram WR Jaxon Smith-Njigba WR CeeDee Lamb WR Parker Washington,,George Kittle,TE,9.55%,18
28,5263271342,Jojo9114,0,173.66,DST Seahawks  FLEX Jake Ferguson QB Dak Prescott RB Bhayshul Tuten RB Jacory Croskey-Merritt TE Michael Mayer WR Jaxon Smith-Njigba WR CeeDee Lamb WR Ladd McConkey,,Antonio Williams,WR,9.08%,5.4
29,5264088834,kristy1231,0,173.36002,DST 49ers  FLEX Michael Mayer QB Dak Prescott RB Jacory Croskey-Merritt RB J.K. Dobbins TE Jake Ferguson WR Jaxon Smith-Njigba WR CeeDee Lamb WR Parker Washington,,Broncos ,DST,9.00%,8
30,5264010300,fourjfloors,0,172.88,DST 49ers  FLEX Cooper Kupp QB Brock Purdy RB Christian McCaffrey RB Rachaad White TE Michael Mayer WR Jaxon Smith-Njigba WR CeeDee Lamb WR Demarcus Robinson,,Jadarian Price,RB,8.98%,6
31,5262580203,feeltheroar,0,172.86,DST Jaguars  FLEX Jake Ferguson QB Dak Prescott RB Jadarian Price RB J.K. Dobbins TE George Kittle WR Jaxon Smith-Njigba WR CeeDee Lamb WR Mike Evans,,Brenton Strange,TE,8.49%,3.7
32,5264083675,blainehenhen,0,172.78001,DST 49ers  FLEX Jake Ferguson QB Brock Purdy RB Jadarian Price RB Jacory Croskey-Merritt TE George Kittle WR Jaxon Smith-Njigba WR CeeDee Lamb WR Quentin Johnston,,Cardinals ,DST,8.35%,2
33,5258411950,rshigley88,0,172.56001,DST 49ers  FLEX John Bates QB Dak Prescott RB Ashton Jeanty RB J.K. Dobbins TE Jake Ferguson WR Jaxon Smith-Njigba WR CeeDee Lamb WR Parker Washington,,De'Von Achane,RB,7.95%,12.3
34,5262297428,nothinbutdave,0,172.40001,DST Broncos  FLEX Kimani Vidal QB Drew Lock RB Christian McCaffrey RB De'Von Achane TE Jake Ferguson WR Jaxon Smith-Njigba WR CeeDee Lamb WR Cooper Kupp,,Evan Engram,TE,7.78%,2.7
35,5263333054,ajlars2,0,172.18,DST Raiders  FLEX Jake Ferguson QB Brock Purdy RB Ashton Jeanty RB J.K. Dobbins TE Michael Mayer WR Jaxon Smith-Njigba WR CeeDee Lamb WR Mike Evans,,Javonte Williams,FLEX,7.51%,8
