Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
24,5259776965,Freecash,0,196.76,DST Patriots  FLEX Aaron Jones Sr. QB Dak Prescott RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR CeeDee Lamb WR Jalen Coker WR Rashod Bateman,,Carson Wentz,QB,10.26%,6.32
25,5259214299,Schimm86,0,196.22,DST Panthers  FLEX Jaxon Smith-Njigba QB Caleb Williams RB Chuba Hubbard RB Aaron Jones Sr. TE Dalton Schultz WR CeeDee Lamb WR Luther Burden III WR Jalen Coker,,Baker Mayfield,QB,10.05%,13.18
26,5260980607,uheameboi23,0,196.16,DST Titans  FLEX Michael Mayer QB Dak Prescott RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Garrett Wilson,,Colston Loveland,TE,9.63%,1.3
27,5260499472,Umlklb,0,196.06,DST Patriots  FLEX Aaron Jones Sr. QB Dak Prescott RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR CeeDee Lamb WR Matthew Golden WR Tre Tucker,,Caleb Williams,QB,9.56%,8.72
28,5262868337,WyattB_FF,0,195.96,DST Panthers  FLEX Christian McCaffrey QB Dak Prescott RB Bucky Irving RB Aaron Jones Sr. TE Dalton Schultz WR CeeDee Lamb WR Parker Washington WR Terry McLaurin,,Mark Andrews,TE,9.47%,10.9
29,5262719136,Dwood1131,0,195.58,DST Buccaneers  FLEX Dalton Schultz QB Bryce Young RB Derrick Henry RB Aaron Jones Sr. TE Mark Andrews WR Jaxon Smith-Njigba WR CeeDee Lamb WR Jalen Coker,,Jayden Daniels,QB,9.40%,14.74
30,5263451655,isubmityou,0,195.16,DST Panthers  FLEX Michael Mayer QB Dak Prescott RB Derrick Henry RB Javonte Williams TE Dalton Schultz WR Ja'Marr Chase WR CeeDee Lamb WR Jalen Coker,,Michael Mayer,TE,9.37%,5.3
31,5257015715,ppass,0,195,DST Panthers  FLEX Jaxon Smith-Njigba QB Jordan Love RB De'Von Achane RB J.K. Dobbins TE Dalton Schultz WR CeeDee Lamb WR Garrett Wilson WR Matthew Golden,,49ers ,DST,9.23%,8
32,5256525237,JoshSHOCKZ,0,194.96,DST Panthers  FLEX Javonte Williams QB Dak Prescott RB Derrick Henry RB Chuba Hubbard TE Dalton Schultz WR CeeDee Lamb WR George Pickens WR Rashod Bateman,,Mike Evans,WR,9.21%,8.4
33,5260355519,pare0076,0,194.68,DST Eagles  FLEX Dalton Schultz QB Brock Purdy RB Derrick Henry RB Saquon Barkley TE Darren Waller WR Jaxon Smith-Njigba WR CeeDee Lamb WR Devaughn Vele,,David Montgomery,RB,8.90%,4.4
34,5263444105,Lewsgiff,0,194.58,DST Patriots  FLEX Derrick Henry QB Bryce Young RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR CeeDee Lamb WR Tetairoa McMillan WR Rashod Bateman,,Devaughn Vele,WR,8.75%,11.4
34,5261767561,spike4505,0,194.57999,DST Texans  FLEX Jaxon Smith-Njigba QB Baker Mayfield RB Christian McCaffrey RB Chuba Hubbard TE Dalton Schultz WR CeeDee Lamb WR Stefon Diggs WR Caleb Douglas,,Stefon Diggs,WR,8.45%,21.7
36,5262720777,BurnsandBears,0,193.98,DST Patriots  FLEX Mark Andrews QB Geno Smith RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR DeVonta Smith WR Garrett Wilson,,Parker Washington,WR,8.26%,16.8
37,5259642240,time717,0,193.76001,DST Patriots  FLEX Jalen Coker QB Dak Prescott RB Bijan Robinson RB Omarion Hampton TE Dalton Schultz WR CeeDee Lamb WR Stefon Diggs WR Matthew Golden,,Jaxon Smith-Njigba,WR,7.68%,45.5
