Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5247708130,cashyobe,0,252.84,DST Jets  FLEX Derrick Henry QB Bryce Young RB Jahmyr Gibbs RB Bijan Robinson TE Michael Mayer WR Chris Olave WR DJ Moore WR Jalen Coker,,Jahmyr Gibbs,RB,41.44%,37.6
2,5245391422,Cellar_Dwellars,0,241.90001,DST Jets  FLEX Tyler Warren QB Tyler Shough RB Jahmyr Gibbs RB D'Andre Swift TE Dallas Goedert WR Amon-Ra St. Brown WR Chris Olave WR Jalen Coker,,Ja'Marr Chase,WR,30.35%,3.2
3,5248072755,annointed712,0,240.66,DST Bengals  FLEX Trey McBride QB Caleb Williams RB Jahmyr Gibbs RB D'Andre Swift TE Colston Loveland WR Chris Olave WR Jalen Coker WR Devaughn Vele,,Chris Olave,WR,26.39%,31.2
4,5246084815,Butterjc81,0,239,DST Steelers  FLEX Christian Watson QB Tyler Shough RB Jahmyr Gibbs RB Derrick Henry TE Sam LaPorta WR Chris Olave WR Parker Washington WR Devaughn Vele,,Michael Mayer,TE,26.25%,9.2
5,5253162886,otc69us,0,238.24,DST Raiders  FLEX David Montgomery QB Jared Goff RB Derrick Henry RB Ashton Jeanty TE Michael Mayer WR Amon-Ra St. Brown WR Chris Olave WR Jalen Coker,,Omarion Hampton,RB,20.68%,9.3
6,5250510527,Earlcampbell34,0,236.8,DST Steelers  FLEX David Montgomery QB Tyler Shough RB Jahmyr Gibbs RB D'Andre Swift TE Dallas Goedert WR Chris Olave WR DJ Moore WR KC Concepcion,,Jaguars ,DST,18.06%,13
7,5236840098,boilermaker105,0,236.62,DST Bengals  FLEX Dalton Kincaid QB Jalen Hurts RB Derrick Henry RB D'Andre Swift TE Kyle Pitts Sr. WR Justin Jefferson WR Chris Olave WR Jalen Coker,,Saquon Barkley,RB,17.64%,9
8,5250637219,protectmyhouse22,0,236.59999,DST Jaguars  FLEX Ashton Jeanty QB Tyler Shough RB Jahmyr Gibbs RB D'Andre Swift TE Cade Otton WR Chris Olave WR Zay Flowers WR Devaughn Vele,,Amon-Ra St. Brown,WR,17.14%,28.7
9,5244644534,Rschlag121,0,236.48,DST Raiders  FLEX Jalen Coker QB Jordan Love RB Ashton Jeanty RB D'Andre Swift TE Tyler Warren WR Justin Jefferson WR Christian Watson WR Garrett Wilson,,Garrett Wilson,WR,15.27%,13.9
10,5252078723,screagle52,0,233.84,DST Steelers  FLEX Zay Flowers QB Bryce Young RB Jahmyr Gibbs RB Jonathan Taylor TE Michael Mayer WR Chris Olave WR Luther Burden III WR Jalen Coker,,Jets ,DST,15.21%,9
11,5249907502,vinny1520,0,233.73999,DST Jaguars  FLEX Ashton Jeanty QB Bryce Young RB Jahmyr Gibbs RB Bijan Robinson TE Michael Mayer WR Zay Flowers WR Josh Downs WR Jalen Coker,,Ladd McConkey,WR,14.24%,19.2
12,5243846766,TheTeamYouLostTo,0,233.56001,DST Jaguars  FLEX Derrick Henry QB Josh Allen RB Ashton Jeanty RB Bucky Irving TE Sam LaPorta WR Chris Olave WR Wan'Dale Robinson WR Jalen Coker,,De'Von Achane,RB,13.74%,10.6
13,5242094650,jesse8525,0,231.7,DST Jaguars  FLEX Chris Olave QB Tyler Shough RB Jahmyr Gibbs RB Bucky Irving TE Juwan Johnson WR Zay Flowers WR Ladd McConkey WR Jalen Coker,,Juwan Johnson,TE,13.32%,14.4
14,5244078494,paulyrocketballzzz,0,231.29999,DST Jaguars  FLEX Derrick Henry QB Tyler Shough RB Jahmyr Gibbs RB Jonathan Taylor TE Juwan Johnson WR Chris Olave WR Jalen Coker WR Tre Tucker,,Tetairoa McMillan,WR,12.38%,11.5
15,5244820889,king5877,0,231.06,DST Buccaneers  FLEX Chris Olave QB Josh Allen RB Jahmyr Gibbs RB David Montgomery TE Juwan Johnson WR DJ Moore WR Luther Burden III WR Jalen Coker,,Justin Herbert,QB,12.01%,14.26
16,5252364113,maccat33,0,231.04,DST Browns  FLEX Jalen Coker QB Bryce Young RB Jahmyr Gibbs RB D'Andre Swift TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Tetairoa McMillan,,Joe Burrow,QB,11.99%,15.16
17,5245914195,STAXtheALLSTAR,0,229.51999,DST Steelers  FLEX Dallas Goedert QB Jalen Hurts RB Jahmyr Gibbs RB Jonathan Taylor TE Juwan Johnson WR Zay Flowers WR Ladd McConkey WR Jalen Coker,,Tyler Shough,QB,11.19%,29.2
