Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
24,5246887450,paintgirl,0,227.09999,DST Steelers  FLEX Sam LaPorta QB Tyler Shough RB Jahmyr Gibbs RB Derrick Henry TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Devaughn Vele,,Chris Godwin Jr.,WR,11.71%,8.3
25,5254189294,cnomar5050,0,226.76001,DST Jaguars  FLEX Jahmyr Gibbs QB Lamar Jackson RB Breece Hall RB D'Andre Swift TE Juwan Johnson WR Zay Flowers WR Wan'Dale Robinson WR Jalen Coker,,Derrick Henry,RB,11.02%,38.3
25,5253658739,ItsSwils,0,226.76,DST Jaguars  FLEX Jahmyr Gibbs QB Josh Allen RB Breece Hall RB D'Andre Swift TE Juwan Johnson WR Parker Washington WR Wan'Dale Robinson WR Jalen Coker,,Baker Mayfield,QB,10.60%,14.64
27,5254161676,AKEELER77,0,226.2,DST Steelers  FLEX David Montgomery QB Tyler Shough RB Derrick Henry RB D'Andre Swift TE Juwan Johnson WR Chris Olave WR Tetairoa McMillan WR Parker Washington,,Parker Washington,WR,10.51%,19.3
28,5253071448,gtefend,0,225.93999,DST Steelers  FLEX Breece Hall QB Bryce Young RB Jahmyr Gibbs RB David Montgomery TE Dalton Kincaid WR Tetairoa McMillan WR Garrett Wilson WR Jalen Coker,,Jared Goff,QB,10.46%,16.44
29,5253585712,JHOOPER436,0,225.3,DST Jaguars  FLEX Chase Brown QB Tyler Shough RB Jahmyr Gibbs RB Bijan Robinson TE Dalton Schultz WR Chris Olave WR Jalen Coker WR Devaughn Vele,,Jalen Coker,WR,10.44%,36.8
30,5252888096,zdub2020,0,225.2,DST Browns  FLEX Jalen Coker QB Tyler Shough RB Jahmyr Gibbs RB Derrick Henry TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Khalil Shakir,,Emeka Egbuka,WR,10.13%,11.3
30,5254174572,tiger1978,0,225.2,DST Steelers  FLEX Derrick Henry QB Tyler Shough RB Jahmyr Gibbs RB Jonathan Taylor TE Colston Loveland WR Parker Washington WR Jalen Coker WR Devaughn Vele,,Mark Andrews,TE,9.90%,8.9
32,5253819683,Lukev,0,225.16,DST Bears  FLEX David Montgomery QB Joe Burrow RB Derrick Henry RB Bucky Irving TE Mike Gesicki WR Amon-Ra St. Brown WR Chris Olave WR Jalen Coker,,David Montgomery,RB,9.82%,28.9
33,5248816513,eaglesnation83,0,224.56,DST Steelers  FLEX Juwan Johnson QB Caleb Williams RB Jahmyr Gibbs RB D'Andre Swift TE Colston Loveland WR Chris Olave WR Garrett Wilson WR Jalen Coker,,Travis Etienne Jr.,RB,9.63%,14.8
34,5249961958,Freshca,0,224.09999,DST Jaguars  FLEX Derrick Henry QB Tyler Shough RB Jahmyr Gibbs RB Bijan Robinson TE Juwan Johnson WR Chris Olave WR Keenan Allen WR Devaughn Vele,,Trevor Lawrence,QB,8.99%,26.1
35,5253765292,asilletta13,0,224.04,DST Jets  FLEX Derrick Henry QB Bryce Young RB D'Andre Swift RB David Montgomery TE Colston Loveland WR Amon-Ra St. Brown WR Tetairoa McMillan WR Jalen Coker,,Breece Hall,RB,8.88%,22.8
36,5252885985,djp1033,0,223.46,DST Steelers  FLEX Derrick Henry QB Caleb Williams RB Jahmyr Gibbs RB Bijan Robinson TE Harold Fannin Jr. WR Garrett Wilson WR Jalen Coker WR Xavier Hutchinson,,Jameson Williams,WR,8.43%,8.5
37,5253556985,tzofosho,0,222.54,DST Jaguars  FLEX Jalen Coker QB Jared Goff RB Jahmyr Gibbs RB D'Andre Swift TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Adonai Mitchell,,Tony Pollard,RB,8.38%,4.4
38,5252420607,Lizard401,0,222.3,DST Jets  FLEX Colston Loveland QB Tyler Shough RB Jahmyr Gibbs RB D'Andre Swift TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Jalen Coker,,Browns ,DST,8.36%,0
39,5251162599,blazer1sd,0,221.90001,DST Jaguars  FLEX Derrick Henry QB Tyler Shough RB Chase Brown RB David Montgomery TE Juwan Johnson WR Chris Olave WR Emeka Egbuka WR Jalen Coker,,Lamar Jackson,QB,8.14%,28.96
40,5250920824,gra123,0,221.8,DST Jaguars  FLEX Zay Flowers QB Tyler Shough RB Derrick Henry RB D'Andre Swift TE Mark Andrews WR Amon-Ra St. Brown WR Chris Olave WR Elic Ayomanor,,Wan'Dale Robinson,WR,8.05%,8.8
41,5252108384,richy437,0,221.56,DST Jaguars  FLEX Tyler Warren QB Lamar Jackson RB Jahmyr Gibbs RB D'Andre Swift TE Juwan Johnson WR Chris Olave WR Garrett Wilson WR Jalen Coker,,DK Metcalf,WR,7.94%,8
42,5252733429,Halladurg,0,221.15999,DST Steelers  FLEX Keenan Allen QB Josh Allen RB Jahmyr Gibbs RB Bucky Irving TE Juwan Johnson WR Nico Collins WR DJ Moore WR Jalen Coker,,Harold Fannin Jr.,TE,7.62%,4.1
43,5252772466,averagejoe_3,0,220.76001,DST Steelers  FLEX Zay Flowers QB Lamar Jackson RB Jahmyr Gibbs RB David Montgomery TE Brenton Strange WR Chris Olave WR Jalen Coker WR Calvin Ridley,,Michael Pittman Jr.,WR,7.29%,8.8
44,5252725741,mgo14,0,220.5,DST Steelers  FLEX Sam LaPorta QB Tyler Shough RB Jahmyr Gibbs RB Travis Etienne Jr. TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Jalen Coker,,Caleb Williams,QB,6.60%,37.26
45,5254187256,Hunter4ever89,0,220.29999,DST Buccaneers  FLEX Devaughn Vele QB Tyler Shough RB Jahmyr Gibbs RB Bucky Irving TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Zay Flowers,,Titans ,DST,6.51%,0
46,5248533588,BSMITTYFIREMAN,0,220.1,DST Texans  FLEX Amon-Ra St. Brown QB Tyler Shough RB Jahmyr Gibbs RB D'Andre Swift TE Juwan Johnson WR Chris Olave WR Michael Pittman Jr. WR Jalen Coker,,Cade Otton,TE,6.40%,5.6
46,5252903992,maccat33,0,220.09999,DST Titans  FLEX D'Andre Swift QB Tyler Shough RB Jahmyr Gibbs RB Chuba Hubbard TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Devaughn Vele,,Kyle Pitts Sr.,TE,6.28%,0
48,5254233080,Chuckbang,0,219.9,DST Jaguars  FLEX Luther Burden III QB Tyler Shough RB Jahmyr Gibbs RB D'Andre Swift TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Devaughn Vele,,DJ Moore,WR,6.15%,24
