Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5260903197,m.ev48,0,179.78,DST Patriots  FLEX Jalen Coker QB Joe Burrow RB Breece Hall RB Aaron Jones Sr. TE Dalton Schultz WR Ja'Marr Chase WR DeVonta Smith WR Christian Watson,,Bijan Robinson,RB,48.86%,11.1
2,5263029581,Ballinnowboyz22,0,176.37999,DST Panthers  FLEX Ja'Marr Chase QB Bryce Young RB Derrick Henry RB Breece Hall TE Dalton Schultz WR Christian Watson WR Tetairoa McMillan WR DK Metcalf,,Derrick Henry,RB,47.06%,17.7
3,5259692688,kage12,0,172.08,DST Patriots  FLEX Aaron Jones Sr. QB Bryce Young RB Bijan Robinson RB Breece Hall TE Dalton Schultz WR Ja'Marr Chase WR Tetairoa McMillan WR Jalen Coker,,Justin Jefferson,WR,29.44%,8.5
3,5262145729,Harry12,0,172.08,DST Patriots  FLEX Garrett Wilson QB Bryce Young RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Ja'Marr Chase WR Jalen Coker WR Devaughn Vele,,Buccaneers ,DST,26.98%,2
5,5263375568,Ricc77,0,170.78,DST Panthers  FLEX Chase Brown QB Bryce Young RB Derrick Henry RB D'Andre Swift TE Dalton Schultz WR Christian Watson WR Tetairoa McMillan WR Garrett Wilson,,Jalen Coker,WR,25.32%,14.6
6,5263224654,Timpegoose,0,169.98001,DST Panthers  FLEX Chuba Hubbard QB Bryce Young RB Derrick Henry RB David Montgomery TE Dalton Schultz WR Ja'Marr Chase WR Tetairoa McMillan WR Matthew Golden,,Emeka Egbuka,WR,24.01%,10.3
7,5259980452,DumbluckLRP,0,169.48001,DST Panthers  FLEX Juwan Johnson QB Tyler Shough RB Derrick Henry RB David Montgomery TE Dalton Schultz WR Ja'Marr Chase WR Chris Olave WR Emeka Egbuka,,Christian Watson,WR,21.49%,14.1
8,5261160184,Beezy269,0,168.1,DST Panthers  FLEX Derrick Henry QB Lamar Jackson RB Chase Brown RB Breece Hall TE Dalton Schultz WR Chris Olave WR Matthew Golden WR Rashod Bateman,,Matthew Golden,WR,20.61%,9.8
9,5260552558,Leftylongshot,0,167.78,DST Patriots  FLEX Rashod Bateman QB Bryce Young RB Bijan Robinson RB Saquon Barkley TE Dalton Schultz WR Ja'Marr Chase WR Garrett Wilson WR Jalen Coker,,Baker Mayfield,QB,18.73%,13.18
10,5257573062,reno1100,0,167.1,DST Panthers  FLEX Ja'Marr Chase QB Lamar Jackson RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Garrett Wilson WR DK Metcalf WR Rashod Bateman,,Dalton Schultz,TE,18.59%,29
11,5263168890,lucasjaypauley,0,166.57999,DST Panthers  FLEX Ja'Marr Chase QB Bryce Young RB D'Andre Swift RB Bucky Irving TE Kenyon Sadiq WR DeVonta Smith WR Christian Watson WR Jalen Coker,,Caleb Williams,QB,18.42%,8.72
12,5262636863,bsmitt,0,166.16,DST Panthers  FLEX Dalton Schultz QB Jalen Hurts RB Bijan Robinson RB Aaron Jones Sr. TE Dallas Goedert WR Ja'Marr Chase WR DeVonta Smith WR Matthew Golden,,Ja'Marr Chase,WR,17.35%,26.5
13,5261524041,StewieG013,0,165.07999,DST Panthers  FLEX Ja'Marr Chase QB Tyler Shough RB Derrick Henry RB Aaron Jones Sr. TE Mark Andrews WR Chris Olave WR Christian Watson WR Devaughn Vele,,Aaron Jones Sr.,RB,16.23%,13.5
14,5262656013,axelfoleybdf,0,164.22,DST Panthers  FLEX Derrick Henry QB Caleb Williams RB Bijan Robinson RB TreVeyon Henderson TE Dalton Schultz WR Ja'Marr Chase WR Matthew Golden WR Rashod Bateman,,Garrett Wilson,WR,16.21%,16.7
15,5262306727,browniesDK,0,163.78,DST Panthers  FLEX Ja'Marr Chase QB Geno Smith RB Bijan Robinson RB Aaron Jones Sr. TE Mark Andrews WR DeVonta Smith WR Tetairoa McMillan WR Devaughn Vele,,Dallas Goedert,TE,16.19%,1.4
16,5262576889,Gazzaec,0,163.68,DST Patriots  FLEX Samaje Perine QB Bryce Young RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR DeVonta Smith WR Tetairoa McMillan WR Chris Godwin Jr.,,David Montgomery,RB,16.00%,4.4
17,5257030052,Scott300,0,162.78,DST Patriots  FLEX Emeka Egbuka QB Joe Burrow RB Breece Hall RB Bucky Irving TE Dalton Schultz WR Ja'Marr Chase WR DeVonta Smith WR DeMario Douglas,,Luther Burden III,WR,15.52%,6.2
18,5263067420,Frankie_Wilde,0,162.68001,DST Ravens  FLEX Tetairoa McMillan QB Bryce Young RB Derrick Henry RB Bucky Irving TE Dalton Schultz WR Ja'Marr Chase WR Garrett Wilson WR Jalen Coker,,Bucky Irving,RB,14.74%,13
19,5258377202,lewzerr1,0,162.48001,DST Vikings  FLEX Breece Hall QB Bryce Young RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Tetairoa McMillan WR Garrett Wilson WR Jalen Coker,,Carson Wentz,QB,14.28%,6.32
19,5259786283,ashimono,0,162.48001,DST Panthers  FLEX Bucky Irving QB Baker Mayfield RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Ja'Marr Chase WR Jalen Coker WR Devaughn Vele,,Devaughn Vele,WR,12.99%,11.4
19,5259841098,tightenUPson,0,162.48001,DST Vikings  FLEX Bijan Robinson QB Bryce Young RB Derrick Henry RB Breece Hall TE Dalton Schultz WR Tetairoa McMillan WR Garrett Wilson WR Jalen Coker,,Mark Andrews,TE,12.59%,10.9
22,5263389014,thedg3,0,162.36002,DST Panthers  FLEX Pat Freiermuth QB Jalen Hurts RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Ja'Marr Chase WR Garrett Wilson WR Matthew Golden,,Eagles ,DST,12.15%,3
23,5261951876,phils93rul,0,162.2,DST Panthers  FLEX Breece Hall QB Jordan Love RB Derrick Henry RB Saquon Barkley TE Dalton Schultz WR Chris Olave WR Christian Watson WR Rashod Bateman,,Saquon Barkley,RB,11.98%,3
24,5257200892,ejones04,0,161.88,DST Panthers  FLEX DK Metcalf QB Joe Burrow RB Breece Hall RB Bucky Irving TE Dalton Schultz WR Justin Jefferson WR Ja'Marr Chase WR Rashod Bateman,,Rashod Bateman,WR,11.88%,21.8
