Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5254365697,Dsen07,0,207.48,DST Raiders  FLEX Matthew Golden QB Jordan Love RB Saquon Barkley RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR Ladd McConkey WR Christian Watson,,Saquon Barkley,RB,55.13%,9
2,5254271981,maurice1966,0,205.81999,DST Raiders  FLEX Dallas Goedert QB Jalen Hurts RB Saquon Barkley RB Ashton Jeanty TE T.J. Hockenson WR Justin Jefferson WR Ladd McConkey WR Christian Watson,,Justin Jefferson,WR,54.63%,31.2
3,5253640138,cat3777,0,198.01999,DST Raiders  FLEX Dallas Goedert QB Jalen Hurts RB Saquon Barkley RB Ashton Jeanty TE Tucker Kraft WR Justin Jefferson WR Christian Watson WR Stefon Diggs,,Ladd McConkey,WR,47.62%,19.2
4,5253276619,Yossarian230,0,196.01999,DST Raiders  FLEX Justin Jefferson QB Jalen Hurts RB Omarion Hampton RB Ashton Jeanty TE Dallas Goedert WR DeVonta Smith WR Christian Watson WR Caleb Douglas,,DeVonta Smith,WR,47.08%,8.3
5,5252122873,ste6000,0,192.62,DST Raiders  FLEX Christian Watson QB Jalen Hurts RB Saquon Barkley RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR Marvin Harrison Jr. WR Dontayvion Wicks,,Omarion Hampton,RB,45.44%,9.3
6,5253095363,jfunk83,0,188.15999,DST Chargers  FLEX Christian Watson QB Justin Herbert RB Ashton Jeanty RB Jordan Mason TE Dallas Goedert WR Justin Jefferson WR Ladd McConkey WR Stefon Diggs,,De'Von Achane,RB,44.91%,10.6
7,5253954959,gibb915,0,186.99998,DST Raiders  FLEX Saquon Barkley QB Kirk Cousins RB Ashton Jeanty RB MarShawn Lloyd TE Dallas Goedert WR Justin Jefferson WR Ladd McConkey WR Christian Watson,,Michael Mayer,TE,33.79%,9.2
8,5248631346,AdamShulman,0,184.57999,DST Eagles  FLEX Matthew Golden QB Jordan Love RB De'Von Achane RB Ashton Jeanty TE Michael Mayer WR Justin Jefferson WR Ladd McConkey WR Christian Watson,,Justin Herbert,QB,32.91%,14.26
9,5254426763,fsuguy316,0,183.01999,DST Raiders  FLEX Ashton Jeanty QB Jalen Hurts RB De'Von Achane RB MarShawn Lloyd TE Michael Mayer WR Justin Jefferson WR Ladd McConkey WR Christian Watson,,Chargers ,DST,28.89%,1
10,5252061243,VegasOddBreaker,0,182.81999,DST Cardinals  FLEX Saquon Barkley QB Jalen Hurts RB Omarion Hampton RB Ashton Jeanty TE Dallas Goedert WR Ladd McConkey WR Christian Watson WR Stefon Diggs,,Ashton Jeanty,RB,27.23%,35.7
11,5252537588,gussell,0,181.45999,DST Raiders  FLEX Jacory Croskey-Merritt QB Justin Herbert RB Saquon Barkley RB Ashton Jeanty TE David Njoku WR Justin Jefferson WR Ladd McConkey WR Christian Watson,,Quentin Johnston,WR,26.35%,3.7
