Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,roster_role,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
RB,Jeremiyah Love (43716746),Jeremiyah Love,43716746,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,ARI,0.0,,CPT,Jeremiyah Love,dk,11400,jeremiyah love,ARI,RB,showdown,,,
RB,Jonathon Brooks (43716758),Jonathon Brooks,43716758,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,CAR,0.0,,CPT,Jonathon Brooks,dk,11400,jonathon brooks,CAR,RB,showdown,,,
QB,Haynes King (43716763),Haynes King,43716763,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,CAR,0.0,,CPT,Haynes King,dk,11400,haynes king,CAR,QB,showdown,,,
QB,Carson Beck (43716764),Carson Beck,43716764,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,ARI,0.0,,CPT,Carson Beck,dk,11400,carson beck,ARI,QB,showdown,,,
WR,Chris Brazzell II (43716775),Chris Brazzell II,43716775,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,CAR,0.0,IR,CPT,Chris Brazzell II,dk,11400,chris brazzell,CAR,WR,showdown,,,
RB,Zonovan Knight (43716778),Zonovan Knight,43716778,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,ARI,7.8,,CPT,Zonovan Knight,dk,11400,zonovan knight,ARI,RB,showdown,,,
RB,Anthony Tyus III (43716779),Anthony Tyus III,43716779,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,CAR,0.0,,CPT,Anthony Tyus III,dk,11400,anthony tyus,CAR,RB,showdown,,,
WR,Reggie Virgil (43716781),Reggie Virgil,43716781,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,ARI,0.0,,CPT,Reggie Virgil,dk,11400,reggie virgil,ARI,WR,showdown,,,
TE,Kenny Yeboah (43716783),Kenny Yeboah,43716783,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,ARI,0.0,,CPT,Kenny Yeboah,dk,11400,kenny yeboah,ARI,TE,showdown,,,
RB,Miles Davis (43716785),Miles Davis,43716785,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,CAR,0.0,,CPT,Miles Davis,dk,11400,miles davis,CAR,RB,showdown,,,
TE,Rivaldo Fairweather (43716788),Rivaldo Fairweather,43716788,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,ARI,0.0,,CPT,Rivaldo Fairweather,dk,11400,rivaldo fairweather,ARI,TE,showdown,,,
TE,Caden Prieskorn (43716789),Caden Prieskorn,43716789,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,CAR,0.0,,CPT,Caden Prieskorn,dk,11400,caden prieskorn,CAR,TE,showdown,,,
TE,Jameson Geers (43716792),Jameson Geers,43716792,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,ARI,0.0,,CPT,Jameson Geers,dk,11400,jameson geers,ARI,TE,showdown,,,
WR,Tejhaun Palmer (43716795),Tejhaun Palmer,43716795,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,ARI,0.0,,CPT,Tejhaun Palmer,dk,11400,tejhaun palmer,ARI,WR,showdown,,,
WR,Dan Chisena (43716796),Dan Chisena,43716796,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,CAR,0.0,IR,CPT,Dan Chisena,dk,11400,dan chisena,CAR,WR,showdown,,,
WR,Harrison Wallace III (43716797),Harrison Wallace III,43716797,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,ARI,0.0,,CPT,Harrison Wallace III,dk,11400,harrison wallace,ARI,WR,showdown,,,
WR,Ainias Smith (43716798),Ainias Smith,43716798,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,CAR,0.0,Q,CPT,Ainias Smith,dk,11400,ainias smith,CAR,WR,showdown,,,
WR,Bryson Green (43716799),Bryson Green,43716799,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,ARI,0.0,,CPT,Bryson Green,dk,11400,bryson green,ARI,WR,showdown,,,
WR,Ja'seem Reed (43716800),Ja'seem Reed,43716800,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,CAR,0.0,,CPT,Ja'seem Reed,dk,11400,jaseem reed,CAR,WR,showdown,,,
WR,Malick Meiga (43716801),Malick Meiga,43716801,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,CAR,0.0,,CPT,Malick Meiga,dk,11400,malick meiga,CAR,WR,showdown,,,
WR,Gabriel Benyard (43761178),Gabriel Benyard,43761178,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,CAR,0.0,,CPT,Gabriel Benyard,dk,11400,gabriel benyard,CAR,WR,showdown,,,
TE,Chamon Metayer (43761179),Chamon Metayer,43761179,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,CAR,0.0,,CPT,Chamon Metayer,dk,11400,chamon metayer,CAR,TE,showdown,,,
RB,Jeremiyah Love (43716687),Jeremiyah Love,43716687,FLEX,7600,CAR@ARI 08/06/2026 08:00PM ET,ARI,0.0,,FLEX,Jeremiyah Love,dk,7600,jeremiyah love,ARI,RB,showdown,,,
RB,Jonathon Brooks (43716699),Jonathon Brooks,43716699,FLEX,7600,CAR@ARI 08/06/2026 08:00PM ET,CAR,0.0,,FLEX,Jonathon Brooks,dk,7600,jonathon brooks,CAR,RB,showdown,,,
QB,Haynes King (43716704),Haynes King,43716704,FLEX,7600,CAR@ARI 08/06/2026 08:00PM ET,CAR,0.0,,FLEX,Haynes King,dk,7600,haynes king,CAR,QB,showdown,,,
QB,Carson Beck (43716705),Carson Beck,43716705,FLEX,7600,CAR@ARI 08/06/2026 08:00PM ET,ARI,0.0,,FLEX,Carson Beck,dk,7600,carson beck,ARI,QB,showdown,,,
WR,Chris Brazzell II (43716716),Chris Brazzell II,43716716,FLEX,7600,CAR@ARI 08/06/2026 08:00PM ET,CAR,0.0,IR,FLEX,Chris Brazzell II,dk,7600,chris brazzell,CAR,WR,showdown,,,
RB,Zonovan Knight (43716719),Zonovan Knight,43716719,FLEX,7600,CAR@ARI 08/06/2026 08:00PM ET,ARI,7.8,,FLEX,Zonovan Knight,dk,7600,zonovan knight,ARI,RB,showdown,,,
