Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
RB,Nick Singleton (43778265),Nick Singleton,43778265,RB/FLEX,5500,TEN@SF 08/13/2026 09:00PM ET,TEN,0.0,,Nick Singleton,dk,5500,nick singleton,TEN,RB,classic,,,
RB,Raheem Blackshear (43778410),Raheem Blackshear,43778410,RB/FLEX,5500,DET@CIN 08/13/2026 07:00PM ET,DET,0.0,,Raheem Blackshear,dk,5500,raheem blackshear,DET,RB,classic,,,
RB,Zonovan Knight (43778422),Zonovan Knight,43778422,RB/FLEX,5500,ARI@LV 08/13/2026 08:00PM ET,ARI,7.8,,Zonovan Knight,dk,5500,zonovan knight,ARI,RB,classic,,,
WR,Mitch Tinsley (43778438),Mitch Tinsley,43778438,WR/FLEX,5500,DET@CIN 08/13/2026 07:00PM ET,CIN,1.9,,Mitch Tinsley,dk,5500,mitch tinsley,CIN,WR,classic,,,
TE,Nick Muse (43778458),Nick Muse,43778458,TE/FLEX,5500,DET@CIN 08/13/2026 07:00PM ET,DET,0.0,,Nick Muse,dk,5500,nick muse,DET,TE,classic,,,
TE,Mitch Van Vooren (43778468),Mitch Van Vooren,43778468,TE/FLEX,5500,IND@NE 08/13/2026 07:30PM ET,NE,0.0,,Mitch Van Vooren,dk,5500,mitch van vooren,NE,TE,classic,,,
TE,Kenny Yeboah (43778470),Kenny Yeboah,43778470,TE/FLEX,5500,ARI@LV 08/13/2026 08:00PM ET,ARI,0.0,IR,Kenny Yeboah,dk,5500,kenny yeboah,ARI,TE,classic,,,
RB,Joshua Pitsenberger (43778478),Joshua Pitsenberger,43778478,RB/FLEX,5500,LAC@HOU 08/13/2026 08:00PM ET,HOU,0.0,,Joshua Pitsenberger,dk,5500,joshua pitsenberger,HOU,RB,classic,,,
RB,Roydell Williams (43778488),Roydell Williams,43778488,RB/FLEX,5500,IND@NE 08/13/2026 07:30PM ET,IND,0.0,,Roydell Williams,dk,5500,roydell williams,IND,RB,classic,,,
RB,Greg Desrosiers Jr. (43778498),Greg Desrosiers Jr.,43778498,RB/FLEX,5500,LAC@HOU 08/13/2026 08:00PM ET,LAC,0.0,,Greg Desrosiers Jr.,dk,5500,greg desrosiers,LAC,RB,classic,,,
TE,McCallan Castles (43778532),McCallan Castles,43778532,TE/FLEX,5500,GB@PIT 08/13/2026 07:00PM ET,GB,0.0,,McCallan Castles,dk,5500,mccallan castles,GB,TE,classic,,,
TE,Chris Myarick (43778538),Chris Myarick,43778538,TE/FLEX,5500,ARI@LV 08/13/2026 08:00PM ET,LV,0.0,,Chris Myarick,dk,5500,chris myarick,LV,TE,classic,,,
TE,Thomas Yassmin (43778584),Thomas Yassmin,43778584,TE/FLEX,5500,GB@PIT 08/13/2026 07:00PM ET,GB,0.0,,Thomas Yassmin,dk,5500,thomas yassmin,GB,TE,classic,,,
TE,Tanner McLachlan (43778590),Tanner McLachlan,43778590,TE/FLEX,5500,TEN@SF 08/13/2026 09:00PM ET,SF,0.0,IR,Tanner McLachlan,dk,5500,tanner mclachlan,SF,TE,classic,,,
WR,J. Michael Sturdivant (43778624),J. Michael Sturdivant,43778624,WR/FLEX,5500,GB@PIT 08/13/2026 07:00PM ET,GB,0.0,,J. Michael Sturdivant,dk,5500,j michael sturdivant,GB,WR,classic,,,
TE,Luke Lachey (43778644),Luke Lachey,43778644,TE/FLEX,5500,GB@PIT 08/13/2026 07:00PM ET,GB,0.0,IR,Luke Lachey,dk,5500,luke lachey,GB,TE,classic,,,
WR,Montrell Washington (43778658),Montrell Washington,43778658,WR/FLEX,5500,LAC@HOU 08/13/2026 08:00PM ET,HOU,0.0,,Montrell Washington,dk,5500,montrell washington,HOU,WR,classic,,,
WR,Lawrence Keys III (43778662),Lawrence Keys III,43778662,WR/FLEX,5500,DET@CIN 08/13/2026 07:00PM ET,DET,0.0,Q,Lawrence Keys III,dk,5500,lawrence keys,DET,WR,classic,,,
WR,Lucky Jackson (43778664),Lucky Jackson,43778664,WR/FLEX,5500,DET@CIN 08/13/2026 07:00PM ET,DET,0.0,,Lucky Jackson,dk,5500,lucky jackson,DET,WR,classic,,,
WR,Kaden Prather (43778666),Kaden Prather,43778666,WR/FLEX,5500,GB@PIT 08/13/2026 07:00PM ET,GB,0.0,,Kaden Prather,dk,5500,kaden prather,GB,WR,classic,,,
WR,Liam Clifford (43778672),Liam Clifford,43778672,WR/FLEX,5500,IND@NE 08/13/2026 07:30PM ET,IND,0.0,,Liam Clifford,dk,5500,liam clifford,IND,WR,classic,,,
TE,Drew Biber (43778694),Drew Biber,43778694,TE/FLEX,5500,GB@PIT 08/13/2026 07:00PM ET,GB,0.0,,Drew Biber,dk,5500,drew biber,GB,TE,classic,,,
WR,Tarik Black (43778702),Tarik Black,43778702,WR/FLEX,5500,DET@CIN 08/13/2026 07:00PM ET,DET,0.0,,Tarik Black,dk,5500,tarik black,DET,WR,classic,,,
WR,Joaquin Davis (43778714),Joaquin Davis,43778714,WR/FLEX,5500,GB@PIT 08/13/2026 07:00PM ET,PIT,0.0,,Joaquin Davis,dk,5500,joaquin davis,PIT,WR,classic,,,
WR,Trenton Irwin (43778718),Trenton Irwin,43778718,WR/FLEX,5500,TEN@SF 08/13/2026 09:00PM ET,SF,0.0,,Trenton Irwin,dk,5500,trenton irwin,SF,WR,classic,,,
WR,Levi Wentz (43778734),Levi Wentz,43778734,WR/FLEX,5500,GB@PIT 08/13/2026 07:00PM ET,PIT,0.0,,Levi Wentz,dk,5500,levi wentz,PIT,WR,classic,,,
WR,Brandon Aiyuk (43778758),Brandon Aiyuk,43778758,WR/FLEX,5500,TEN@SF 08/13/2026 09:00PM ET,SF,0.0,OUT,Brandon Aiyuk,dk,5500,brandon aiyuk,SF,WR,classic,,,
