Name,Position,TeamAbbrev,Salary,ID,Roster Position,Game Info,AvgPointsPerGame,id_source,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
Bradley Marquez,WR,DET,3000,5428,WR,DET@NYJ,,rotoguru_gid,Bradley Marquez,dk,3000,bradley marquez,DET,WR,,,
Markus Wheaton,WR,PHI,3000,5215,WR,PHI@ATL,,rotoguru_gid,Markus Wheaton,dk,3000,markus wheaton,PHI,WR,,,
Shane Smith,TE,NYG,2600,4723,TE,NYG@JAX,,rotoguru_gid,Shane Smith,dk,2600,shane smith,NYG,TE,,,
