Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
133104-152044,QB,Kyron,Kyron Drones,Drones,,0,6000,GB@MIN,GB,MIN,,,,,,QB,Kyron Drones,fd,6000,kyron drones,GB,QB,classic,,,
133104-86687,WR,Hollywood,Hollywood Brown,Brown,7.074999809265137,16,5100,WAS@PHI,PHI,WAS,,,,,,WR/FLEX,Hollywood Brown,fd,5100,hollywood brown,PHI,WR,classic,,,
133104-87418,WR,Joshua,Joshua Palmer,Palmer,3.441666603088379,12,4600,BUF@HOU,BUF,HOU,,,,,,WR/FLEX,Joshua Palmer,fd,4600,joshua palmer,BUF,WR,classic,,,
133104-166898,RB,Nick,Nick Singleton,Singleton,,0,4600,NYJ@TEN,TEN,NYJ,,,,,,RB/FLEX,Nick Singleton,fd,4600,nick singleton,TEN,RB,classic,,,
133104-128912,WR,Mitch,Mitch Tinsley,Tinsley,3.450000047683716,8,4500,BUF@HOU,HOU,BUF,,,,,,WR/FLEX,Mitch Tinsley,fd,4500,mitch tinsley,HOU,WR,classic,,,
133104-157150,RB,Audric,Audric Estime,Estime,8.419999694824218,5,4400,NO@DET,NO,DET,,,,,,RB/FLEX,Audric Estime,fd,4400,audric estime,NO,RB,classic,,,
133104-85672,WR,Terrace,Terrace Marshall Jr.,Marshall Jr.,1.1199999809265138,5,4200,MIA@LV,MIA,LV,,,,,,WR/FLEX,Terrace Marshall Jr.,fd,4200,terrace marshall,MIA,WR,classic,,,
133104-147049,TE,Drew,Drew Ogletree,Ogletree,2.1399999618530274,5,4100,BAL@IND,IND,BAL,,,,,,TE/FLEX,Drew Ogletree,fd,4100,drew ogletree,IND,TE,classic,,,
133104-61273,WR,Scotty,Scotty Miller,Miller,2.1399999618530274,5,4100,CHI@CAR,CHI,CAR,,,,,,WR/FLEX,Scotty Miller,fd,4100,scotty miller,CHI,WR,classic,,,
133104-156684,RB,Kye,Kye Robichaux,Robichaux,,0,4000,NO@DET,DET,NO,Q,Foot,,,,RB/FLEX,Kye Robichaux,fd,4000,kye robichaux,DET,RB,classic,,,
133104-243750,RB,Joshua,Joshua Pitsenberger,Pitsenberger,,0,4000,BUF@HOU,HOU,BUF,Q,Ankle,,,,RB/FLEX,Joshua Pitsenberger,fd,4000,joshua pitsenberger,HOU,RB,classic,,,
133104-152681,WR,Le'Meke,Le'Meke Brockington,Brockington,,0,4000,ATL@PIT,ATL,PIT,Q,Undisclosed,,,,WR/FLEX,Le'Meke Brockington,fd,4000,lemeke brockington,ATL,WR,classic,,,
133104-68730,TE,Sean,Sean McKeon,McKeon,,0,4000,BAL@IND,IND,BAL,Q,Undisclosed,,,,TE/FLEX,Sean McKeon,fd,4000,sean mckeon,IND,TE,classic,,,
133104-135321,WR,Mac,Mac Dalena,Dalena,,0,4000,BUF@HOU,BUF,HOU,,,,,,WR/FLEX,Mac Dalena,fd,4000,mac dalena,BUF,WR,classic,,,
133104-63646,TE,Lawrence,Lawrence Cager,Cager,,0,4000,WAS@PHI,WAS,PHI,,,,,,TE/FLEX,Lawrence Cager,fd,4000,lawrence cager,WAS,TE,classic,,,
133104-157857,WR,Kyron,Kyron Hudson,Hudson,,0,4000,CHI@CAR,CHI,CAR,Q,Undisclosed,,,,WR/FLEX,Kyron Hudson,fd,4000,kyron hudson,CHI,WR,classic,,,
133104-152749,TE,Chamon,Chamon Metayer,Metayer,,0,4000,CHI@CAR,CAR,CHI,,,,,,TE/FLEX,Chamon Metayer,fd,4000,chamon metayer,CAR,TE,classic,,,
133104-25813,WR,Phillip,Phillip Dorsett II,Dorsett II,,0,4000,MIA@LV,LV,MIA,,,,,,WR/FLEX,Phillip Dorsett II,fd,4000,phillip dorsett,LV,WR,classic,,,
133104-137485,WR,E.J.,E.J. Horton Jr.,Horton Jr.,,0,4000,BAL@IND,IND,BAL,,,,,,WR/FLEX,E.J. Horton Jr.,fd,4000,ej horton,IND,WR,classic,,,
133104-137525,WR,Malick,Malick Meiga,Meiga,,0,4000,CHI@CAR,CAR,CHI,Q,Undisclosed,,,,WR/FLEX,Malick Meiga,fd,4000,malick meiga,CAR,WR,classic,,,
133104-152921,RB,Sam,Sam Scott,Scott,,0,4000,NYJ@TEN,NYJ,TEN,Q,Undisclosed,,,,RB/FLEX,Sam Scott,fd,4000,sam scott,NYJ,RB,classic,,,
133104-138636,WR,Brandon,Brandon Hayes,Hayes,,0,4000,WAS@PHI,PHI,WAS,,,,,,WR/FLEX,Brandon Hayes,fd,4000,brandon hayes,PHI,WR,classic,,,
133104-174494,TE,Miles,Miles Kitselman,Kitselman,,0,4000,NO@DET,DET,NO,Q,Leg,,,,TE/FLEX,Miles Kitselman,fd,4000,miles kitselman,DET,TE,classic,,,
133104-92590,RB,Raheem,Raheem Blackshear,Blackshear,0.5333333333333333,15,4000,NO@DET,DET,NO,Q,Undisclosed,,,,RB/FLEX,Raheem Blackshear,fd,4000,raheem blackshear,DET,RB,classic,,,
133104-166322,TE,Philip,Philip Florenzo,Florenzo,,0,4000,ATL@PIT,ATL,PIT,,,,,,TE/FLEX,Philip Florenzo,fd,4000,philip florenzo,ATL,TE,classic,,,
133104-114109,WR,Ainias,Ainias Smith,Smith,2.839999961853027,5,4000,CHI@CAR,CAR,CHI,Q,Undisclosed,,,,WR/FLEX,Ainias Smith,fd,4000,ainias smith,CAR,WR,classic,,,
133104-226866,WR,Joaquin,Joaquin Davis,Davis,,0,4000,ATL@PIT,PIT,ATL,,,,,,WR/FLEX,Joaquin Davis,fd,4000,joaquin davis,PIT,WR,classic,,,
133104-157232,WR,Jalen,Jalen Walthall,Walthall,,0,4000,NYJ@TEN,NYJ,TEN,Q,Undisclosed,,,,WR/FLEX,Jalen Walthall,fd,4000,jalen walthall,NYJ,WR,classic,,,
133104-87621,WR,A.T.,A.T. Perry,Perry,,0,4000,ATL@PIT,PIT,ATL,,,,,,WR/FLEX,A.T. Perry,fd,4000,at perry,PIT,WR,classic,,,
133104-104019,TE,Matt,Matt Orzech,Orzech,0.0,2,4000,GB@MIN,GB,MIN,,,,,,TE/FLEX,Matt Orzech,fd,4000,matt orzech,GB,TE,classic,,,
133104-152159,WR,Bryson,Bryson Green,Green,,0,4000,ARI@LAC,ARI,LAC,,,,,,WR/FLEX,Bryson Green,fd,4000,bryson green,ARI,WR,classic,,,
133104-131694,TE,Luke,Luke Lachey,Lachey,,0,4000,GB@MIN,GB,MIN,Q,Foot,,,,TE/FLEX,Luke Lachey,fd,4000,luke lachey,GB,TE,classic,,,
133104-95854,WR,Montrell,Montrell Washington,Washington,0.0,2,4000,BUF@HOU,HOU,BUF,,,,,,WR/FLEX,Montrell Washington,fd,4000,montrell washington,HOU,WR,classic,,,
133104-167552,TE,Dae'Quan,Dae'Quan Wright,Wright,,0,4000,CLE@JAC,CLE,JAC,,,,,,TE/FLEX,Dae'Quan Wright,fd,4000,daequan wright,CLE,TE,classic,,,
133104-135824,WR,Luke,Luke Grimm,Grimm,,0,4000,ARI@LAC,LAC,ARI,Q,Undisclosed,,,,WR/FLEX,Luke Grimm,fd,4000,luke grimm,LAC,WR,classic,,,
133104-245393,WR,Mante,Mante Morrow,Morrow,,0,4000,ARI@LAC,LAC,ARI,,,,,,WR/FLEX,Mante Morrow,fd,4000,mante morrow,LAC,WR,classic,,,
133104-185010,WR,DT,DT Sheffield,Sheffield,,0,4000,NYJ@TEN,NYJ,TEN,Q,Undisclosed,,,,WR/FLEX,DT Sheffield,fd,4000,dt sheffield,NYJ,WR,classic,,,
133104-158399,RB,Jackson,Jackson Acker,Acker,,0,4000,BUF@HOU,BUF,HOU,,,,,,RB/FLEX,Jackson Acker,fd,4000,jackson acker,BUF,RB,classic,,,
133104-174801,TE,RJ,RJ Maryland,Maryland,,0,4000,GB@MIN,GB,MIN,Q,Hamstring,,,,TE/FLEX,RJ Maryland,fd,4000,rj maryland,GB,TE,classic,,,
133104-138039,TE,Matt,Matt Hibner,Hibner,,0,4000,BAL@IND,BAL,IND,,,,,,TE/FLEX,Matt Hibner,fd,4000,matt hibner,BAL,TE,classic,,,
133104-166774,WR,Aaron,Aaron Anderson,Anderson,,0,4000,CLE@JAC,CLE,JAC,Q,Undisclosed,,,,WR/FLEX,Aaron Anderson,fd,4000,aaron anderson,CLE,WR,classic,,,
133104-185215,RB,Kadarius,Kadarius Calloway,Calloway,,0,4000,TB@CIN,TB,CIN,Q,Undisclosed,,,,RB/FLEX,Kadarius Calloway,fd,4000,kadarius calloway,TB,RB,classic,,,
133104-64405,WR,Dan,Dan Chisena,Chisena,1.2999999523162842,4,4000,CHI@CAR,CAR,CHI,Q,Undisclosed,,,,WR/FLEX,Dan Chisena,fd,4000,dan chisena,CAR,WR,classic,,,
133104-73687,WR,Quez,Quez Watkins,Watkins,,0,4000,WAS@PHI,PHI,WAS,,,,,,WR/FLEX,Quez Watkins,fd,4000,quez watkins,PHI,WR,classic,,,
133104-72665,TE,Kenny,Kenny Yeboah,Yeboah,2.199999968210856,6,4000,ARI@LAC,ARI,LAC,Q,Hamstring,,,,TE/FLEX,Kenny Yeboah,fd,4000,kenny yeboah,ARI,TE,classic,,,
133104-91098,WR,Lawrence,Lawrence Keys III,Keys III,,0,4000,NO@DET,DET,NO,Q,Leg,,,,WR/FLEX,Lawrence Keys III,fd,4000,lawrence keys,DET,WR,classic,,,
