Position,Team,Salary,Id,Nickname,First Name,Last Name,Opponent,AvgPointsPerGame,id_source,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
RB,CHI,4600,5564,Tarik Cohen,Tarik,Cohen,LA,,rotoguru_gid,Tarik Cohen,fd,4600,tarik cohen,CHI,RB,,,
TE,MIN,4100,4754,Brandon Dillon,Brandon,Dillon,CIN,,rotoguru_gid,Brandon Dillon,fd,4100,brandon dillon,MIN,TE,,,
