espn_id,player_name,espn_position,team,status,raw_status,last_updated,normalized_name,normalized_team,match_method
4430893,Chip Trayanum,RB,NYJ,ACTIVE,,,chip trayanum,NYJ,
4875788,Jalen Walthall,WR,NYJ,ACTIVE,,,jalen walthall,NYJ,
4250360,Bailey Zappe,QB,NYJ,ACTIVE,,,bailey zappe,NYJ,
4241372,Hollywood Brown,WR,PHI,ACTIVE,,,hollywood brown,PHI,
4362186,Erik Ezukanma,WR,PHI,ACTIVE,,,erik ezukanma,PHI,
4689546,Danny Gray,WR,PHI,ACTIVE,,,danny gray,PHI,
4870795,Makai Lemon,WR,PHI,ACTIVE,,,makai lemon,PHI,
4879250,Cole Payton,QB,PHI,ACTIVE,,,cole payton,PHI,
4714365,Carson Steele,RB,PHI,ACTIVE,,,carson steele,PHI,
4431574,Eli Stowers,TE,PHI,QUESTIONABLE,Questionable,2026-06-10T17:55Z,eli stowers,PHI,
4050373,Quez Watkins,WR,PHI,ACTIVE,,,quez watkins,PHI,
4686104,Johnny Wilson,WR,PHI,ACTIVE,,,johnny wilson,PHI,
4838696,Dae'Quan Wright,TE,PHI,ACTIVE,,,daequan wright,PHI,
4714771,Drew Allar,QB,PIT,ACTIVE,,,drew allar,PIT,
4429262,Jaheim Bell,TE,PIT,ACTIVE,,,jaheim bell,PIT,
4685261,Germie Bernard,WR,PIT,ACTIVE,,,germie bernard,PIT,
5192448,Cole Burgess,WR,PIT,ACTIVE,,,cole burgess,PIT,
4696907,Joaquin Davis,WR,PIT,ACTIVE,,,joaquin davis,PIT,
4695800,JJ Galbreath,TE,PIT,ACTIVE,,,jj galbreath,PIT,
5081508,Eli Heidenreich,RB,PIT,ACTIVE,,,eli heidenreich,PIT,
4429955,Will Howard,QB,PIT,ACTIVE,,,will howard,PIT,
4694237,Max Hurleman,RB,PIT,ACTIVE,,,max hurleman,PIT,
4566198,Lake McRee,TE,PIT,ACTIVE,,,lake mcree,PIT,
4693370,Riley Nowakowski,FB,PIT,ACTIVE,,,riley nowakowski,PIT,
4362019,A.T. Perry,WR,PIT,ACTIVE,,,at perry,PIT,
4240577,Brandon Smith,WR,PIT,ACTIVE,,,brandon smith,PIT,
4613132,Levi Wentz,WR,PIT,ACTIVE,,,levi wentz,PIT,
5081338,Kaden Wetjen,WR,PIT,ACTIVE,,,kaden wetjen,PIT,
4360438,Brandon Aiyuk,WR,SF,OUT,Out,2026-06-24T21:31Z,brandon aiyuk,SF,
4887918,Junior Bergen,WR,SF,ACTIVE,,,junior bergen,SF,
4696044,Kaelon Black,RB,SF,ACTIVE,,,kaelon black,SF,
4575665,Jacob Cowing,WR,SF,ACTIVE,,,jacob cowing,SF,
4699678,Khalil Dinkins,TE,SF,OUT,Out,2026-07-18T20:55Z,khalil dinkins,SF,
4250945,Colton Dowell,WR,SF,ACTIVE,,,colton dowell,SF,
4888723,Wesley Grimes,WR,SF,ACTIVE,,,wesley grimes,SF,
