player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,sigma,dst_p10,dst_p90,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available
00-0036442,Joe Burrow,QB,CIN,6900,43727235,16.8075,20.8198,1.19325483368253,1.2214782528053418,27.421550143104916,TB,27.44,51.39,,,,96.97351797862002,11.225615054495945,,classic,True
00-0036900,Ja'Marr Chase,WR,CIN,7800,43727631,19.6,22.09,1.0238410548491406,1.2214782528053418,26.06874830403937,TB,27.44,51.39,,,,97.18140328327951,14.876977223353265,,classic,True
00-0038597,Chase Brown,RB,CIN,7100,43727333,16.623529411764707,23.905000000000005,1.0046738358934528,1.2214782528053418,24.868047109619624,TB,27.44,51.39,,,,96.4792651050568,17.286407527510736,,classic,True
00-0039064,Zay Flowers,WR,BAL,6400,43727645,14.311764705882354,21.464,1.175627548865848,1.151145321339145,24.207995898276,IND,25.86,48.22,,,,93.12576413053701,11.3525106449094,,classic,True
00-0036355,Justin Herbert,QB,LAC,6100,43727240,17.93,17.4154,1.0400384303979038,1.2610961698970602,23.179309750299083,ARI,28.33,46.22,,,,91.35114998380304,7.716598764534196,,classic,True
00-0040666,Omarion Hampton,RB,LAC,6800,43727339,15.077777777777776,15.428999999999998,1.1940378460178651,1.2610961698970602,22.968500430672176,ARI,28.33,46.22,,,,92.11360209108274,12.9212894977684,,classic,True
00-0039139,Jahmyr Gibbs,RB,DET,8000,43727325,21.582352941176477,17.401,0.9433381098418396,1.241509783919132,22.827939898013046,NO,27.89,48.83,,,,95.9530763044134,16.690525903252315,,classic,True
00-0036389,Jalen Hurts,QB,PHI,6600,43727237,18.81625,14.137,1.197801528645757,1.1493647407956968,22.683548301727495,WAS,25.82,47.39,,,,89.31851311953353,6.738683423801242,,classic,True
00-0036963,Amon-Ra St. Brown,WR,DET,7500,43727633,19.058823529411764,20.479000000000003,0.903828278369348,1.241509783919132,22.182926210431493,NO,27.89,48.83,,,,96.04181688036198,13.788603785063524,,classic,True
00-0037239,Chris Olave,WR,NO,6700,43727639,16.75,24.261,1.1588219319999375,0.9325790596309005,22.160151698167315,DET,20.95,48.83,,,,82.53444465343739,5.6032733654814,,classic,True
00-0036971,Trevor Lawrence,QB,JAX,5800,43727243,19.89294117647059,27.031800000000004,0.8166730191091996,1.068348326068812,20.470713110788708,CLE,24.0,40.5,,,,78.51376741172659,3.2790317728290863,,classic,True
00-0032764,Derrick Henry,RB,BAL,6700,43727341,16.441176470588236,22.466,0.907715177244178,1.151145321339145,20.327289334599655,IND,25.86,48.22,,,,91.48393988137127,12.39011303962102,,classic,True
00-0034844,Saquon Barkley,RB,PHI,6900,43727337,14.51875,13.752000000000002,1.1589505966171607,1.1493647407956968,18.82912453894989,WAS,25.82,47.39,,,,88.95644415401628,10.468796846433511,,classic,True
00-0036410,Tee Higgins,WR,CIN,6300,43727647,14.106666666666666,15.791999999999998,1.0238410548491406,1.2214782528053418,18.695630030216,TB,27.44,51.39,,,,95.7297903800537,13.50473914512083,,classic,True
