team,opponent,commence_time,spread,over_under,implied_total
TB,NE,2017-10-05,3.5,54.5,25.5
NE,TB,2017-10-05,-3.5,54.5,29.0
CIN,BUF,2017-10-08,-3.0,39.0,21.0
BUF,CIN,2017-10-08,3.0,39.0,18.0
CLE,NYJ,2017-10-08,1.5,41.5,20.0
NYJ,CLE,2017-10-08,-1.5,41.5,21.5
DET,CAR,2017-10-08,-2.0,42.0,22.0
CAR,DET,2017-10-08,2.0,42.0,20.0
IND,SF,2017-10-08,1.0,43.5,21.25
SF,IND,2017-10-08,-1.0,43.5,22.25
MIA,TEN,2017-10-08,0.0,41.5,20.75
TEN,MIA,2017-10-08,-0.0,41.5,20.75
NYG,LAC,2017-10-08,-3.0,45.5,24.25
LAC,NYG,2017-10-08,3.0,45.5,21.25
PHI,ARI,2017-10-08,-6.0,45.0,25.5
ARI,PHI,2017-10-08,6.0,45.0,19.5
PIT,JAX,2017-10-08,-7.5,41.0,24.25
JAX,PIT,2017-10-08,7.5,41.0,16.75
LA,SEA,2017-10-08,-2.0,46.5,24.25
SEA,LA,2017-10-08,2.0,46.5,22.25
LV,BAL,2017-10-08,-3.0,40.5,21.75
BAL,LV,2017-10-08,3.0,40.5,18.75
DAL,GB,2017-10-08,-2.5,52.0,27.25
GB,DAL,2017-10-08,2.5,52.0,24.75
HOU,KC,2017-10-08,2.0,45.0,21.5
KC,HOU,2017-10-08,-2.0,45.0,23.5
CHI,MIN,2017-10-09,3.5,41.0,18.75
MIN,CHI,2017-10-09,-3.5,41.0,22.25
