player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available,injury_raw_status,injury_status
00-0040122,Ashton Jeanty,RB,LV,7800,134516-167031,14.0769,14.0769,1.0,0.9098118619758708,12.807288308953012,NO,20.22,43.56,2.0,1.0,8.0179,statline_mc+recal_10_4b,2.8374631676856503,26.81407662909616,0.0,0.0,0.0,15.86125,55.034261929042906,0.33125,4.97075,3.7575,25.326121160487187,0.1885,12.807288308953012,0.0,20.5,70.02941176470588,6.888082736083807,,classic,True,,ACTIVE
00-0033119,Jacoby Brissett,QB,ARI,6800,134516-30231,14.1872,14.1872,1.0,0.8823645209370341,12.518254860584516,SF,19.61,47.83,2.0,1.0,7.3049,statline_mc+recal_10_4b,4.322168362371913,21.942272147955386,33.591,183.99881103344703,1.17275,2.75425,9.650524192466335,0.105,0.0,0.0,0.0,0.0,12.518254860584516,0.0,11.989999771118164,55.67401960784313,1.8128328561447076,,classic,True,,ACTIVE
00-0036997,Javonte Williams,RB,DAL,7400,134516-93541,11.3174,11.3174,1.0,1.1059928569419837,12.516970502533267,BAL,24.58,52.5,2.0,1.0,8.0845,statline_mc+recal_10_4b,2.4895036194773565,26.697348454287397,0.0,0.0,0.0,11.78075,48.151090148226224,0.41925,4.13525,3.1985,28.07111487710647,0.1565,12.516970502533267,0.0,14.100000381469728,86.66503267973854,31.253205682890183,,classic,True,,ACTIVE
00-0039361,Bucky Irving,RB,TB,7600,134516-152664,13.2485,13.2485,1.0,0.9273601619843076,12.28614781153859,MIN,20.61,42.5,2.0,1.0,8.001,statline_mc+recal_10_4b,2.646928553683847,25.579326347446496,0.0,0.0,0.0,12.95425,56.14082309669247,0.382,4.269,3.44075,22.26690501869341,0.10125,12.28614781153859,0.0,13.899999618530272,66.63153594771242,5.057614741184575,,classic,True,,ACTIVE
00-0037744,Trey McBride,TE,ARI,7300,134516-91750,13.6895,13.6895,1.0,0.8823645209370341,12.079117128817645,SF,19.61,47.83,2.0,1.0,6.7367,statline_mc+recal_10_4b,3.0170460402168837,24.882390467564925,0.0,0.0,0.0,0.0,0.0,0.0,9.63625,6.69175,57.56242128817642,0.5115,12.079117128817645,0.0,17.049999237060547,74.97401960784313,6.037581429432698,,classic,True,,ACTIVE
00-0036322,Justin Jefferson,WR,MIN,8400,134516-85671,11.9038,11.9038,1.0,0.9849545825248178,11.72474368845554,TB,21.89,42.5,2.0,1.0,7.6998,statline_mc+recal_10_4b,2.178986207118509,25.57712585462839,0.0,0.0,0.0,0.1345,0.7217561944939693,0.005,7.87925,5.06825,64.66943069006142,0.447,11.72474368845554,0.0,17.100000381469727,75.77287254901961,10.859971365201625,,classic,True,,ACTIVE
00-0039064,Zay Flowers,WR,BAL,7500,134516-112295,9.1045,9.1045,1.0,1.2562782980398777,11.437758229626729,DAL,27.92,52.5,1.0,0.6750923695349703,7.9517,statline_mc+recal_10_4b,1.7207494363483684,25.873851429501187,0.0,0.0,0.0,0.13475,1.0944197380945586,0.00575,5.61725,3.5805,72.58566255817271,0.38125,11.437758229626729,0.0,26.5,89.45392156862744,24.284815225160663,,classic,True,Questionable,QUESTIONABLE
00-0035719,Deebo Samuel Sr.,WR,SF,6600,134516-56018,8.3849,8.3849,1.0,1.2697769903540592,10.646994193955488,ARI,28.22,47.83,2.0,1.0,7.3857,statline_mc+recal_10_4b,1.6876346377864986,24.354327054748165,0.0,0.0,0.0,0.71675,5.625350790584101,0.0285,5.77875,3.81525,56.68834114897079,0.3975,10.646994193955488,0.0,10.0,88.62303921568628,23.126423416342167,,classic,True,,ACTIVE
00-0036550,Rashod Bateman,WR,BAL,5600,134516-85845,8.0368,8.0368,1.0,1.2562782980398777,10.096499141801454,DAL,27.92,52.5,2.0,1.0,7.3021,statline_mc+recal_10_4b,1.5524707161141778,23.32396437859467,0.0,0.0,0.0,0.048,0.4857695996559205,0.0025,5.756,3.619,59.40422181835861,0.3875,10.096499141801454,0.0,9.149999618530272,88.18725490196078,22.54112600562082,,classic,True,,ACTIVE
00-0034753,Mark Andrews,TE,BAL,5400,134516-52436,8.0283,8.0283,1.0,1.2562782980398777,10.085787012165452,DAL,27.92,52.5,2.0,1.0,6.5201,statline_mc+recal_10_4b,1.9382453885612785,21.726971782463483,0.0,0.0,0.0,0.0,0.0,0.0,6.24325,4.3105,57.45537012165453,0.37425,10.085787012165452,0.0,7.400000095367432,92.18601960784314,16.617794754956524,,classic,True,,ACTIVE
00-0031408,Mike Evans,WR,SF,7800,134516-32384,7.7394,7.7394,1.0,1.2697769903540592,9.827253859292174,ARI,28.22,47.83,2.0,1.0,7.3376,statline_mc+recal_10_4b,1.4429138908691932,22.46124993195483,0.0,0.0,0.0,0.10375,0.6738158440829586,0.0035,5.37225,3.602,57.72872274883876,0.36825,9.827253859292174,0.0,10.399999618530272,86.15637254901961,20.002910649248733,,classic,True,Questionable,QUESTIONABLE
00-0037247,George Pickens,WR,DAL,7700,134516-110246,8.8229,8.8229,1.0,1.1059928569419837,9.758031006439095,BAL,24.58,52.5,2.0,1.0,6.9526,statline_mc+recal_10_4b,1.880242159285124,21.73601828161115,0.0,0.0,0.0,0.09175,0.4498736533896224,0.00325,7.25425,4.499,55.50043641100134,0.32425,9.758031006439095,0.0,5.650000095367432,85.15392156862744,18.85748826975247,,classic,True,,ACTIVE
00-0036973,Travis Etienne Jr.,RB,NO,6900,134516-89956,8.8229,8.8229,1.0,1.0497483056328916,9.261808407567038,LV,23.33,43.56,2.0,1.0,7.0646,statline_mc+recal_10_4b,1.8884697550639515,20.08544360779564,0.0,0.0,0.0,8.4645,36.90104309400483,0.238,3.73775,2.873,21.397040981665544,0.112,9.261808407567038,0.0,8.699999809265137,72.09803921568627,8.31324328457828,,classic,True,Questionable,QUESTIONABLE
00-0033293,Aaron Jones Sr.,RB,MIN,6200,134516-40442,9.0395,9.0395,1.0,0.9849545825248178,8.903521162490652,TB,21.89,42.5,2.0,1.0,7.6468,statline_mc+recal_10_4b,1.0310207704169263,20.2086401757914,0.0,0.0,0.0,13.49725,56.11041509206382,0.387,1.008,0.74075,5.821046532842694,0.02775,8.903521162490652,0.0,11.75,65.54003267973856,4.5798553163897475,,classic,True,Questionable,QUESTIONABLE
00-0039424,Devaughn Vele,WR,NO,5700,134516-103511,8.3201,8.3201,1.0,1.0497483056328916,8.734006103338709,LV,23.33,43.56,2.0,1.0,6.8352,statline_mc+recal_10_4b,1.562875025748048,19.36795940588861,0.0,0.0,0.0,0.04275,0.338323805978561,0.001,5.91925,3.8355,49.10923722740852,0.31825,8.734006103338709,0.0,12.649999618530272,74.09803921568627,9.841066309083738,,classic,True,,ACTIVE
00-0033288,George Kittle,TE,SF,6100,134516-39793,6.3894,6.3894,1.0,1.2697769903540592,8.11313125029505,ARI,28.22,47.83,2.0,1.0,5.9817,statline_mc+recal_10_4b,1.2598512339499852,18.322880024709605,0.0,0.0,0.0,0.0,0.0,0.0,4.603,3.062,45.64131250295049,0.3435,8.11313125029505,0.0,9.100000381469728,90.02303921568627,14.632424957435527,,classic,True,,ACTIVE
