team,opponent,commence_time,spread,over_under,implied_total
JAX,CLE,2026-09-13T17:03:55Z,-23.0,43.8,33.4
CLE,JAX,2026-09-13T17:03:55Z,23.0,43.8,10.4
CIN,TB,2026-09-13T17:03:58Z,-14.2,53.6,33.9
TB,CIN,2026-09-13T17:03:58Z,14.2,53.6,19.7
PIT,ATL,2026-09-13T17:04:05Z,-2.8,41.67,22.23
ATL,PIT,2026-09-13T17:04:05Z,2.8,41.67,19.43
TEN,NYJ,2026-09-13T17:04:40Z,3.5,40.33,18.42
NYJ,TEN,2026-09-13T17:04:40Z,-3.5,40.33,21.92
HOU,BUF,2026-09-13T17:04:47Z,0.42,48.42,24.0
BUF,HOU,2026-09-13T17:04:47Z,-0.42,48.42,24.42
CAR,CHI,2026-09-13T17:04:51Z,13.7,62.6,24.45
CHI,CAR,2026-09-13T17:04:51Z,-13.7,62.6,38.15
IND,BAL,2026-09-13T17:05:06Z,11.3,59.3,24.0
BAL,IND,2026-09-13T17:05:06Z,-11.3,59.3,35.3
DET,NO,2026-09-13T17:05:30Z,-11.0,43.0,27.0
NO,DET,2026-09-13T17:05:30Z,11.0,43.0,16.0
LAC,ARI,2026-09-13T20:25:00Z,-9.11,47.17,28.14
ARI,LAC,2026-09-13T20:25:00Z,9.11,47.17,19.03
MIN,GB,2026-09-13T20:25:00Z,-1.61,46.06,23.83
GB,MIN,2026-09-13T20:25:00Z,1.61,46.06,22.22
LV,MIA,2026-09-13T20:25:00Z,-3.0,40.39,21.69
MIA,LV,2026-09-13T20:25:00Z,3.0,40.39,18.69
PHI,WAS,2026-09-13T20:25:00Z,-5.89,44.17,25.03
WAS,PHI,2026-09-13T20:25:00Z,5.89,44.17,19.14
NYG,DAL,2026-09-14T00:20:00Z,3.0,47.5,22.25
DAL,NYG,2026-09-14T00:20:00Z,-3.0,47.5,25.25
KC,DEN,2026-09-15T00:15:00Z,-2.17,43.5,22.83
DEN,KC,2026-09-15T00:15:00Z,2.17,43.5,20.67
