player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct
00-0019596,Tom Brady,QB,TB,6900,1131,26.1166,26.1166,1.4390793094821115,1.3540051679586564,50.88881121013895,ATL,32.75,52.0,8.8733,statline_mc+recal_10_4b,24.97561200272365,81.96903742498505,49.75575,711.2577802534738,5.22075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.84483681112894,13.398301042622752
00-0036355,Justin Herbert,QB,LAC,6700,1552,23.4807,23.4807,1.3590192644483363,1.198966408268734,38.25991004016688,DAL,29.0,55.0,8.6338,statline_mc+recal_10_4b,17.905326816503145,60.83916444867384,46.9085,540.5397444745723,2.8835,3.9915,24.39570261183979,0.23575,0.0,0.0,0.0,0.0,77.98822899946495,8.482631530105895
00-0029263,Russell Wilson,QB,SEA,7500,1412,17.5029,17.5029,1.6792594445834377,1.2403100775193798,36.45514060619264,TEN,30.0,53.5,8.6686,statline_mc+recal_10_4b,15.646813720847463,60.548964880644725,23.096,413.16618767103625,3.09575,5.06925,39.88493099351191,0.36675,0.0,0.0,0.0,0.0,80.32905296950241,9.915266647426996
00-0035243,Miles Sanders,RB,PHI,6900,5714,15.1583,15.1583,2.2784664168348225,0.9509043927648578,32.84202567558786,SF,23.0,49.0,11.7516,statline_mc+recal_10_4b,6.572247810219858,69.25999275494398,0.0,0.0,0.0,14.87175,139.16753930517768,0.7745,5.017,3.71775,69.73271745070093,0.30875,72.58903066082651,7.141558173139466
00-0036389,Jalen Hurts,QB,PHI,6500,1554,23.4591,23.4591,1.4470853139854891,0.9509043927648578,32.28064687555775,SF,23.0,49.0,8.5751,statline_mc+recal_10_4b,13.417053048361208,53.061848182144125,35.3865,356.2334975686176,2.63275,7.08775,46.78056972813051,0.33575,0.0,0.0,0.0,0.0,64.95585874799359,3.557990930439348
00-0030279,Keenan Allen,WR,LAC,7000,5198,19.397,19.397,1.2832789484919642,1.198966408268734,29.84433351427133,DAL,29.0,55.0,11.4924,statline_mc+recal_10_4b,7.473813439133909,61.55160814101327,0.0,0.0,0.0,0.0,0.0,0.0,12.89875,8.00675,154.19083514271327,0.85425,83.76094299303784,14.386531487255796
00-0027061,Jared Cook,TE,LAC,3900,4437,10.6981,10.6981,2.239814636030122,1.198966408268734,28.729376590420102,DAL,29.0,55.0,9.8732,statline_mc+recal_10_4b,5.701375805094579,58.72439708111035,0.0,0.0,0.0,0.0,0.0,0.0,8.0115,5.17225,155.37626590420103,1.1125,80.13108614232209,8.088965867937446
00-0033921,Chris Godwin,WR,TB,6600,5579,20.8536,20.8536,1.00759354700985,1.3540051679586564,28.45023296610639,ATL,32.75,52.0,11.3438,statline_mc+recal_10_4b,7.515871642823326,57.82126511308436,0.0,0.0,0.0,0.0,0.0,0.0,12.99475,8.0295,139.82482966106392,0.87725,85.86441028469015,16.552275888585914
00-0033536,Mike Williams,WR,LAC,6100,5594,18.3679,18.3679,1.2832789484919642,1.198966408268734,28.261016078305303,DAL,29.0,55.0,11.4144,statline_mc+recal_10_4b,6.94449393826324,57.42101434415358,0.0,0.0,0.0,0.0,0.0,0.0,12.084,7.422,140.93266078305308,0.9225,81.76707796236299,12.595859138476936
00-0026498,Matthew Stafford,QB,LA,6400,1340,18.9671,18.9671,1.3540155116337254,1.074935400516796,27.606180608568312,IND,26.0,48.0,8.3898,statline_mc+recal_10_4b,10.793079445102803,46.76779769538141,26.32575,352.716685277226,2.15975,4.9445,25.15763197479276,0.25475,0.0,0.0,0.0,0.0,65.78116639914393,3.75923902614626
00-0027656,Rob Gronkowski,TE,TB,4700,4494,12.8565,12.8565,1.513805754006565,1.3540051679586564,26.352023380726607,ATL,32.75,52.0,9.5789,statline_mc+recal_10_4b,5.775002239895974,54.07432188400993,0.0,0.0,0.0,0.0,0.0,0.0,8.0165,5.636,129.00023380726606,1.11,85.9956304619226,11.958837152796146
