player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,sigma,dst_p10,dst_p90,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available
00-0037744,Trey McBride,TE,ARI,9000,300042,24.299999999999997,29.1495,1.130560726202587,1.0,30.213952767582583,SEA,0.0,0.0,,,,CPT,showdown,70.19021739130434,5.318578740147969,True
00-0036139,Rico Dowdle,RB,CAR,9300,300060,21.950000000000003,29.947500000000005,1.04118660282448,1.0,27.017490860041733,NO,0.0,0.0,,,,CPT,showdown,69.75543478260869,5.166629833892438,True
00-0033119,Jacoby Brissett,QB,ARI,12000,300004,19.65,26.684999999999995,0.951280295768862,1.0,22.038786252225105,SEA,0.0,0.0,,,,CPT,showdown,75.40760869565219,7.531032875833802,True
00-0037744,Trey McBride,TE,ARI,6000,300043,16.2,19.433,1.130560726202587,1.0,20.14263517838839,SEA,0.0,0.0,,,,FLEX,showdown,70.19021739130434,26.59055000328382,True
00-0036139,Rico Dowdle,RB,CAR,6200,300061,14.633333333333336,19.965000000000003,1.04118660282448,1.0,18.011660573361155,NO,0.0,0.0,,,,FLEX,showdown,69.75543478260869,25.83087243016969,True
00-0039849,Marvin Harrison Jr.,WR,ARI,9400,300020,18.4125,21.066000000000003,0.9091575407432956,1.0,17.9460879861171,SEA,0.0,0.0,,,,CPT,showdown,66.71195652173913,4.217835389546524,True
00-0040124,Tetairoa McMillan,WR,CAR,9800,300076,18.133333333333333,17.5605,0.9930154350263,1.0,17.722263717628124,NO,0.0,0.0,,,,CPT,showdown,65.625,3.923006356205262,True
00-0039150,Bryce Young,QB,CAR,8100,300054,17.887500000000003,14.447099999999999,1.044352143462098,1.0,16.884354408994774,NO,0.0,0.0,,,,CPT,showdown,62.907608695652165,3.2729733960452743,True
00-0033119,Jacoby Brissett,QB,ARI,8000,300005,13.1,17.789999999999996,0.951280295768862,1.0,14.69252416815007,SEA,0.0,0.0,,,,FLEX,showdown,75.40760869565219,37.65184573645359,True
00-0036555,Chuba Hubbard,RB,CAR,6000,300058,16.00714285714286,9.6015,1.04118660282448,1.0,13.331687929686982,NO,0.0,0.0,,,,CPT,showdown,71.27717391304347,5.718290411842535,True
00-0040279,Ryan Fitzgerald,K,CAR,6600,300088,11.9931,11.9931,1.0,1.0,11.9931,NO,0.0,0.0,7.289330154870564,3.0,22.5,CPT,showdown,65.84239130434781,3.980275512275331,True
00-0039849,Marvin Harrison Jr.,WR,ARI,6300,300021,12.275,14.044,0.9091575407432956,1.0,11.9640586574114,SEA,0.0,0.0,,,,FLEX,showdown,66.71195652173913,21.087318306438508,True
00-0040124,Tetairoa McMillan,WR,CAR,6500,300077,12.088888888888889,11.707,0.9930154350263,1.0,11.814842478418749,NO,0.0,0.0,,,,FLEX,showdown,67.14673913043478,21.707489492596743,True
00-0036924,Michael Carter,RB,ARI,8600,300006,12.150000000000002,12.606521739130432,0.9267257988309406,1.0,11.4712536924856,SEA,0.0,0.0,,,,CPT,showdown,57.146739130434774,2.229195807880687,True
00-0039342,Xavier Legette,WR,CAR,8600,300078,10.735714285714286,12.217500000000001,0.9930154350263,1.0,11.396448034590229,NO,0.0,0.0,,,,CPT,showdown,56.05978260869565,2.073373784386186,True
00-0039150,Bryce Young,QB,CAR,5400,300055,11.925,9.6314,1.044352143462098,1.0,11.256236272663184,NO,0.0,0.0,,,,FLEX,showdown,62.907608695652165,16.363424704047574,True
00-0038567,Chad Ryland,K,ARI,7000,300050,11.195475,11.195475,1.0,1.0,11.195475,SEA,0.0,0.0,6.9345516383322305,3.0,21.0,CPT,showdown,60.95108695652174,2.872733698376161,True
DST_ARI,ARI Defense,DST,ARI,4800,300052,10.584272578499998,10.584272578499998,1.0472311453254872,1.065217391304348,10.584272578499998,CAR,26.0,49.0,,,,CPT,showdown,91.82065217391306,22.49369615488688,True
