cash_player_name,cash_position,cash_team,cash_salary,cash_final_projection,cash_estimated_ownership_pct,cash_roster_role,pivot_rank,pivot_player_name,pivot_team,pivot_salary,pivot_final_projection,pivot_estimated_ownership_pct,pivot_roster_role,salary_diff,salary_diff_pct,projection_diff,projection_diff_pct,ownership_edge_pts,outprojects_cash_player,leverage_score,lineup_salary_after_swap,site_salary_cap
Mark Andrews,TE,BAL,4400,7.516834911262829,10.310856603454388,,1,Mike Gesicki,CIN,3600,7.809446869213212,4.782169542808362,,-800,-1.6,0.292611957950383,3.8927548816051374,5.528687060646026,True,5.528687060646026,49200,50000
Mark Andrews,TE,BAL,4400,7.516834911262829,10.310856603454388,,2,Harold Fannin Jr.,CLE,4100,4.563854780070624,1.3849135367048515,,-300,-0.6,-2.952980131192205,-39.28488740344178,8.925943066749536,False,5.419396383281663,49700,50000
Mark Andrews,TE,BAL,4400,7.516834911262829,10.310856603454388,,3,Noah Fant,NO,3400,5.513510040263745,3.123884233925309,,-1000,-2.0,-2.0033248709990836,-26.65117558984044,7.186972369529079,False,5.271559743732568,49000,50000
Baker Mayfield,QB,TB,5600,14.2894319648029,6.296182465845243,,1,Geno Smith,NYJ,4800,8.981006847060232,1.804131660571057,,-800,-1.6,-5.308425117742667,-37.14930817976632,4.492050805274186,False,2.8232850080312035,49200,50000
Baker Mayfield,QB,TB,5600,14.2894319648029,6.296182465845243,,2,Tyler Shough,NO,5300,11.418438092046785,3.026583331312273,,-300,-0.6,-2.870993872756115,-20.091728487373192,3.26959913453297,False,2.612680153797102,49700,50000
Baker Mayfield,QB,TB,5600,14.2894319648029,6.296182465845243,,3,Carson Wentz,MIN,4600,8.57486257113692,2.720151898626239,,-1000,-2.0,-5.714569393665979,-39.99157844581824,3.576030567219004,False,2.145919497683177,49000,50000
Dalton Schultz,TE,HOU,3200,6.434873113579191,6.139170816371197,,1,Tommy Tremble,CAR,2600,4.888829577392389,2.7751752259626,,-600,-1.2,-1.5460435361868017,-24.02601432690667,3.363995590408597,False,2.5557615279005192,49400,50000
Panthers,DST,CAR,2700,9.8437850505,9.980642100300564,,1,Titans,TEN,2100,6.3059406885,1.4024618074898108,,-600,-1.2,-3.5378443619999995,-35.93987824653181,8.578180292810753,False,5.4951927398065825,49400,50000
Panthers,DST,CAR,2700,9.8437850505,9.980642100300564,,2,Bengals,CIN,2700,6.419291166000001,1.6669960661947127,,0,0.0,-3.4244938844999986,-34.7883854323501,8.313646034105851,False,5.421462808279819,50000,50000
Panthers,DST,CAR,2700,9.8437850505,9.980642100300564,,3,Browns,CLE,2200,6.5290406175,2.765304332538599,,-500,-1.0,-3.3147444329999995,-33.67347433934097,7.215337767761965,False,4.785682856037862,49500,50000
Rhamondre Stevenson,RB,NE,5700,11.061302903071216,6.840982029777774,,1,Jaylen Warren,PIT,5400,6.711143652934856,1.461824826061194,,-300,-0.6,-4.350159250136359,-39.32772918575912,5.379157203716581,False,3.263656826162671,49700,50000
David Montgomery,RB,HOU,6500,10.606465306011456,17.69174100594581,,1,Breece Hall,NYJ,6200,9.445339960579965,4.804133388564496,,-300,-0.6,-1.1611253454314916,-10.947335534802507,12.887607617381315,False,11.476757969097816,49700,50000
