team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
DET,pass,1.0,exclusive,12.9,31.37,2.4313,18.47
CHI,pass,1.0,exclusive,17.5,30.75,1.7569,13.25
WAS,rush,0.3066,recent,13.36,7.8,0.5835,5.56
ARI,rush,0.4318,recent,16.09,10.23,0.6359,5.86
PHI,rush,0.6,recent,28.52,18.18,0.6375,10.34
JAX,rush,0.3932,recent,14.33,9.43,0.6585,4.89
IND,pass,1.0,exclusive,24.08,31.88,1.324,7.8
NYG,pass,1.0,exclusive,23.94,30.84,1.288,6.9
PHI,pass,1.0,exclusive,24.87,31.76,1.2768,6.89
HOU,pass,1.0,exclusive,25.18,31.84,1.2648,6.67
TB,recv,0.5913,recent,29.28,21.67,0.7401,7.61
WAS,pass,1.0,exclusive,25.91,32.43,1.2518,6.52
TB,rush,0.512,recent,19.48,14.79,0.7591,4.69
NYJ,rush,0.5391,recent,16.9,12.86,0.7612,4.04
DET,rush,0.8881,recent,30.79,23.7,0.7698,7.09
CHI,recv,0.9667,recent,37.83,29.14,0.7703,8.69
GB,pass,1.0,exclusive,42.81,33.03,0.7716,9.78
JAX,recv,0.7175,recent,28.24,22.0,0.7789,6.24
MIN,pass,1.0,exclusive,25.78,31.28,1.2129,5.49
KC,rush,0.5185,recent,17.53,13.86,0.7908,3.67
MIN,rush,0.9265,recent,29.77,23.68,0.7955,6.09
DET,recv,0.4753,recent,18.07,14.43,0.7985,3.64
BAL,pass,1.0,exclusive,29.56,35.42,1.1981,5.86
IND,rush,0.9892,recent,37.2,29.93,0.8046,7.27
CAR,pass,1.0,exclusive,38.16,30.7,0.8046,7.46
DEN,pass,1.0,exclusive,26.55,31.71,1.1943,5.16
PHI,recv,0.875,recent,22.45,26.73,1.1904,4.28
CAR,recv,0.8488,recent,31.04,25.34,0.8162,5.7
IND,recv,0.832,recent,21.95,25.69,1.1702,3.74
NYJ,pass,1.0,exclusive,28.33,32.65,1.1525,4.32
NYG,recv,0.6798,recent,23.78,20.18,0.8483,3.61
ARI,recv,0.7026,recent,30.89,26.27,0.8506,4.62
HOU,rush,0.8231,recent,24.24,20.63,0.8511,3.61
JAX,pass,1.0,exclusive,37.87,32.33,0.8538,5.54
NO,rush,0.5772,recent,20.58,17.6,0.8552,2.98
SEA,rush,0.7568,recent,18.88,21.61,1.1444,2.73
LAC,recv,0.7556,recent,29.39,25.42,0.865,3.97
BAL,rush,0.7444,recent,21.14,18.38,0.8694,2.76
CLE,pass,1.0,exclusive,29.13,32.64,1.1203,3.51
BAL,recv,0.8486,recent,32.86,28.91,0.8798,3.95
DEN,rush,0.915,recent,26.84,23.63,0.8803,3.21
TEN,rush,0.9085,recent,30.33,26.8,0.8836,3.53
BUF,pass,1.0,exclusive,41.59,36.76,0.8838,4.83
LV,rush,0.9141,recent,26.21,23.17,0.8843,3.03
GB,recv,0.8857,recent,32.5,28.74,0.8845,3.75
ATL,rush,0.969,recent,25.98,23.04,0.8868,2.94
MIA,rush,0.8876,recent,28.57,25.4,0.8891,3.17
MIA,recv,0.8101,recent,26.91,24.1,0.8956,2.81
GB,rush,0.9839,recent,26.36,29.1,1.1041,2.74
MIN,recv,0.8758,recent,29.12,26.12,0.8971,2.99
ATL,pass,1.0,exclusive,29.24,32.19,1.1009,2.95
PIT,recv,0.96,recent,34.59,31.12,0.8997,3.47
NYJ,recv,0.3873,recent,13.23,11.94,0.9021,1.3
LV,recv,0.927,recent,33.49,30.21,0.9021,3.28
BUF,recv,0.8895,recent,34.89,31.64,0.9068,3.25
SF,rush,0.9143,recent,29.7,27.06,0.9112,2.64
WAS,recv,0.707,recent,24.12,22.0,0.9119,2.13
NO,recv,0.6391,recent,18.88,17.24,0.9127,1.65
PIT,rush,0.9434,recent,22.86,24.75,1.0828,1.89
NE,pass,1.0,exclusive,29.24,31.62,1.0816,2.39
TB,pass,1.0,exclusive,40.54,37.25,0.919,3.29
LAC,rush,0.8015,recent,25.0,23.01,0.9204,1.99
KC,pass,1.0,exclusive,33.49,36.1,1.078,2.61
CAR,rush,0.7798,recent,19.14,20.59,1.0759,1.45
CHI,rush,0.854,recent,24.0,25.78,1.0743,1.78
LA,rush,0.8,recent,24.12,22.47,0.9318,1.65
