team,opponent,commence_time,spread,over_under,implied_total
CAR,ATL,2020-10-29,-1.5,52.0,26.75
ATL,CAR,2020-10-29,1.5,52.0,25.25
BAL,PIT,2020-11-01,-4.0,44.0,24.0
PIT,BAL,2020-11-01,4.0,44.0,20.0
BUF,NE,2020-11-01,-4.0,41.0,22.5
NE,BUF,2020-11-01,4.0,41.0,18.5
CIN,TEN,2020-11-01,7.5,49.5,21.0
TEN,CIN,2020-11-01,-7.5,49.5,28.5
CLE,LV,2020-11-01,-1.0,48.0,24.5
LV,CLE,2020-11-01,1.0,48.0,23.5
DET,IND,2020-11-01,3.5,49.0,22.75
IND,DET,2020-11-01,-3.5,49.0,26.25
GB,MIN,2020-11-01,-5.5,47.0,26.25
MIN,GB,2020-11-01,5.5,47.0,20.75
KC,NYJ,2020-11-01,-20.0,49.0,34.5
NYJ,KC,2020-11-01,20.0,49.0,14.5
MIA,LA,2020-11-01,3.5,46.5,21.5
LA,MIA,2020-11-01,-3.5,46.5,25.0
DEN,LAC,2020-11-01,3.0,44.5,20.75
LAC,DEN,2020-11-01,-3.0,44.5,23.75
CHI,NO,2020-11-01,5.5,41.0,17.75
NO,CHI,2020-11-01,-5.5,41.0,23.25
SEA,SF,2020-11-01,-1.0,54.5,27.75
SF,SEA,2020-11-01,1.0,54.5,26.75
PHI,DAL,2020-11-01,-10.0,43.0,26.5
DAL,PHI,2020-11-01,10.0,43.0,16.5
NYG,TB,2020-11-02,13.0,47.0,17.0
TB,NYG,2020-11-02,-13.0,47.0,30.0
