team,opponent,commence_time,spread,over_under,implied_total
BAL,IND,2017-12-23,-13.5,41.0,27.25
IND,BAL,2017-12-23,13.5,41.0,13.75
GB,MIN,2017-12-23,8.5,41.0,16.25
MIN,GB,2017-12-23,-8.5,41.0,24.75
CAR,TB,2017-12-24,-10.0,46.5,28.25
TB,CAR,2017-12-24,10.0,46.5,18.25
CHI,CLE,2017-12-24,-5.5,37.0,21.25
CLE,CHI,2017-12-24,5.5,37.0,15.75
CIN,DET,2017-12-24,3.0,43.5,20.25
DET,CIN,2017-12-24,-3.0,43.5,23.25
KC,MIA,2017-12-24,-11.0,43.5,27.25
MIA,KC,2017-12-24,11.0,43.5,16.25
NE,BUF,2017-12-24,-11.0,47.5,29.25
BUF,NE,2017-12-24,11.0,47.5,18.25
NO,ATL,2017-12-24,-5.5,52.0,28.75
ATL,NO,2017-12-24,5.5,52.0,23.25
NYJ,LAC,2017-12-24,7.5,42.5,17.5
LAC,NYJ,2017-12-24,-7.5,42.5,25.0
TEN,LA,2017-12-24,5.5,46.0,20.25
LA,TEN,2017-12-24,-5.5,46.0,25.75
WAS,DEN,2017-12-24,-3.0,39.5,21.25
DEN,WAS,2017-12-24,3.0,39.5,18.25
SF,JAX,2017-12-24,4.0,43.0,19.5
JAX,SF,2017-12-24,-4.0,43.0,23.5
ARI,NYG,2017-12-24,-3.0,39.0,21.0
NYG,ARI,2017-12-24,3.0,39.0,18.0
DAL,SEA,2017-12-24,-4.5,47.0,25.75
SEA,DAL,2017-12-24,4.5,47.0,21.25
HOU,PIT,2017-12-25,8.0,45.5,18.75
PIT,HOU,2017-12-25,-8.0,45.5,26.75
PHI,LV,2017-12-25,-10.0,46.0,28.0
LV,PHI,2017-12-25,10.0,46.0,18.0
