player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available
00-0039139,Jahmyr Gibbs,RB,DET,8000,43727325,18.3302,18.3302,0.9433381098418396,1.246724364795493,21.55786485950851,NO,28.03,49.11,17.0,1.0,9.8106,statline_mc+recal_10_4b,4.859339460684221,43.61656763521931,0.0,0.0,0.0,13.6945,80.27070730260544,0.74225,4.62,3.655,32.48294129247971,0.21425,96.8886462882096,23.487462411920117,,classic,True
00-0033106,Jared Goff,QB,DET,6000,43727241,18.159,18.159,0.8589160712997042,1.246724364795493,19.445198538789608,NO,28.03,49.11,17.0,1.0,8.0593,statline_mc+recal_10_4b,7.2455589228619575,34.227773330223584,31.8165,269.22114698998655,1.926,0.993,3.931026591901492,0.033,0.0,0.0,0.0,0.0,94.55531295487627,14.327299069206607,,classic,True
00-0036355,Justin Herbert,QB,LAC,6100,43727240,14.7973,14.7973,1.03997979360612,1.2578439185307364,19.356887649851966,ARI,28.28,46.28,16.0,0.8,8.0911,statline_mc+recal_10_4b,7.361196189470024,34.40140007011695,24.829,238.0533497401556,1.6315,3.2795,23.36753660245741,0.154,0.0,0.0,0.0,0.0,79.48321688500728,5.2454463512051905,,classic,True
00-0036963,Amon-Ra St. Brown,WR,DET,7500,43727633,17.1712,17.1712,0.9025218576525974,1.246724364795493,19.321007296093775,NO,28.03,49.11,17.0,1.0,9.7903,statline_mc+recal_10_4b,5.086124234480694,40.5692992190232,0.0,0.0,0.0,0.0,0.0,0.0,9.436,6.34875,85.18257296093778,0.6225,96.78111940648917,20.696027113477303,,classic,True
00-0036442,Joe Burrow,QB,CIN,6900,43727235,12.6563,12.6563,1.1931875586346252,1.2204822179803185,18.430866274473885,TB,27.44,51.39,8.0,1.0,8.0317,statline_mc+recal_10_4b,6.75393643381957,33.0932623674349,22.69,229.53310260988098,1.95225,1.45425,8.35042170078647,0.08325,0.0,0.0,0.0,0.0,95.08854924793788,14.84578266682843,,classic,True
00-0036389,Jalen Hurts,QB,PHI,6600,43727237,12.6404,12.6404,1.1995381395684492,1.1426453418336147,17.325513466228557,WAS,25.69,46.78,16.0,0.8,7.9952,statline_mc+recal_10_4b,6.537075044151737,31.285708811969638,20.90075,202.7946884259852,1.5225,3.06525,17.17725929189145,0.2375,0.0,0.0,0.0,0.0,76.89580058224162,4.414373486695626,,classic,True
00-0034855,Baker Mayfield,QB,TB,5900,43727242,14.2724,14.2724,1.129898246373674,1.0648084656869106,17.17147437691107,CIN,23.94,51.39,17.0,1.0,7.9409,statline_mc+recal_10_4b,6.485079457344,30.643611230004687,26.61275,215.92832927630604,1.5005,2.90025,19.81841205858832,0.1135,0.0,0.0,0.0,0.0,88.9784085395439,9.878622861153524,,classic,True
00-0036223,Jonathan Taylor,RB,IND,7300,43727329,16.1297,16.1297,1.0528853236196114,0.9958672325284014,16.912575705542235,BAL,22.39,48.22,17.0,1.0,8.9637,statline_mc+recal_10_4b,3.493474361796253,35.367290514507,0.0,0.0,0.0,13.667,68.05326708901664,0.6915,3.09575,2.4865,21.397489966405697,0.1095,87.11863173216884,12.245180863097312,,classic,True
00-0038542,Bijan Robinson,RB,ATL,7700,43727327,21.1489,21.1489,0.8862878493658852,0.8708834485442651,16.323836890118272,PIT,19.58,42.17,17.0,1.0,8.6825,statline_mc+recal_10_4b,4.320910706153655,33.47611476631143,0.0,0.0,0.0,16.8115,65.17210262576589,0.32725,4.80175,3.65675,27.10126627541682,0.13775,72.13353912563367,4.509229457351541,,classic,True
00-0036900,Ja'Marr Chase,WR,CIN,7800,43727631,12.88,12.88,1.022361164037218,1.2204822179803185,16.07132813127306,TB,27.44,51.39,16.0,1.0,9.2715,statline_mc+recal_10_4b,3.7592654037084263,34.59906568150753,0.0,0.0,0.0,0.0605,0.4923741560775403,0.0015,7.82375,5.18275,75.76590715665303,0.4295,97.00611197195222,21.00879709581749,,classic,True
00-0036971,Trevor Lawrence,QB,JAX,5800,43727243,17.4389,17.4389,0.8166269755358303,1.067477158583369,15.202048762047482,CLE,24.0,40.5,17.0,1.0,7.8614,statline_mc+recal_10_4b,5.006669372440121,27.788228378816168,28.2395,177.69195486945517,1.24925,5.15975,18.99120567269276,0.3025,0.0,0.0,0.0,0.0,76.6608442503639,4.345766543824298,,classic,True
00-0040743,Tyler Shough,QB,NO,5600,43727245,13.7079,13.7079,1.1180630728151837,0.9376007709557257,14.369904658094416,DET,21.08,49.11,11.0,1.0,7.7876,statline_mc+recal_10_4b,5.178572468150104,25.81150698146706,29.79275,226.16743546537356,1.0615,1.631,6.909572394794746,0.07925,0.0,0.0,0.0,0.0,76.57399320718098,4.320676958622313,,classic,True
00-0039150,Bryce Young,QB,CAR,5200,43727251,13.3664,13.3664,1.112361983113228,0.9660668285179489,14.36375099758762,CHI,21.72,45.94,16.0,1.0,7.8705,statline_mc+recal_10_4b,4.668564873481949,26.18530227075278,23.429,159.98074877991738,1.187,5.468,23.907710463909265,0.23525,0.0,0.0,0.0,0.0,72.40684133915576,3.2726562656947915,,classic,True
00-0039361,Bucky Irving,RB,TB,5700,43727359,10.3774,10.3774,1.2885323619611362,1.0648084656869106,14.238176738284121,CIN,23.94,51.39,10.0,1.0,8.765,statline_mc+recal_10_4b,2.499155283575648,31.442692144245925,0.0,0.0,0.0,14.60475,70.81023799884129,0.326,2.21025,1.75825,20.30402938399994,0.1205,89.02055413341364,13.900534427343965,,classic,True
00-0038597,Chase Brown,RB,CIN,7100,43727333,11.5086,11.5086,1.0046738358934528,1.2204822179803185,14.111709594524767,TB,27.44,51.39,17.0,1.0,8.5379,statline_mc+recal_10_4b,2.952892236943362,30.195543746969843,0.0,0.0,0.0,10.318,54.70719845765292,0.3315,3.6065,2.79525,22.519897487594736,0.18025,94.62111629774631,20.19223447095836,,classic,True
