player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available,injury_raw_status,injury_status
00-0038543,Jaxon Smith-Njigba,WR,SEA,9200,134503-129458,16.7919,16.7919,1.0,1.074945864619365,18.05037256567544,WAS,23.89,40.28,2.0,1.0,9.0739,statline_mc+recal_10_4b,3.178408437224733,39.46937256358512,0.0,0.0,0.0,0.16225,1.0594908963826122,0.005,10.09725,6.769,101.4192347603718,0.743,18.05037256567544,0.0,33.099998474121094,80.80234283798217,5.322288830639631,,classic,True,,ACTIVE
00-0036442,Joe Burrow,QB,CIN,8000,134503-63336,15.5889,15.5889,1.0,1.0335498748558731,16.111888575397053,PIT,22.97,42.44,2.0,1.0,7.5103,statline_mc+recal_10_4b,6.246338418088048,27.73715269366154,32.3325,234.6136694851448,1.49075,2.829,11.688417959912616,0.1145,0.0,0.0,0.0,0.0,16.111888575397053,0.0,15.670000076293944,72.71517502706604,2.4360470428233185,,classic,True,,ACTIVE
00-0037248,James Cook III,RB,BUF,8100,134503-91626,12.47,12.47,1.0,1.290924941646278,16.097815675811194,LAC,28.69,50.17,2.0,1.0,9.1598,statline_mc+recal_10_4b,2.843741815720528,34.80698105142853,0.0,0.0,0.0,13.88375,84.90591637054018,0.53825,3.48475,2.513,25.25724038757177,0.12975,16.097815675811194,0.0,15.899999618530272,95.8775580247973,25.861198645443228,,classic,True,,ACTIVE
00-0033280,Christian McCaffrey,RB,SF,8900,134503-55050,12.5835,12.5835,1.0,1.2697769903540592,15.978221306245148,ARI,28.22,47.83,2.0,1.0,8.9948,statline_mc+recal_10_4b,3.2624748918309714,32.91908241352725,0.0,0.0,0.0,10.8685,60.415359977736415,0.525,5.23825,3.93125,39.04560308471507,0.179,15.978221306245148,0.0,15.949999809265137,93.26298318246171,20.390214442442854,,classic,True,,ACTIVE
00-0029604,Kirk Cousins,QB,LV,6800,134503-22038,17.506,17.506,1.0,0.9098118619758708,15.927149831792365,NO,20.22,43.56,2.0,1.0,7.5267,statline_mc+recal_10_4b,5.587777961213751,27.843178551836544,31.67175,203.62938908011415,1.836,3.27825,10.099742685877994,0.112,0.0,0.0,0.0,0.0,15.927149831792365,0.0,18.51000022888184,64.14191627571275,1.3204875653237553,,classic,True,,ACTIVE
00-0039163,C.J. Stroud,QB,HOU,7000,134503-129471,15.8494,15.8494,1.0,0.9912539722714362,15.710792659436883,IND,22.03,42.56,2.0,1.0,7.4786,statline_mc+recal_10_4b,5.9629998509156135,27.421977895958108,36.089,247.2576689983729,1.2545,2.56225,11.95985899501968,0.1015,0.0,0.0,0.0,0.0,15.710792659436883,0.0,18.239999771118164,70.0869271021292,2.019085460417289,,classic,True,,ACTIVE
00-0033537,Deshaun Watson,QB,CLE,6600,134503-54879,17.2439,17.2439,1.0,0.8922635619674343,15.38609637625689,CAR,19.83,42.11,2.0,1.0,7.5112,statline_mc+recal_10_4b,5.372342029545041,26.880969931353334,29.9715,213.6559195852182,1.308,5.103,18.553595928481627,0.1765,0.0,0.0,0.0,0.0,15.38609637625689,0.0,17.360000610351562,56.348024178996745,0.7567627050399799,,classic,True,,ACTIVE
00-0036355,Justin Herbert,QB,LAC,7200,134503-69189,15.6514,15.6514,1.0,0.9660564132849628,15.120147286184212,BUF,21.47,50.17,2.0,1.0,7.4891,statline_mc+recal_10_4b,5.2456145250877935,26.362325602240805,33.1645,229.75341118754145,1.31825,2.95475,12.397608386825524,0.1185,0.0,0.0,0.0,0.0,15.120147286184212,0.0,12.06999969482422,74.97311439913388,2.8623931620546537,,classic,True,,ACTIVE
00-0036358,CeeDee Lamb,WR,DAL,8600,134503-86631,13.6082,13.6082,1.0,1.1059928569419837,15.050541111347044,BAL,24.58,52.5,2.0,1.0,8.4421,statline_mc+recal_10_4b,2.791791865992713,33.3356054398295,0.0,0.0,0.0,0.42525,2.534099725781469,0.019,8.4765,5.56975,83.65756138768896,0.6005,15.050541111347044,0.0,23.600000381469727,94.12008519410846,11.649928601166947,,classic,True,,ACTIVE
00-0038606,Parker Washington,WR,JAX,7100,134503-137516,13.3934,13.3934,1.0,1.09879355437442,14.716588495450422,NE,24.42,45.89,2.0,1.0,8.4941,statline_mc+recal_10_4b,2.651088826479372,32.21549613367583,0.0,0.0,0.0,0.05425,0.4828832166160671,0.00175,9.193,5.79375,88.16425173788815,0.50275,14.716588495450422,0.0,15.050000190734863,87.74040013909242,8.004664704929494,,classic,True,,ACTIVE
