player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available
00-0037091,Bo Melton,WR,GB,3000,43727949,1.4112,1.4112,0.7717568018604851,1.0025215069712252,1.0918716131554982,MIN,22.53,45.06,4.1131,statline_mc+recal_10_4b,0.0,2.8903062514042817,0.0,0.0,0.0,0.0245,0.09296435486010247,0.0,0.76475,0.4725,4.61075177669488,0.0245,41.29712791414569,0.307576514731955,,classic,True
00-0036387,Jalen Reagor,WR,MIA,3000,43728017,1.2221,1.2221,1.0902596089775107,0.819193117769208,1.0914935235321228,LV,18.41,40.44,4.243,statline_mc+recal_10_4b,0.0,2.760340709554516,0.0,0.0,0.0,0.02725,0.13682305441012324,0.00125,0.71725,0.42175,4.798112180911105,0.0275,26.755671546652458,0.11666346938763482,,classic,True
00-0041308,Treyvhon Saunders,WR,HOU,3000,43727879,1.2851,1.2851,0.8611443084251793,0.9842776624147138,1.089292390339094,BUF,22.12,44.5,4.2437,statline_mc+recal_10_4b,0.0,2.812491784829277,0.0,0.0,0.0,0.04825,0.3132427811185525,0.00225,0.6885,0.40575,4.609681122272386,0.029,36.109987773911406,0.21765571861338667,,classic,True
00-0041407,Kyron Hudson,WR,CHI,3000,43727897,1.1645,1.1645,0.8647810592275972,1.0808365470186887,1.0884006091698228,CAR,24.29,45.83,4.1475,statline_mc+recal_10_4b,0.0,2.834342895152529,0.0,0.0,0.0,0.043,0.27139400748034226,0.00075,0.7065,0.42825,4.940112084217888,0.022,44.88121362216162,0.39059176368002013,,classic,True
00-0041529,Kevin Coleman Jr.,WR,MIA,3000,43728011,1.2145,1.2145,1.0902596089775107,0.819193117769208,1.0847078421687462,LV,18.41,40.44,4.2776,statline_mc+recal_10_4b,0.0,2.8062794578008434,0.0,0.0,0.0,0.028,0.23116999021217083,0.001,0.695,0.408,4.698408431475289,0.029,26.218037138050303,0.11255603272140392,,classic,True
00-0040551,Nick Nash,WR,WAS,3000,43728155,1.3235,1.3235,0.862101348110026,0.9477899733016909,1.0814578303209732,PHI,21.3,47.22,4.2072,statline_mc+recal_10_4b,0.0,2.850179111087026,0.0,0.0,0.0,0.03575,0.10949591552055483,0.00075,0.73,0.4385,4.652582387689179,0.027,37.95209097463871,0.24609593068639948,,classic,True
00-0036628,John Bates,TE,WAS,2500,43728493,1.8187,1.8187,0.6273562063863108,0.9477899733016909,1.0814135939708989,PHI,21.3,47.22,3.7811,statline_mc+recal_10_4b,0.0,2.683267981720741,0.0,0.0,0.0,0.0,0.0,0.0,0.88025,0.57175,3.624135939708987,0.025,46.538984319596565,0.3420890529004568,,classic,True
00-0040383,Bryson Green,WR,ARI,3000,43728107,1.5148,1.5148,0.8921906758016104,0.7960545832097301,1.075888271131821,LAC,17.89,46.22,4.008,statline_mc+recal_10_4b,0.0,2.712484228263469,0.0,0.0,0.0,0.03975,0.18480377291686523,0.0005,0.81425,0.48625,4.269078938401346,0.02325,31.537456764579872,0.16046552811241208,,classic,True
00-0040504,Bryson Nesbit,TE,MIN,2500,43728417,1.1776,1.1776,0.9109495267626332,1.0025215069712252,1.0754272784525556,GB,22.53,45.06,3.9726,statline_mc+recal_10_4b,0.0,2.8216974532597563,0.0,0.0,0.0,0.0,0.0,0.0,0.66725,0.43225,4.2117727845255555,0.0375,48.65012607359546,0.3937884654361792,,classic,True
00-0036345,K.J. Osborn,WR,TEN,3000,43727965,1.1718,1.1718,0.9874735468249608,0.9268762978344705,1.0725525831463008,NYJ,20.83,39.17,4.3045,statline_mc+recal_10_4b,0.0,2.7619963902293847,0.0,0.0,0.0,0.0475,0.3364656246470109,0.00175,0.6425,0.3725,4.711560206815997,0.02975,25.891772991838824,0.11013426619136281,,classic,True
