player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available,injury_raw_status,injury_status
DST_IND,Colts,DST,IND,4800,44191089,9.484445580750002,9.484445580750002,0.9231951753266484,0.8589132067516106,9.484445580750002,KC,20.17,46.33,,,8.80125,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPT,showdown,62.013888888888886,2.198378381838058,True,,ACTIVE
00-0030279,Keenan Allen,WR,IND,8400,44191081,11.68695,11.68695,0.8845184884193417,0.9055536433157244,9.360998528853376,KC,20.17,46.33,1.0,1.0,10.03755,statline_mc+recal_10_4b,1.6923458045304969,19.942031016320684,0.0,0.0,0.0,0.0585,0.2928210361010346,0.002,4.05825,2.68225,24.928835822921474,0.15175,CPT,showdown,57.106481481481474,1.5849605153715411,True,,ACTIVE
00-0035710,Daniel Jones,QB,IND,9200,44191018,11.7343,11.7343,0.8621159678858163,0.9055536433157244,9.160840788603512,KC,20.17,46.33,1.0,1.0,7.4329,statline_mc+recal_10_4b,2.708021555366145,17.11819401042804,27.80275,136.59108355919517,0.91,1.4865,4.80947446235708,0.043,0.0,0.0,0.0,0.0,FLEX,showdown,68.125,16.22959841350653,True,,ACTIVE
00-0041013,Emmett Johnson,RB,KC,5400,44191087,6.48645,6.48645,1.1366608368088251,1.1749300369644275,8.662707636318405,IND,26.17,46.33,1.0,1.0,9.9276,statline_mc+recal_10_4b,0.8371552914678584,20.68358530842793,0.0,0.0,0.0,4.41,23.16840033972833,0.1625,1.24075,0.94525,11.540483902394366,0.04475,CPT,showdown,69.60648148148148,3.646955933886984,True,,ACTIVE
00-0033303,Harrison Butker,K,KC,5000,44191029,8.2955,8.2955,1.0,1.0,8.2955,IND,0.0,0.0,,,4.9721,kicker_session_13_1,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLEX,showdown,53.125,5.970535594797708,True,,ACTIVE
00-0038997,Josh Downs,WR,IND,9900,44191075,10.329,10.329,0.8845184884193417,0.9055536433157244,8.273252177851912,KC,20.17,46.33,1.0,1.0,9.61995,statline_mc+recal_10_4b,1.5106018280610354,18.155914736448743,0.0,0.0,0.0,0.06075,0.2947553181247742,0.00225,3.605,2.172,24.095259200887973,0.129,CPT,showdown,46.92129629629629,0.8037613758216853,True,,ACTIVE
00-0039576,Spencer Shrader,K,IND,4600,44191030,7.9954,7.9954,1.0,1.0,7.9954,KC,0.0,0.0,,,4.8596,kicker_session_13_1,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLEX,showdown,52.93981481481482,5.897278414091951,True,,ACTIVE
00-0030506,Travis Kelce,TE,KC,6200,44191022,6.8304,6.8304,0.9888524590163934,1.1749300369644275,7.935767814813747,IND,26.17,46.33,1.0,1.0,6.5665,statline_mc+recal_10_4b,1.2132824438627736,17.903490793231402,0.0,0.0,0.0,0.0,0.0,0.0,3.85475,2.533,36.875178148137465,0.246,FLEX,showdown,76.64351851851852,28.638096368978932,True,,ACTIVE
00-0039894,Xavier Worthy,WR,KC,5400,44191028,6.3864,6.3864,1.0464039008533117,1.1749300369644275,7.851733097708522,IND,26.17,46.33,1.0,1.0,7.3968,statline_mc+recal_10_4b,1.169305621190294,17.967870010753035,0.0,0.0,0.0,0.06925,0.3964701527955012,0.004,4.1175,2.493,36.29336082428973,0.23425,FLEX,showdown,73.68055555555556,23.50485529534863,True,,ACTIVE
DST_KC,Chiefs,DST,KC,4200,44191031,7.375036203,7.375036203,1.0768048246733517,1.114415400133349,7.375036203,IND,26.17,46.33,,,5.9556,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLEX,showdown,74.32870370370371,24.54275956483891,True,,ACTIVE
