roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source
QB,00-0037834,Brock Purdy,QB,SF,5300,23.415912784046277,4.42,CIN,43725065,0.0,
DST,DST_NYJ,Jets,DST,NYJ,3200,8.134034274,2.54,TEN,43725221,0.0,
RB1,00-0033280,Christian McCaffrey,RB,SF,9100,29.26378267647808,3.22,CIN,43725072,0.0,
RB2,00-0038597,Chase Brown,RB,CIN,7500,21.75930072073023,2.9,SF,43725078,0.0,
WR1,00-0036900,Ja'Marr Chase,WR,CIN,7100,21.81277480497326,3.07,SF,43725116,0.0,
WR2,00-0038543,Jaxon Smith-Njigba,WR,SEA,4700,19.465368988409757,4.14,NYJ,43725126,0.0,
WR3,00-0036410,Tee Higgins,WR,CIN,5300,15.643388893474704,2.95,SF,43725122,0.0,
TE,00-0033288,George Kittle,TE,SF,4500,23.9469993706466,5.32,CIN,43725190,0.0,
FLEX,00-0039165,Zach Charbonnet,RB,SEA,3300,18.457256833308783,5.59,NYJ,43725086,0.0,
