roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,method,recommendation_rank,worst_top25_score,avg_top25_score,score_gap_from_best,n_candidates_in_pool,n_real_stack_in_pool,generated_at_utc
QB,00-0034796,Lamar Jackson,QB,BAL,8600,30.41971736394509,3.54,DAL,134503-63115,8.0881,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.995,0.9971875000000001,0.0,129,86,2026-09-23T15:17:12.412495+00:00
DEF,DST_ARI,Arizona Cardinals,DEF,ARI,3000,5.0968143675,1.7,SF,134503-12546,6.0867,dst_simulated_session_10_4,worst_top25_realstack_v1,1,0.995,0.9971875000000001,0.0,129,86,2026-09-23T15:17:12.412495+00:00
RB1,00-0038134,Kenneth Walker III,RB,KC,8300,27.53809098476241,3.32,MIA,134503-103342,11.3135,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.995,0.9971875000000001,0.0,129,86,2026-09-23T15:17:12.412495+00:00
RB2,00-0037248,James Cook III,RB,BUF,8100,15.177355937413555,1.87,LAC,134503-91626,9.1391,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.995,0.9971875000000001,0.0,129,86,2026-09-23T15:17:12.412495+00:00
WR1,00-0036963,Amon-Ra St. Brown,WR,DET,9000,17.59917709422305,1.96,NYJ,134503-86997,8.768,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.995,0.9971875000000001,0.0,129,86,2026-09-23T15:17:12.412495+00:00
WR2,00-0039491,Jalen Coker,WR,CAR,6200,13.04764629776036,2.1,CLE,134503-201547,8.145,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.995,0.9971875000000001,0.0,129,86,2026-09-23T15:17:12.412495+00:00
WR3,00-0037261,Khalil Shakir,WR,BUF,5900,11.156304795440343,1.89,LAC,134503-86518,7.7324,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.995,0.9971875000000001,0.0,129,86,2026-09-23T15:17:12.412495+00:00
TE,00-0030506,Travis Kelce,TE,KC,5500,12.502282305253946,2.27,MIA,134503-33076,7.5085,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.995,0.9971875000000001,0.0,129,86,2026-09-23T15:17:12.412495+00:00
FLEX,00-0034753,Mark Andrews,TE,BAL,5300,11.153666863027931,2.1,DAL,134503-52436,7.0062,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.995,0.9971875000000001,0.0,129,86,2026-09-23T15:17:12.412495+00:00
QB,00-0034796,Lamar Jackson,QB,BAL,8600,30.41971736394509,3.54,DAL,134503-63115,8.0881,statline_mc+recal_10_4b,worst_top25_realstack_v1,2,0.995,0.99625,0.0,129,86,2026-09-23T15:17:12.412495+00:00
