player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available
00-0036264,Jordan Love,QB,GB,7400,133647-69017,10.7096,10.7096,0.6824564134846874,1.008263533644387,7.369252589938453,MIN,22.42,46.22,15.0,0.6,6.9245,statline_mc+recal_10_4b,2.046838351413253,14.028587797812245,21.22925,111.67869361934088,0.7435,1.08525,3.081048451648166,0.022,0.0,0.0,0.0,0.0,55.18651028562971,4.09538025689737,,classic,True
00-0033119,Jacoby Brissett,QB,ARI,7000,133647-30231,11.1725,11.1725,0.7719873014153913,0.8517623250323235,7.346501995429528,LAC,18.94,47.22,14.0,1.0,6.9363,statline_mc+recal_10_4b,1.978613377590077,14.127106334094576,25.16125,114.55994983741604,0.78725,0.39575,1.1810400193288708,0.00925,0.0,0.0,0.0,0.0,69.2163682107444,10.435186714773408,,classic,True
00-0033293,Aaron Jones Sr.,RB,MIN,5900,133647-40442,7.0953,7.0953,0.9663183721502544,1.0707740738658722,7.341595649097911,GB,23.81,46.22,12.0,0.8,6.6956,statline_mc+recal_10_4b,1.1611759119336924,16.705669254146894,0.0,0.0,0.0,9.13375,38.832186362491754,0.198,2.1455,1.557,12.058770128487366,0.066,70.45335300429184,14.880466354969423,,classic,True
00-0038555,Tank Bigsby,RB,PHI,4600,133647-128693,5.3828,5.3828,1.1966479351198924,1.1166451177694081,7.192690533374942,WAS,24.83,44.28,15.0,1.0,7.1957,statline_mc+recal_10_4b,0.6004335529739636,17.765160091129527,0.0,0.0,0.0,7.2765,49.215295583555154,0.28925,0.44225,0.33825,3.430359750194268,0.016,74.42373032904149,19.38968437930397,,classic,True
00-0036259,Jauan Jennings,WR,MIN,5900,133647-61593,6.5726,6.5726,1.0185896093622764,1.0707740738658722,7.168591244168402,GB,23.81,46.22,15.0,1.0,6.5101,statline_mc+recal_10_4b,0.8497159570523384,16.83186244925488,0.0,0.0,0.0,0.0,0.0,0.0,4.571,2.81725,37.43466244168402,0.34175,84.97582889213791,24.70692198846956,,classic,True
00-0037744,Trey McBride,TE,ARI,7600,133647-91750,10.4188,10.4188,0.7878640570452637,0.8517623250323235,6.9918008495154425,LAC,18.94,47.22,17.0,1.0,5.2177,statline_mc+recal_10_4b,1.549558310770768,15.164616905649234,0.0,0.0,0.0,0.0,0.0,0.0,6.41,4.65575,31.50425849515442,0.2635,79.96046984413825,14.634252167383877,,classic,True
DST_MIN,Minnesota Vikings,D,MIN,4000,133647-12540,6.80525568,6.80525568,0.9104512574288329,1.0227559099018733,6.80525568,GB,23.81,46.22,,,6.111,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.022532188841204,2.8614431230997805,,classic,True
00-0039040,De'Von Achane,RB,MIA,8500,133647-138820,7.3208,7.3208,1.0438843689343742,0.8346731125976727,6.378611296178672,LV,18.56,40.17,16.0,0.8,6.5761,statline_mc+recal_10_4b,0.7495109808551498,15.032353512552408,0.0,0.0,0.0,7.57125,35.853921758669635,0.22075,1.403,1.096,7.457191203117084,0.04625,52.27234442060086,4.428151069174637,,classic,True
00-0038996,Tucker Kraft,TE,GB,6300,133647-160303,7.648,7.648,0.7928330665150658,1.008263533644387,6.113722593525384,MIN,22.42,46.22,8.0,1.0,5.1077,statline_mc+recal_10_4b,0.9925232839437947,14.173901180465837,0.0,0.0,0.0,0.0,0.0,0.0,4.241,2.97325,31.260975935253835,0.256,83.23940215345229,18.20980722033966,,classic,True
00-0038559,Michael Wilson,WR,ARI,6300,133647-89612,8.1596,8.1596,0.8774109490239873,0.8517623250323235,6.098016107611571,LAC,18.94,47.22,17.0,1.0,5.8682,statline_mc+recal_10_4b,1.0320203082316275,13.774793173231645,0.0,0.0,0.0,0.0,0.0,0.0,5.39925,3.34175,31.891411076115705,0.2135,78.61576192048295,16.16872760778933,,classic,True
DST_ARI,Arizona Cardinals,D,ARI,3000,133647-12546,5.967444244500001,5.967444244500001,0.7983634078597144,0.8108269978783592,5.967444244500001,LAC,18.94,47.22,,,6.2397,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.177575107296136,10.26078089321884,,classic,True
00-0035700,Josh Jacobs,RB,GB,7200,133647-72731,6.4848,6.4848,0.9038510999309826,1.008263533644387,5.9097190622030435,MIN,22.42,46.22,15.0,1.0,6.338,statline_mc+recal_10_4b,0.6807524002954819,14.007757559742686,0.0,0.0,0.0,7.336,27.008767727042336,0.3145,1.27975,1.02575,7.064672894988095,0.03025,76.92909513590843,22.91439950013464,,classic,True
00-0034351,Dallas Goedert,TE,PHI,5300,133647-83074,4.1379,4.1379,1.253846722880024,1.1166451177694081,5.793505999041833,WAS,24.83,44.28,15.0,0.8,5.4349,statline_mc+recal_10_4b,0.2494985369807551,14.028863051501972,0.0,0.0,0.0,0.0,0.0,0.0,2.79275,1.975,28.48505999041833,0.331,73.65374407047663,9.611078418118815,,classic,True
00-0038563,Tre Tucker,WR,LV,5600,133647-103619,6.0337,6.0337,0.9732207254368208,0.9718365281915791,5.706727785012576,MIA,21.61,40.17,17.0,1.0,5.9344,statline_mc+recal_10_4b,0.6862143445947676,13.813177253023063,0.0,0.0,0.0,0.90425,4.457387985377152,0.02925,3.762,2.34375,28.3811398647486,0.1845,69.96167995095033,9.080599222250797,,classic,True
