team,opponent,commence_time,spread,over_under,implied_total
PHI,TB,2021-10-14,7.0,53.0,23.0
TB,PHI,2021-10-14,-7.0,53.0,30.0
JAX,MIA,2021-10-17,2.5,47.5,22.5
MIA,JAX,2021-10-17,-2.5,47.5,25.0
BAL,LAC,2021-10-17,-3.0,50.5,26.75
LAC,BAL,2021-10-17,3.0,50.5,23.75
CAR,MIN,2021-10-17,2.5,45.5,21.5
MIN,CAR,2021-10-17,-2.5,45.5,24.0
CHI,GB,2021-10-17,5.5,44.0,19.25
GB,CHI,2021-10-17,-5.5,44.0,24.75
DET,CIN,2021-10-17,3.5,46.5,21.5
CIN,DET,2021-10-17,-3.5,46.5,25.0
IND,HOU,2021-10-17,-10.5,43.5,27.0
HOU,IND,2021-10-17,10.5,43.5,16.5
NYG,LA,2021-10-17,7.5,49.5,21.0
LA,NYG,2021-10-17,-7.5,49.5,28.5
WAS,KC,2021-10-17,6.0,54.0,24.0
KC,WAS,2021-10-17,-6.0,54.0,30.0
CLE,ARI,2021-10-17,-3.0,48.0,25.5
ARI,CLE,2021-10-17,3.0,48.0,22.5
DEN,LV,2021-10-17,-5.0,45.5,25.25
LV,DEN,2021-10-17,5.0,45.5,20.25
NE,DAL,2021-10-17,3.5,50.5,23.5
DAL,NE,2021-10-17,-3.5,50.5,27.0
PIT,SEA,2021-10-17,-5.5,43.0,24.25
SEA,PIT,2021-10-17,5.5,43.0,18.75
TEN,BUF,2021-10-18,6.0,53.5,23.75
BUF,TEN,2021-10-18,-6.0,53.5,29.75
