player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available,estimated_ownership_pct_heuristic,injury_raw_status,injury_status
00-0039075,Puka Nacua,WR,LA,11400,44191122,13.3261,13.3261,0.9898415278342136,1.1392244119516848,0.0,NYG,26.88,47.19,1.0,1.0,8.9585,statline_mc+recal_10_4b,3.666227163817106,31.968022490595008,0.0,0.0,0.0,0.07,0.4704626868377173,0.0015,8.12925,4.89425,70.56138097060216,0.40675,15.02718436574399,0.0,FLEX,showdown,42.47641509433962,0.0,True,30.13180781358704,Out,OUT
00-0039337,Malik Nabers,WR,NYG,9000,44191127,14.5969,14.5969,1.1114181227143436,0.8607755880483153,13.96463039910453,LA,20.31,47.19,1.0,1.0,8.4565,statline_mc+recal_10_4b,3.5741683447950567,29.745638192327046,0.0,0.0,0.0,0.0675,0.3676314381181265,0.0005,8.4315,5.235,62.17867255292717,0.32475,13.96463039910453,0.0,FLEX,showdown,67.66509433962264,38.106193804706606,True,16.065121156506947,,ACTIVE
00-0031381,Davante Adams,WR,LA,8800,44191128,12.3674,12.3674,0.9898415278342136,1.1392244119516848,13.946093086626025,NYG,26.88,47.19,1.0,1.0,8.6717,statline_mc+recal_10_4b,3.223995727884648,30.73757927171878,0.0,0.0,0.0,0.0,0.0,0.0,7.43025,4.48875,59.61093086626022,0.499,13.946093086626025,0.0,FLEX,showdown,77.09905660377359,49.20471068416598,True,30.131807813587063,,ACTIVE
00-0039738,Blake Corum,RB,LA,6900,44191191,10.44015,10.44015,1.0204224404681823,1.1392244119516848,12.13655256719085,NYG,26.88,47.19,1.0,1.0,11.35845,statline_mc+recal_10_4b,1.4661232417850296,29.736197541400337,0.0,0.0,0.0,6.6235,45.86686629355552,0.2645,1.08025,0.81,5.403484154383468,0.03975,8.0910350447939,0.0,CPT,showdown,73.89150943396227,3.5803565693817645,True,4.948649156869048,,ACTIVE
00-0039498,Harrison Mevis,K,LA,7500,44191189,12.103125,12.103125,1.0,1.0,12.103125,NYG,0.0,0.0,,,7.29495,kicker_session_13_1,3.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06875,0.0,CPT,showdown,47.05188679245282,1.314477603875773,True,0.8267991044181278,,ACTIVE
00-0041145,Dominic Zvada,K,NYG,7200,44191190,11.9931,11.9931,1.0,1.0,11.9931,LA,0.0,0.0,,,7.2894,kicker_session_13_1,3.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9954,0.0,CPT,showdown,49.50471698113206,0.18433084772359656,True,0.9736810220031856,,ACTIVE
DST_LA,Rams,DST,LA,6300,44191192,11.917225089000002,11.917225089000002,1.1986919768457076,1.1114779737596665,11.917225089000002,NYG,26.88,47.19,,,8.63505,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.944816726000001,0.0,CPT,showdown,73.79716981132077,0.8573950215397631,True,4.917623245295879,,ACTIVE
00-0040715,Cam Skattebo,RB,NYG,9400,44191126,13.3619,13.3619,0.9877034844611868,0.8607755880483153,11.360184570346126,LA,20.31,47.19,1.0,1.0,8.1723,statline_mc+recal_10_4b,2.166888288935201,24.091848258913043,0.0,0.0,0.0,12.60925,52.73873036209435,0.40875,2.32675,1.735,12.110615341366906,0.05175,11.360184570346126,0.0,FLEX,showdown,62.38207547169811,21.79884519945214,True,10.809486401402648,,ACTIVE
00-0037838,Isaiah Likely,TE,NYG,7400,44191129,14.517,14.517,0.906416861826698,0.8607755880483153,11.326494090011796,LA,20.31,47.19,1.0,1.0,6.8822,statline_mc+recal_10_4b,2.897030857456806,22.93378770552117,0.0,0.0,0.0,0.0,0.0,0.0,6.50025,4.65675,44.76494090011797,0.3195,11.326494090011796,0.0,FLEX,showdown,65.02358490566039,45.50082613987767,True,13.471143851325056,,ACTIVE
00-0041042,Malachi Fields,WR,NYG,8400,44191188,11.48625,11.48625,1.1114181227143436,0.8607755880483153,10.98862283026018,LA,20.31,47.19,1.0,1.0,10.66065,statline_mc+recal_10_4b,1.828598382203444,24.70343272066172,0.0,0.0,0.0,0.06575,0.382817480906815,0.0035,4.22175,2.54725,33.28716805416104,0.19575,7.325748553506786,0.0,CPT,showdown,55.58962264150943,0.9986518040883401,True,1.3978896385853696,,ACTIVE
