lineup_id,roster_slot,player_name,position,team,salary,projection
1,QB,Daniel Jones,QB,IND,7200,17.263185900357573
1,DEF,Browns ,DEF,CLE,3800,3.5115113871635613
1,RB1,Jonathan Taylor,RB,IND,9200,26.86551243116205
1,RB2,De'Von Achane,RB,MIA,7400,20.545523824477826
1,WR1,Michael Pittman Jr.,WR,IND,4400,13.53089583332819
1,WR2,Jaylen Waddle,WR,MIA,7200,12.526217356251015
1,WR3,Nico Collins,WR,HOU,9600,12.251636201487578
1,TE,Dalton Schultz,TE,HOU,4200,12.524734334201998
1,FLEX,Harold Fannin Jr.,TE,CLE,3100,10.386072712159796
15,QB,Tua Tagovailoa,QB,MIA,7800,10.473561648317858
15,DEF,Cowboys ,DEF,DAL,3400,0.0
15,RB1,Woody Marks,RB,HOU,3600,8.009489266140145
15,RB2,Nick Chubb,RB,HOU,3600,6.036648020565681
15,WR1,Alec Pierce,WR,IND,4700,9.344698022026284
15,WR2,Deebo Samuel Sr.,WR,WAS,6200,7.553194171911006
15,WR3,Cedric Tillman,WR,CLE,4600,6.131234719546267
15,TE,David Njoku,TE,CLE,5500,9.054843712339206
15,FLEX,Christian Kirk,WR,HOU,5600,6.045904435659083
19,QB,Marcus Mariota,QB,WAS,6000,9.466919651928317
19,DEF,Colts ,DEF,IND,3700,1.4645982142857144
19,RB1,Ollie Gordon II,RB,MIA,3600,4.725250690822873
19,RB2,Dylan Sampson,RB,CLE,3600,4.348636702392672
19,WR1,Malik Washington,WR,MIA,3600,6.467078382332122
19,WR2,Cedric Tillman,WR,CLE,4600,6.131234719546267
19,WR3,Christian Kirk,WR,HOU,5600,6.045904435659083
19,TE,Zach Ertz,TE,WAS,4000,5.202155943680463
19,FLEX,Jayden Higgins,WR,HOU,3600,5.132831238753477
