team,opponent,commence_time,spread,over_under,implied_total
ATL,NO,2020-12-06,2.5,46.0,21.75
NO,ATL,2020-12-06,-2.5,46.0,24.25
CHI,DET,2020-12-06,-3.0,44.0,23.5
DET,CHI,2020-12-06,3.0,44.0,20.5
HOU,IND,2020-12-06,3.5,50.0,23.25
IND,HOU,2020-12-06,-3.5,50.0,26.75
MIA,CIN,2020-12-06,-10.5,43.0,26.75
CIN,MIA,2020-12-06,10.5,43.0,16.25
MIN,JAX,2020-12-06,-10.5,51.0,30.75
JAX,MIN,2020-12-06,10.5,51.0,20.25
NYJ,LV,2020-12-06,7.5,48.0,20.25
LV,NYJ,2020-12-06,-7.5,48.0,27.75
TEN,CLE,2020-12-06,-4.0,54.0,29.0
CLE,TEN,2020-12-06,4.0,54.0,25.0
ARI,LA,2020-12-06,2.5,49.0,23.25
LA,ARI,2020-12-06,-2.5,49.0,25.75
SEA,NYG,2020-12-06,-11.0,48.5,29.75
NYG,SEA,2020-12-06,11.0,48.5,18.75
GB,PHI,2020-12-06,-8.0,50.0,29.0
PHI,GB,2020-12-06,8.0,50.0,21.0
LAC,NE,2020-12-06,-2.5,47.0,24.75
NE,LAC,2020-12-06,2.5,47.0,22.25
KC,DEN,2020-12-06,-13.0,51.0,32.0
DEN,KC,2020-12-06,13.0,51.0,19.0
PIT,WAS,2020-12-07,-5.5,43.5,24.5
WAS,PIT,2020-12-07,5.5,43.5,19.0
SF,BUF,2020-12-07,-1.5,48.0,24.75
BUF,SF,2020-12-07,1.5,48.0,23.25
BAL,DAL,2020-12-08,-8.5,46.0,27.25
DAL,BAL,2020-12-08,8.5,46.0,18.75
