team,opponent,commence_time,spread,over_under,implied_total
DEN,KC,2022-01-08,11.5,44.5,16.5
KC,DEN,2022-01-08,-11.5,44.5,28.0
PHI,DAL,2022-01-08,6.5,46.0,19.75
DAL,PHI,2022-01-08,-6.5,46.0,26.25
BAL,PIT,2022-01-09,-3.0,41.0,22.0
PIT,BAL,2022-01-09,3.0,41.0,19.0
CLE,CIN,2022-01-09,-6.5,38.0,22.25
CIN,CLE,2022-01-09,6.5,38.0,15.75
DET,GB,2022-01-09,4.0,45.0,20.5
GB,DET,2022-01-09,-4.0,45.0,24.5
HOU,TEN,2022-01-09,10.5,43.0,16.25
TEN,HOU,2022-01-09,-10.5,43.0,26.75
JAX,IND,2022-01-09,14.0,43.0,14.5
IND,JAX,2022-01-09,-14.0,43.0,28.5
MIN,CHI,2022-01-09,-3.5,45.5,24.5
CHI,MIN,2022-01-09,3.5,45.5,21.0
NYG,WAS,2022-01-09,6.0,36.0,15.0
WAS,NYG,2022-01-09,-6.0,36.0,21.0
ARI,SEA,2022-01-09,-5.5,48.0,26.75
SEA,ARI,2022-01-09,5.5,48.0,21.25
ATL,NO,2022-01-09,4.5,40.0,17.75
NO,ATL,2022-01-09,-4.5,40.0,22.25
BUF,NYJ,2022-01-09,-16.0,43.0,29.5
NYJ,BUF,2022-01-09,16.0,43.0,13.5
LA,SF,2022-01-09,-3.0,46.5,24.75
SF,LA,2022-01-09,3.0,46.5,21.75
MIA,NE,2022-01-09,6.0,41.0,17.5
NE,MIA,2022-01-09,-6.0,41.0,23.5
TB,CAR,2022-01-09,-11.0,43.0,27.0
CAR,TB,2022-01-09,11.0,43.0,16.0
LV,LAC,2022-01-09,3.5,48.0,22.25
LAC,LV,2022-01-09,-3.5,48.0,25.75
