team,opponent,commence_time,spread,over_under,implied_total
BUF,MIA,2021-01-03,3.5,42.5,19.5
MIA,BUF,2021-01-03,-3.5,42.5,23.0
CIN,BAL,2021-01-03,13.5,46.0,16.25
BAL,CIN,2021-01-03,-13.5,46.0,29.75
CLE,PIT,2021-01-03,-10.5,45.0,27.75
PIT,CLE,2021-01-03,10.5,45.0,17.25
DET,MIN,2021-01-03,3.0,54.0,25.5
MIN,DET,2021-01-03,-3.0,54.0,28.5
NE,NYJ,2021-01-03,-3.0,41.0,22.0
NYJ,NE,2021-01-03,3.0,41.0,19.0
NYG,DAL,2021-01-03,1.5,44.5,21.5
DAL,NYG,2021-01-03,-1.5,44.5,23.0
TB,ATL,2021-01-03,-7.5,51.0,29.25
ATL,TB,2021-01-03,7.5,51.0,21.75
CAR,NO,2021-01-03,6.0,47.0,20.5
NO,CAR,2021-01-03,-6.0,47.0,26.5
CHI,GB,2021-01-03,4.5,48.5,22.0
GB,CHI,2021-01-03,-4.5,48.5,26.5
DEN,LV,2021-01-03,2.5,50.5,24.0
LV,DEN,2021-01-03,-2.5,50.5,26.5
HOU,TEN,2021-01-03,7.0,55.5,24.25
TEN,HOU,2021-01-03,-7.0,55.5,31.25
IND,JAX,2021-01-03,-15.5,48.0,31.75
JAX,IND,2021-01-03,15.5,48.0,16.25
KC,LAC,2021-01-03,7.0,43.0,18.0
LAC,KC,2021-01-03,-7.0,43.0,25.0
LA,ARI,2021-01-03,-1.0,42.0,21.5
ARI,LA,2021-01-03,1.0,42.0,20.5
SF,SEA,2021-01-03,7.0,45.0,19.0
SEA,SF,2021-01-03,-7.0,45.0,26.0
PHI,WAS,2021-01-03,6.5,43.5,18.5
WAS,PHI,2021-01-03,-6.5,43.5,25.0
