player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct,injury_status
00-0033873,Patrick Mahomes II,QB,KC,8100,1523,19.1133,19.1133,1.0,1.2532637075718016,23.95396859675505,CLE,30.0,54.5,12.752595110993347,statline_mc,9.44267286087566,40.86215371576681,38.10125,340.8408863661329,2.07925,1.9675,9.78833142109736,0.08325,0.0,0.0,0.0,0.0,94.17367535744324,24.23728155841614,QUESTIONABLE
00-0029701,Ryan Tannehill,QB,TEN,6500,1410,19.3196,19.3196,1.0,1.1801566579634464,22.80013357298392,ARI,28.25,54.0,12.270742581169069,statline_mc,8.57613258234093,39.74901649269326,38.16,325.1013095306677,2.0085,1.70875,8.358311917572058,0.082,0.0,0.0,0.0,0.0,78.36206896551724,8.446776718684305,ACTIVE
00-0034857,Josh Allen,QB,BUF,7400,1529,18.7174,18.7174,1.0,1.1383812010443863,21.307528092684297,PIT,27.25,48.0,11.641249202050384,statline_mc,7.909855789076899,36.90319446020235,36.04175,293.4958428722559,1.79575,3.14025,14.164443777940628,0.127,0.0,0.0,0.0,0.0,70.31048500140174,4.938258066572499,ACTIVE
00-0035228,Kyler Murray,QB,ARI,7600,1537,19.0907,19.0907,1.0,1.0757180156657964,20.5361824935974,TEN,25.75,54.0,11.38371574554744,statline_mc,7.741059235716025,35.82262118026176,38.00225,293.1258678844991,1.78925,2.28875,10.058977782174356,0.08,0.0,0.0,0.0,0.0,62.29254275301373,2.8935472386686105,ACTIVE
00-0026143,Matt Ryan,QB,ATL,6000,1301,18.52,18.52,1.0,1.0966057441253263,20.309111828162703,PHI,26.25,49.0,11.270361601473118,statline_mc,7.456880986054105,35.342358338322626,36.28625,285.63290362083524,1.761,2.50325,11.742956833292991,0.09525,0.0,0.0,0.0,0.0,65.28595458368378,3.5326346643691844,ACTIVE
00-0029263,Russell Wilson,QB,SEA,7000,1412,17.9248,17.9248,1.0,1.0861618798955617,19.469192011019835,IND,26.0,49.0,10.79724646003875,statline_mc,7.490235415790273,34.34702508977595,36.576,284.1893307785715,1.7255,1.60675,6.881187798769774,0.06875,0.0,0.0,0.0,0.0,63.28357162881974,3.0911764895696203,ACTIVE
00-0034855,Baker Mayfield,QB,CLE,5900,1528,19.0072,19.0072,1.0,1.0234986945169713,19.453875350818937,KC,24.5,54.5,11.081366248931024,statline_mc,7.109491213135886,34.547338862937934,38.92275,285.0753556038262,1.7555,1.4025,5.913611266658875,0.0585,0.0,0.0,0.0,0.0,58.896832071769,2.307356404610405,ACTIVE
00-0033280,Christian McCaffrey,RB,CAR,9500,5536,19.1583,19.1583,1.0,1.0026109660574412,19.208354601092104,NYJ,24.0,44.5,15.95978527065001,statline_mc,4.896633162525063,39.22184748005128,0.0,0.0,0.0,17.37825,70.6076678356489,0.45425,5.83025,4.344,33.565878175272125,0.16425,73.00211736237145,6.399145512996731,ACTIVE
00-0029604,Kirk Cousins,QB,MIN,6300,1415,17.6208,17.6208,1.0,1.0443864229765014,18.40288962437349,CIN,25.0,47.0,10.544801645880131,statline_mc,6.619880104940389,32.869192402732146,35.82475,267.43117485353906,1.664,1.60025,6.603926302319265,0.06425,0.0,0.0,0.0,0.0,60.35463975329409,2.542860515017199,ACTIVE
00-0036971,Trevor Lawrence,QB,JAX,6200,1565,17.4344,17.4344,1.0,1.0234986945169713,17.84405049662321,HOU,24.5,45.5,10.106048804403947,statline_mc,6.670908944010504,31.341000119535,35.007,255.79816237497067,1.5665,2.298,9.346240016243842,0.0855,0.0,0.0,0.0,0.0,55.11634426689095,1.7933223039603066,ACTIVE
