player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available,injury_raw_status,injury_status,estimated_ownership_pct_heuristic_x,estimated_ownership_pct_heuristic_y
00-0032764,Derrick Henry,RB,BAL,7700,44220306,16.215,16.215,1.0,1.2731630589468952,20.644277855518624,DAL,28.33,53.28,2.0,1.0,9.9856,statline_mc+recal_10_4b,6.149784825747768,44.562018549239326,0.0,0.0,0.0,15.16325,92.47265711791545,0.929,2.54525,1.98475,20.41614297203307,0.1005,20.33213000899485,0.312147846523775,28.0,,97.59871714643305,10.243685612247017,,classic,True,,ACTIVE,31.47920470022092,31.439187953743964
00-0033280,Christian McCaffrey,RB,SF,8300,44220304,15.1946,15.1946,1.0,1.265972586323122,19.23596192064561,ARI,28.17,47.89,2.0,1.0,9.0236,statline_mc+recal_10_4b,5.683350588117826,39.18897313239589,0.0,0.0,0.0,9.99525,52.66075998492925,0.4875,5.306,4.002,39.60862661098405,0.17075,17.84693865959133,1.3890232610542803,18.2,,91.91226135844407,4.758301099062918,,classic,True,,ACTIVE,18.772192141125466,18.74832870299601
00-0036223,Jonathan Taylor,RB,IND,7600,44220308,20.6747,20.6747,1.0,0.9239757321548946,19.102911851801707,HOU,20.56,42.61,2.0,1.0,9.1617,statline_mc+recal_10_4b,5.639284405316726,39.30038997465894,0.0,0.0,0.0,17.64125,68.25168616234814,0.765,3.5945,2.7745,21.51742242730462,0.09975,17.575410858965274,1.5275009928364334,27.7,29.8,78.34370567375885,16.26387643746147,,classic,True,,ACTIVE,5.467773915401218,5.460823214941991
00-0036322,Justin Jefferson,WR,MIN,7500,44220618,18.8945,18.8945,1.0,0.9850947494569696,18.61290283869208,TB,21.92,42.5,2.0,1.0,8.8134,statline_mc+recal_10_4b,5.360651474548548,35.50221762642113,0.0,0.0,0.0,0.03,0.260670115526838,0.001,7.764,5.02075,64.21013618994418,0.45275,14.737580630547104,3.875322208144972,19.9,,81.741271242755,5.725647439146069,,classic,True,,ACTIVE,5.737252235740473,5.871912358537043
00-0036442,Joe Burrow,QB,CIN,6600,44220220,17.754,17.754,1.0,1.0336304396674405,18.351066920610965,PIT,23.0,42.5,2.0,1.0,7.9486,statline_mc+recal_10_4b,8.1244629208712,31.92071073415839,33.343,243.69498259801912,1.57,2.36675,10.25682656045421,0.09475,0.0,0.0,0.0,0.0,17.521231959966187,0.8298349606447779,15.7,,76.04814053280886,1.5346504555733052,,classic,True,,ACTIVE,3.0349039298051705,3.059953779218631
00-0036358,CeeDee Lamb,WR,DAL,7800,44220616,16.085,16.085,1.0,1.1208149202306943,18.028260264560316,BAL,24.94,53.28,2.0,1.0,9.7492,statline_mc+recal_10_4b,5.151700218553856,38.49764657739878,0.0,0.0,0.0,0.3495,2.608369243848617,0.01275,8.289,5.45875,84.83500234039282,0.581,18.510837158424145,-0.4825768938638326,26.9,,93.31379287006386,4.2075300272955545,,classic,True,,ACTIVE,11.332978849270216,11.598977320452423
00-0037239,Chris Olave,WR,NO,7200,44220620,17.1349,17.1349,1.0,1.0484607894539733,17.96531898058915,LV,23.33,43.56,2.0,1.0,9.7323,statline_mc+recal_10_4b,5.129205003662562,36.921965900052655,0.0,0.0,0.0,0.03425,0.1884256469035669,0.00225,8.5555,5.77775,84.40528878739346,0.4155,17.463371443429704,0.5019475371594453,26.9,,84.76572979092575,4.4580800771671205,,classic,True,,ACTIVE,6.854392704679363,7.015273440854439
00-0040122,Ashton Jeanty,RB,LV,7100,44220312,19.5703,19.5703,1.0,0.908695977829376,17.783486793908235,NO,20.22,43.56,2.0,1.0,8.3957,statline_mc+recal_10_4b,5.202290826142408,33.12624747741127,0.0,0.0,0.0,15.2615,50.99003683209057,0.28225,5.13225,3.895,25.736412522496128,0.19575,14.88814493545867,2.895341858449566,23.0,,75.12957665335637,4.282765724742845,,classic,True,,ACTIVE,4.082371313385247,4.07718175350188
00-0039150,Bryce Young,QB,CAR,5600,44220229,17.1105,17.1105,1.0,1.003520335555389,17.170687918625518,CLE,22.33,42.22,2.0,1.0,8.088,statline_mc+recal_10_4b,7.252753027904945,32.00052202769497,34.3925,280.52498541716216,2.028,1.7425,7.559294178218652,0.089,0.0,0.0,0.0,0.0,20.871428834508357,-3.700740915882836,29.8,,71.51028070802788,1.1485668022457682,,classic,True,,ACTIVE,2.194703428905684,2.212818331938157
00-0040743,Tyler Shough,QB,NO,5400,44220232,16.3381,16.3381,1.0,1.0484607894539733,17.129843098430733,LV,23.33,43.56,2.0,1.0,8.1375,statline_mc+recal_10_4b,7.222589128191097,32.506552425017006,36.77025,283.4403281571085,1.74075,5.264,20.88518031974964,0.26575,0.0,0.0,0.0,0.0,21.982381158259304,-4.8525380598285714,25.8,,77.04103343465044,3.3981928289959447,,classic,True,,ACTIVE,3.2579582369114157,3.2848491583763364
