player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,salary_anchor,final_projection_pre_anchor,anchor_weight_used,points_above_anchor,chalk_score,estimated_ownership_pct
00-0033906,Alvin Kamara,RB,NO,7900,5562,19.75,22.534,1.5266765515140337,1.026004728132388,27.28264622612608,NYJ,23.25,42.0,19.653956480864608,33.11635014897308,0.4333,7.6287,78.13251161796913,9.843883922726835
00-0033699,Austin Ekeler,RB,LAC,8300,5575,21.675,22.549,1.074817441157166,1.1804570527974785,25.494373649295284,NYG,26.75,44.0,20.990902220741727,28.05517112827672,0.3625,4.5035,84.40895251322044,14.958500503488375
00-0033077,Dak Prescott,QB,DAL,6700,1501,19.445454545454545,15.4512,1.2996132706809826,1.202521670606777,24.81569353188132,WAS,27.25,48.0,20.756666109785208,27.268474808335124,0.3767,4.059,78.4044601596415,8.778735200254875
00-0036355,Justin Herbert,QB,LAC,7100,1552,22.565,24.605200000000004,0.9079450121911684,1.1804570527974785,23.74041503594634,NYG,26.75,44.0,21.0359,25.278276526974658,0.3625,2.7045,75.33678756476685,7.155067424001225
00-0033873,Patrick Mahomes II,QB,KC,8000,1523,20.19666666666667,15.891800000000003,1.0552448598381174,1.2797478329393224,23.53869364622059,LV,29.0,48.0,22.080633635774465,24.367786593337016,0.3625,1.4581,94.88166923400084,26.332737779814984
00-0030506,Travis Kelce,TE,KC,7400,4582,15.766666666666666,13.187,1.4023324216117652,1.2797478329393224,22.634891540599604,LV,29.0,48.0,16.751083010783066,25.980586586965867,0.3625,5.8838,89.61139896373057,14.836806831515949
00-0035719,Deebo Samuel,WR,SF,8000,5726,21.172727272727272,20.644,1.033942806745355,1.136327817178881,22.272495539064927,CIN,25.75,49.0,18.47838384670487,24.565194048352023,0.3767,3.7941,81.26169401266552,11.5538197975716
00-0034857,Josh Allen,QB,BUF,7800,1529,22.570000000000004,17.2796,1.0082136379100264,1.0811662726556344,21.76361180898567,TB,24.5,52.5,21.84213720025924,21.71896011590854,0.3625,-0.0785,67.47706903794987,4.236932757390134
00-0033856,Leonard Fournette,RB,TB,7400,5534,18.225,24.123,0.884786574192855,1.235618597320725,21.276026870794272,BUF,28.0,52.5,17.98277430601821,23.148660682137525,0.3625,3.2933,84.0919288499546,14.645671380770626
00-0033897,Joe Mixon,RB,CIN,7700,5535,18.75,21.593,1.0423121612816917,1.026004728132388,20.634227901055063,SF,23.25,49.0,18.98548361092605,21.571749164069608,0.3625,1.6487,73.85416110250522,7.401087679195935
00-0033040,Tyreek Hill,WR,KC,8500,5485,19.73333333333333,15.037999999999998,0.8986826371720594,1.2797478329393224,19.88524360516936,LV,29.0,48.0,19.69216753896916,19.995031956538103,0.3625,0.1931,84.68084340817502,14.51176055917324
00-0036358,CeeDee Lamb,WR,DAL,7200,5831,16.563636363636366,15.432000000000002,1.1227509622578546,1.202521670606777,19.60898510047629,WAS,27.25,48.0,16.31548986389685,21.59917206161787,0.3767,3.2935,83.82394214162349,13.705985601359666
00-0034796,Lamar Jackson,QB,BAL,7400,1527,21.70909090909091,17.1242,1.0168441095628102,0.9046493301812452,19.180973146906556,CLE,20.5,44.0,21.365144329228777,17.861126389674407,0.3767,-2.1842,49.50829715726088,1.2787991529238774
00-0031588,Stefon Diggs,WR,BUF,8100,5424,16.900000000000002,16.729,1.0085483965689654,1.0811662726556344,18.48477489141525,TB,24.5,52.5,18.74874559455587,18.3346739033549,0.3625,-0.264,75.51291738629821,7.875560254469639
00-0036997,Javonte Williams,RB,DEN,5900,5905,12.408333333333331,18.711,1.118753149120719,1.2135539795114263,18.373720049421355,DET,27.5,42.0,13.53552389580974,21.12485119559267,0.3625,4.8382,80.26754713957588,11.349640191349753
00-0029263,Russell Wilson,QB,SEA,6600,1412,16.553333333333335,13.8282,0.990564808238042,1.1142631993695824,18.166349968795004,HOU,25.25,40.5,20.16756507557677,16.766807377777692,0.4115,-2.0012,55.98935723288055,1.969918453069355
00-0033288,George Kittle,TE,SF,6900,4703,14.88888888888889,20.643,0.9603932294763544,1.136327817178881,17.838799279527883,CIN,25.75,49.0,15.623075288411734,19.38835788769408,0.4115,2.2157,81.9630829015544,8.910437158014314
00-0029701,Ryan Tannehill,QB,TEN,6400,1410,15.546666666666669,12.2494,1.0257654959904068,1.1694247438928291,17.67487153478205,JAX,26.5,44.5,19.439486450960565,16.67146305303348,0.3625,-1.7646,56.75973253045792,2.0737332818295835
00-0031237,Teddy Bridgewater,QB,DEN,5700,1439,15.216666666666669,13.673800000000002,1.0203350868605654,1.2135539795114263,17.65149963572482,DET,27.5,42.0,17.238142410893072,17.88654590082523,0.3625,0.4134,65.85684778042291,3.803131668739226
00-0036442,Joe Burrow,QB,CIN,6000,1550,17.191666666666666,14.2204,1.060578297376355,1.026004728132388,17.646190905570755,SF,23.25,49.0,18.623174384432087,17.090651280335884,0.3625,-0.977,55.03833496709144,1.8488996218481772
00-0019596,Tom Brady,QB,TB,7600,1131,22.836666666666662,20.259,0.5666050097439921,1.235618597320725,17.44851967609199,BUF,28.0,52.5,21.603640764744007,15.08580376293692,0.3625,-4.1551,61.266629323624144,2.8005344862057315
