cash_player_name,cash_position,cash_team,cash_salary,cash_final_projection,cash_estimated_ownership_pct,pivot_rank,pivot_player_name,pivot_team,pivot_salary,pivot_final_projection,pivot_estimated_ownership_pct,salary_diff,salary_diff_pct,projection_diff,projection_diff_pct,ownership_edge_pts,outprojects_cash_player,leverage_score,lineup_salary_after_swap,site_salary_cap
Jets,DST,NYJ,3200,8.134034274,26.853477663051216,1,Bengals,CIN,3000,6.866473122,8.67030855001851,-200,-0.4,-1.267561151999999,-15.583425263545909,18.183169113032704,False,15.34960854375909,49800,50000
Jets,DST,NYJ,3200,8.134034274,26.853477663051216,2,Bears,CHI,2900,7.2503915985,12.59486752033984,-300,-0.6,-0.8836426754999991,-10.86352289324026,14.258610142711376,False,12.709622765600047,49700,50000
