team,opponent,commence_time,spread,over_under,implied_total
CIN,TB,2026-09-13T17:03:58Z,-6.5,60.5,33.5
TB,CIN,2026-09-13T17:03:58Z,6.5,60.5,27.0
PIT,ATL,2026-09-13T17:04:05Z,-7.2,33.83,20.52
ATL,PIT,2026-09-13T17:04:05Z,7.2,33.83,13.32
TEN,NYJ,2026-09-13T17:04:40Z,13.5,33.5,10.0
NYJ,TEN,2026-09-13T17:04:40Z,-13.5,33.5,23.5
HOU,BUF,2026-09-13T17:04:47Z,1.5,72.5,35.5
BUF,HOU,2026-09-13T17:04:47Z,-1.5,72.5,37.0
CAR,CHI,2026-09-13T17:04:51Z,14.7,90.0,37.65
CHI,CAR,2026-09-13T17:04:51Z,-14.7,90.0,52.35
IND,BAL,2026-09-13T17:05:06Z,18.3,65.5,23.6
BAL,IND,2026-09-13T17:05:06Z,-18.3,65.5,41.9
DET,NO,2026-09-13T17:05:30Z,2.0,51.5,24.75
NO,DET,2026-09-13T17:05:30Z,-2.0,51.5,26.75
LAC,ARI,2026-09-13T20:25:00Z,-9.0,46.94,27.97
ARI,LAC,2026-09-13T20:25:00Z,9.0,46.94,18.97
MIN,GB,2026-09-13T20:25:00Z,-1.56,45.44,23.5
GB,MIN,2026-09-13T20:25:00Z,1.56,45.44,21.94
LV,MIA,2026-09-13T20:25:00Z,-3.0,40.39,21.69
MIA,LV,2026-09-13T20:25:00Z,3.0,40.39,18.69
PHI,WAS,2026-09-13T20:25:00Z,-5.83,43.83,24.83
WAS,PHI,2026-09-13T20:25:00Z,5.83,43.83,19.0
NYG,DAL,2026-09-14T00:20:00Z,3.0,47.5,22.25
DAL,NYG,2026-09-14T00:20:00Z,-3.0,47.5,25.25
KC,DEN,2026-09-15T00:15:00Z,-2.17,43.5,22.83
DEN,KC,2026-09-15T00:15:00Z,2.17,43.5,20.67
