team,opponent,commence_time,spread,over_under,implied_total
PIT,TEN,2017-11-16,-7.0,44.5,25.75
TEN,PIT,2017-11-16,7.0,44.5,18.75
CHI,DET,2017-11-19,3.0,41.0,19.0
DET,CHI,2017-11-19,-3.0,41.0,22.0
CLE,JAX,2017-11-19,7.5,37.0,14.75
JAX,CLE,2017-11-19,-7.5,37.0,22.25
GB,BAL,2017-11-19,2.5,38.5,18.0
BAL,GB,2017-11-19,-2.5,38.5,20.5
HOU,ARI,2017-11-19,-2.5,38.0,20.25
ARI,HOU,2017-11-19,2.5,38.0,17.75
MIA,TB,2017-11-19,1.0,44.0,21.5
TB,MIA,2017-11-19,-1.0,44.0,22.5
MIN,LA,2017-11-19,-1.0,46.0,23.5
LA,MIN,2017-11-19,1.0,46.0,22.5
NO,WAS,2017-11-19,-9.5,52.5,31.0
WAS,NO,2017-11-19,9.5,52.5,21.5
NYG,KC,2017-11-19,10.0,44.5,17.25
KC,NYG,2017-11-19,-10.0,44.5,27.25
LAC,BUF,2017-11-19,-7.0,41.5,24.25
BUF,LAC,2017-11-19,7.0,41.5,17.25
DEN,CIN,2017-11-19,-2.5,37.5,20.0
CIN,DEN,2017-11-19,2.5,37.5,17.5
LV,NE,2017-11-19,7.0,55.0,24.0
NE,LV,2017-11-19,-7.0,55.0,31.0
DAL,PHI,2017-11-19,6.0,48.0,21.0
PHI,DAL,2017-11-19,-6.0,48.0,27.0
SEA,ATL,2017-11-20,-1.0,46.0,23.5
ATL,SEA,2017-11-20,1.0,46.0,22.5
