player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available,injury_status
00-0036389,Jalen Hurts,QB,PHI,8300,133104-69531,8.7814,8.7814,1.0,1.136970368319025,9.984158919683974,WAS,25.66,46.69,0.0,0.0,7.1797,statline_mc+recal_10_4b,2.993988112107824,18.551462433011363,15.2115,125.81705785397476,0.77375,3.7045,17.13226605524985,0.16175,0.0,0.0,0.0,0.0,86.40557117301303,4.811315559641635,,classic,True,ACTIVE
00-0036963,Amon-Ra St. Brown,WR,DET,8600,133104-86997,7.8069,7.8069,1.0,1.2446413735807256,9.716778304235032,NO,28.09,49.19,0.0,0.0,7.164,statline_mc+recal_10_4b,1.6397713966682266,22.04164298505328,0.0,0.0,0.0,0.36575,3.137489500679066,0.0145,5.77375,3.5435,55.55279354167124,0.33825,95.82529906307512,10.320428681579497,,classic,True,ACTIVE
00-0037248,James Cook III,RB,BUF,7800,133104-91626,9.7129,9.7129,1.0,0.9832179451675438,9.549942931309856,HOU,22.19,44.5,0.0,0.0,7.3343,statline_mc+recal_10_4b,1.6934615091765877,21.081386958225018,0.0,0.0,0.0,11.58325,47.0049956133481,0.34575,2.52325,1.90575,15.22568369975047,0.07325,74.17005813953489,3.464089742236285,,classic,True,ACTIVE
00-0039150,Bryce Young,QB,CAR,6800,133104-119606,9.5798,9.5798,1.0,0.995624480753254,9.537904130083822,CHI,22.47,47.5,0.0,0.0,7.1053,statline_mc+recal_10_4b,2.9458351247069348,17.5717969974605,18.34125,131.81628635473626,0.8335,2.352,10.197526758943711,0.11075,0.0,0.0,0.0,0.0,80.02547597751087,3.1444244610347485,,classic,True,ACTIVE
00-0039918,Caleb Williams,QB,CHI,8000,133104-152113,8.5831,8.5831,1.0,1.1090556632511772,9.519175538905731,CAR,25.03,47.5,0.0,0.0,7.1498,statline_mc+recal_10_4b,2.721380106859955,17.837842838380347,15.31875,122.97875528233097,0.76825,3.01725,13.955253276124935,0.14575,0.0,0.0,0.0,0.0,85.46072386915411,4.517599332349417,,classic,True,ACTIVE
00-0035700,Josh Jacobs,RB,GB,7200,133104-72731,9.4831,9.4831,1.0,0.9858764885073388,9.34915805639292,MIN,22.25,45.19,0.0,0.0,7.3277,statline_mc+recal_10_4b,1.582048663238136,20.38494195928289,0.0,0.0,0.0,11.12025,46.69398066317021,0.32625,2.49225,1.8595,15.025099900758985,0.07,75.875,3.8810769834551935,,classic,True,QUESTIONABLE
00-0036900,Ja'Marr Chase,WR,CIN,8900,133104-85701,7.6169,7.6169,1.0,1.2211575740792024,9.301448450852524,TB,27.56,51.38,0.0,0.0,7.0775,statline_mc+recal_10_4b,1.5750195250639278,20.47982718298245,0.0,0.0,0.0,0.411,3.1955133187605385,0.014,5.606,3.42525,53.567721189764704,0.31125,95.5090346327589,10.105107637956518,,classic,True,ACTIVE
DST_TEN,Tennessee Titans,D,TEN,3200,133104-12534,9.1322550495,9.1322550495,1.2802842976184534,1.2464115406772067,9.1322550495,NYJ,20.88,39.25,,,6.2434,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.60901162790697,6.137753555948144,,classic,True,ACTIVE
00-0040122,Ashton Jeanty,RB,LV,7000,133104-167031,9.3658,9.3658,1.0,0.9734699529216284,9.117294976123306,MIA,21.97,40.44,0.0,0.0,7.2164,statline_mc+recal_10_4b,1.4592730931254274,20.26897217812424,0.0,0.0,0.0,11.9305,48.0710512099805,0.34,2.109,1.592,12.221898551252549,0.06325,69.24107142857142,2.493907564482642,,classic,True,QUESTIONABLE
00-0039064,Zay Flowers,WR,BAL,7300,133104-112295,7.9338,7.9338,1.0,1.148047632234838,9.108378835087963,IND,25.91,48.31,0.0,0.0,7.4092,statline_mc+recal_10_4b,1.4967767643168697,20.502680346837376,0.0,0.0,0.0,0.16275,0.8925700381565673,0.00425,5.89325,3.6245,53.37871831272308,0.3135,92.97881462272042,8.536573252168564,,classic,True,ACTIVE
00-0038542,Bijan Robinson,RB,ATL,8800,133104-136855,10.3764,10.3764,1.0,0.8711160343395182,9.039062856748012,PIT,19.66,42.31,0.0,0.0,7.1426,statline_mc+recal_10_4b,1.5418970029083865,19.818344470010818,0.0,0.0,0.0,12.26275,44.9430331291631,0.31275,2.679,2.01825,14.221345438317028,0.06625,66.17286129568106,2.032574957502402,,classic,True,ACTIVE
00-0039163,C.J. Stroud,QB,HOU,6800,133104-129471,9.025,9.025,1.0,0.9885350318471338,8.921505700484976,BUF,22.31,44.5,0.0,0.0,7.0564,statline_mc+recal_10_4b,2.737572861786526,16.516461239430864,17.6525,124.02838975912093,0.79025,2.305,9.351201101201392,0.1005,0.0,0.0,0.0,0.0,71.92858740097113,1.8327879919339356,,classic,True,ACTIVE
00-0034855,Baker Mayfield,QB,TB,7500,133104-41535,8.4452,8.4452,1.0,1.0549986153420106,8.90968588543251,CIN,23.81,51.38,0.0,0.0,7.0613,statline_mc+recal_10_4b,2.607727895073715,16.57989951425372,16.0695,119.9385216259034,0.75175,2.58425,11.24395020396373,0.114,0.0,0.0,0.0,0.0,85.15477255302837,4.426388334581462,,classic,True,ACTIVE
DST_LV,Las Vegas Raiders,D,LV,3800,133104-12537,8.888367379500002,8.888367379500002,1.2460927915127578,1.2403380680913407,8.888367379500002,MIA,21.97,40.44,,,6.1035,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.35416666666667,4.044949802881881,,classic,True,ACTIVE
DST_LAC,Los Angeles Chargers,D,LAC,4600,133104-12548,8.874536166000002,8.874536166000002,1.244153743012133,1.274849422239681,8.874536166000002,ARI,28.41,46.38,,,6.0605,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.08212209302326,16.10827050172378,,classic,True,ACTIVE
00-0040743,Tyler Shough,QB,NO,6900,133104-88431,9.447,9.447,1.0,0.9344779839379674,8.82801519080275,DET,21.09,49.19,0.0,0.0,7.0453,statline_mc+recal_10_4b,2.724962968389534,16.464839878298775,18.7285,125.3800061727613,0.80075,2.07075,8.015649438922974,0.07775,0.0,0.0,0.0,0.0,75.85124904165602,2.380591714739676,,classic,True,ACTIVE
00-0039915,Ladd McConkey,WR,LAC,6500,133104-133472,6.8565,6.8565,1.0,1.2588202713929662,8.631085537762678,ARI,28.41,46.38,0.0,0.0,6.9141,statline_mc+recal_10_4b,1.2496699165626397,20.238468658987856,0.0,0.0,0.0,0.164,1.236656057440073,0.00825,5.0255,3.07975,51.64544932018669,0.298,90.87258971892254,7.418261089209082,,classic,True,ACTIVE
00-0037240,Jameson Williams,WR,DET,7100,133104-111631,6.8823,6.8823,1.0,1.2446413735807256,8.56600198079256,NO,28.09,49.19,0.0,0.0,6.9254,statline_mc+recal_10_4b,1.3225188965692083,19.6013819495265,0.0,0.0,0.0,0.1275,0.8689546097627924,0.00475,5.1235,3.1515,50.59356519816279,0.30925,95.2497594947298,9.93194165862174,,classic,True,ACTIVE
00-0036275,D'Andre Swift,RB,CHI,6600,133104-91598,7.541,7.541,1.0,1.1090556632511772,8.363388709549945,CAR,25.03,47.5,0.0,0.0,7.2397,statline_mc+recal_10_4b,1.2377343931363065,18.88231237828084,0.0,0.0,0.0,8.49425,40.628142438686,0.2975,2.14175,1.62575,14.121994656813431,0.0665,84.61731727574751,6.951335781534834,,classic,True,ACTIVE
00-0036971,Trevor Lawrence,QB,JAX,7700,133104-89951,7.7316,7.7316,1.0,1.0634173359180283,8.221908417808493,CLE,24.0,40.5,0.0,0.0,7.0304,statline_mc+recal_10_4b,2.3119009018979355,15.620220784080251,13.904,106.08463674643713,0.67225,2.83875,12.947729479510086,0.11875,0.0,0.0,0.0,0.0,74.025364170713,2.1077550386617463,,classic,True,ACTIVE
