cash_player_name,cash_position,cash_team,cash_salary,cash_final_projection,cash_estimated_ownership_pct,pivot_rank,pivot_player_name,pivot_team,pivot_salary,pivot_final_projection,pivot_estimated_ownership_pct,salary_diff,projection_diff,ownership_edge_pts,outprojects_cash_player,leverage_score,lineup_salary_after_swap,site_salary_cap
Daniel Jones,QB,IND,6000,17.25399315602857,32.383018938283435,1,Marcus Mariota,WAS,5000,9.461878463561016,15.646115904257709,-1000,-7.792114692467555,16.736903034025726,False,9.178312575661648,45900,50000
Daniel Jones,QB,IND,6000,17.25399315602857,32.383018938283435,2,Davis Mills,HOU,5000,5.101553968523988,16.590508583492838,-1000,-12.152439187504584,15.792510354790597,False,4.669431774133291,45900,50000
Browns ,DST,CLE,3200,3.5115113871635613,34.81849293546789,1,Commanders ,WAS,3000,2.0620115310698277,4.42498588641558,-200,-1.4494998560937336,30.393507049052307,False,17.847517804981784,46700,50000
Browns ,DST,CLE,3200,3.5115113871635613,34.81849293546789,2,Colts ,IND,3100,1.4645982142857144,3.662008984496197,-100,-2.046913172877847,31.15648395097169,False,12.99489756029921,46800,50000
Browns ,DST,CLE,3200,3.5115113871635613,34.81849293546789,3,Dolphins ,MIA,2900,1.7376396237507348,8.708610649159434,-300,-1.7738717634128265,26.109882286308455,False,12.920238902828808,46600,50000
Jonathan Taylor,RB,IND,7700,28.27855068996216,46.90596164839986,1,Woody Marks,HOU,3000,9.02028675546544,19.98531848553945,-4700,-19.258263934496718,26.920643162860408,False,8.587141669065712,42200,50000
Jonathan Taylor,RB,IND,7700,28.27855068996216,46.90596164839986,2,Dylan Sampson,CLE,3000,5.608370795671651,10.356923889960012,-4700,-22.67017989429051,36.54903775843985,False,7.248623107374985,42200,50000
Jonathan Taylor,RB,IND,7700,28.27855068996216,46.90596164839986,3,Nick Chubb,HOU,3000,6.662898277291499,17.437695864684034,-4700,-21.61565241267066,29.468265783715825,False,6.943214999868543,42200,50000
De'Von Achane,RB,MIA,6200,23.00327938205885,68.68952155097769,1,Woody Marks,HOU,3000,9.02028675546544,19.98531848553945,-3200,-13.98299262659341,48.704203065438236,False,19.098402038681453,43700,50000
De'Von Achane,RB,MIA,6200,23.00327938205885,68.68952155097769,2,Nick Chubb,HOU,3000,6.662898277291499,17.437695864684034,-3200,-16.34038110476735,51.25182568629366,False,14.845087754730665,43700,50000
De'Von Achane,RB,MIA,6200,23.00327938205885,68.68952155097769,3,Dylan Sampson,CLE,3000,5.608370795671651,10.356923889960012,-3200,-17.3949085863872,58.33259766101767,False,14.221921654043536,43700,50000
Michael Pittman Jr.,WR,IND,3700,16.396279894680582,27.146758147325443,1,Deebo Samuel Sr.,WAS,5200,9.36668381745432,12.4387407158014,1500,-7.0295960772262625,14.708017431524043,False,8.402232076276478,48400,50000
Michael Pittman Jr.,WR,IND,3700,16.396279894680582,27.146758147325443,2,Josh Downs,IND,3300,11.709349450160014,17.941495598566906,-400,-4.686930444520568,9.205262548758537,False,6.573908024030116,46500,50000
Michael Pittman Jr.,WR,IND,3700,16.396279894680582,27.146758147325443,3,Cedric Tillman,CLE,3800,7.3260242654666365,12.850649902499129,100,-9.070255629213946,14.296108244826314,False,6.3876462573265655,47000,50000
Nico Collins,WR,HOU,8000,15.1218896257221,38.67453943996727,1,Deebo Samuel Sr.,WAS,5200,9.36668381745432,12.4387407158014,-2800,-5.75520580826778,26.235798724165868,False,16.250775361409136,44100,50000
Nico Collins,WR,HOU,8000,15.1218896257221,38.67453943996727,2,Josh Downs,IND,3300,11.709349450160014,17.941495598566906,-4700,-3.4125401755620857,20.733043841400363,False,16.0542406744919,42200,50000
Nico Collins,WR,HOU,8000,15.1218896257221,38.67453943996727,3,Cedric Tillman,CLE,3800,7.3260242654666365,12.850649902499129,-4200,-7.795865360255463,25.82388953746814,False,12.51076724289922,42700,50000
Jaylen Waddle,WR,MIA,6000,14.940352867349269,47.92216835760334,1,Josh Downs,IND,3300,11.709349450160014,17.941495598566906,-2700,-3.231003417189255,29.980672759036434,False,23.497047037867915,44200,50000
Jaylen Waddle,WR,MIA,6000,14.940352867349269,47.92216835760334,2,Deebo Samuel Sr.,WAS,5200,9.36668381745432,12.4387407158014,-800,-5.573669049894949,35.48342764180194,False,22.245930228771464,46100,50000
Jaylen Waddle,WR,MIA,6000,14.940352867349269,47.92216835760334,3,Cedric Tillman,CLE,3800,7.3260242654666365,12.850649902499129,-2200,-7.614328601882632,35.07151845510421,False,17.197371274299762,44700,50000
Dalton Schultz,TE,HOU,3500,16.24828933406074,32.515469156309734,1,Zach Ertz,WAS,3300,6.390881567746541,11.491715794054452,-200,-9.8574077663142,21.023753362255285,False,8.269197765086055,46700,50000
Dalton Schultz,TE,HOU,3500,16.24828933406074,32.515469156309734,2,Tyler Warren,IND,4200,5.200892602279857,21.88287908478165,700,-11.047396731780882,10.632590071528085,False,3.4033711432109555,47600,50000
Dalton Schultz,TE,HOU,3500,16.24828933406074,32.515469156309734,3,John Bates,WAS,2500,1.9426642602571425,7.646278069929942,-1000,-14.305625073803597,24.869191086379793,False,2.973389241890202,45900,50000
Harold Fannin Jr.,TE,CLE,2600,12.92438327689711,16.765493029434303,1,Zach Ertz,WAS,3300,6.390881567746541,11.491715794054452,700,-6.53350170915057,5.2737772353798515,False,2.6077906391276637,47600,50000
Harold Fannin Jr.,TE,CLE,2600,12.92438327689711,16.765493029434303,2,John Bates,WAS,2500,1.9426642602571425,7.646278069929942,-100,-10.981719016639968,9.119214959504362,False,1.3707093486695612,46800,50000
Harold Fannin Jr.,TE,CLE,2600,12.92438327689711,16.765493029434303,3,Ben Sinnott,WAS,2500,1.1964595666637257,6.472434649627571,-100,-11.727923710233384,10.293058379806732,False,0.9528677620356548,46800,50000
