player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,chalk_score,estimated_ownership_pct
00-0032764,Derrick Henry,RB,BAL,7000,43670604,16.441176470588236,22.466,1.0,1.0,19.45358823529412,BYE_OR_UNKNOWN,0.0,0.0,66.33522727272727,17.53578895776127
00-0037744,Trey McBride,TE,ARI,4700,43670712,18.582352941176477,17.317,1.0,1.0,17.949676470588237,BYE_OR_UNKNOWN,0.0,0.0,72.72411616161615,17.802073037914166
00-0039064,Zay Flowers,WR,BAL,5000,43670652,14.311764705882354,21.464,1.0,1.0,17.887882352941176,BYE_OR_UNKNOWN,0.0,0.0,71.63825757575758,21.074166234816737
00-0039918,Caleb Williams,QB,CHI,5600,43670591,18.716470588235296,19.2258,0.8475616769546165,1.0576584507042255,17.00630942183428,CAR,24.03,45.44,84.4034090909091,45.35399122165776
00-0038559,Michael Wilson,WR,ARI,3900,43670662,12.976470588235294,19.874,1.0,1.0,16.42523529411765,BYE_OR_UNKNOWN,0.0,0.0,67.69886363636364,16.206650434845987
00-0033119,Jacoby Brissett,QB,ARI,5000,43670595,16.245714285714286,15.7014,1.0,1.0,15.973557142857143,BYE_OR_UNKNOWN,0.0,0.0,68.15340909090908,15.350757919125838
00-0036275,D'Andre Swift,RB,CHI,6600,43670608,14.2875,12.913,1.0994897617548982,1.0576584507042255,15.815521797726168,CAR,24.03,45.44,81.76704545454545,49.05939734337737
00-0035228,Kyler Murray,QB,ARI,7800,43670588,15.556,15.337599999999998,1.0,1.0,15.4468,BYE_OR_UNKNOWN,0.0,0.0,51.33522727272727,5.002574737734222
00-0034796,Lamar Jackson,QB,BAL,7600,43670589,16.527692307692305,14.3024,1.0,1.0,15.415046153846152,BYE_OR_UNKNOWN,0.0,0.0,50.42613636363637,4.708393028177024
00-0039163,C.J. Stroud,QB,HOU,5500,43670592,14.895714285714286,15.594599999999998,1.0,1.0,15.245157142857142,BYE_OR_UNKNOWN,0.0,0.0,50.42613636363637,4.708393028177024
00-0040126,Colston Loveland,TE,CHI,2600,43670724,10.31875,17.579,1.0312886580299652,1.0576584507042255,15.214751646657524,CAR,24.03,45.44,83.26704545454545,35.95171780450912
00-0039150,Bryce Young,QB,CAR,5400,43670593,13.6275,15.1856,1.1124247010029342,0.9423415492957747,15.102156093845341,CHI,21.41,45.44,65.53977272727272,12.89606755776067
00-0036945,Justin Fields,QB,NYJ,6100,43670590,15.851111111111113,13.5578,1.0,1.0,14.704455555555557,BYE_OR_UNKNOWN,0.0,0.0,49.97159090909091,4.567854576280667
00-0036554,Nico Collins,WR,HOU,8100,43670642,15.080000000000002,13.872,1.0,1.0,14.476,BYE_OR_UNKNOWN,0.0,0.0,63.759469696969695,12.463388368046505
00-0038120,Breece Hall,RB,NYJ,7800,43670600,12.97875,12.294,1.0,1.0,12.636375000000001,BYE_OR_UNKNOWN,0.0,0.0,60.83522727272727,12.15301405299185
00-0040124,Tetairoa McMillan,WR,CAR,5300,43670650,12.552941176470588,10.053999999999998,1.1561039392949728,0.9423415492957747,12.31450699774166,CHI,21.41,45.44,81.9034090909091,41.77889783760568
00-0037740,Garrett Wilson,WR,NYJ,6300,43670644,14.214285714285714,9.271,1.0,1.0,11.742642857142858,BYE_OR_UNKNOWN,0.0,0.0,63.001893939393945,11.849555609097626
00-0036898,Davis Mills,QB,HOU,5000,43670598,11.433333333333332,11.642,1.0,1.0,11.537666666666667,BYE_OR_UNKNOWN,0.0,0.0,44.06249999999999,3.080537955443931
00-0034383,Dalton Schultz,TE,HOU,3700,43670716,10.452941176470588,11.088,1.0,1.0,10.770470588235295,BYE_OR_UNKNOWN,0.0,0.0,65.77967171717171,11.204908602365263
00-0033553,James Conner,RB,ARI,5900,43670610,11.1,10.34375,1.0,1.0,10.721875,BYE_OR_UNKNOWN,0.0,0.0,55.83522727272727,8.708015086811928
