player_id,player_name,position,salary,final_projection,chalk_score,estimated_ownership_pct
00-0039040,De'Von Achane,RB,7400,20.545523824477826,83.21928071928072,60.16940451001872
00-0036223,Jonathan Taylor,RB,9200,26.86551243116205,81.58841158841159,53.97059621182697
DST_HOU,Texans ,DEF,4000,2.450090991810737,78.7912087912088,48.38590154446091
00-0036613,Jaylen Waddle,WR,7200,12.526217356251015,78.5980685980686,47.92216835760334
00-0036554,Nico Collins,WR,9600,12.251636201487578,75.38211788211788,38.67453943996727
00-0034383,Dalton Schultz,TE,4200,12.524734334201998,74.9023199023199,32.515469156309734
00-0036212,Tua Tagovailoa,QB,7800,10.473561648317858,74.73443223443225,35.38035657396601
00-0039880,Malik Washington,WR,3600,6.467078382332122,74.5071595071595,36.483165301996124
DST_CLE,Browns ,DEF,3800,3.5115113871635613,73.85531135531136,34.81849293546789
00-0035710,Daniel Jones,QB,7200,17.263185900357573,73.4065934065934,32.383018938283435
00-0033885,David Njoku,TE,5500,9.054843712339206,73.2997557997558,29.22072866752755
00-0036252,Michael Pittman Jr.,WR,4400,13.53089583332819,70.07326007326007,27.146758147325443
00-0037664,Alec Pierce,WR,4700,9.344698022026284,69.77022977022978,26.60384126428433
00-0040130,Jayden Higgins,WR,3600,5.132831238753477,69.16999666999666,25.560292517179906
00-0040128,Tyler Warren,TE,5000,4.20867676321868,68.96214896214897,21.88287908478165
00-0040138,Jaylin Noel,WR,3600,5.1140105679959325,67.8063603063603,23.339121405821125
00-0040583,Woody Marks,RB,3600,8.009489266140145,66.74575424575424,20.064034704842516
00-0040198,Ollie Gordon II,RB,3600,4.725250690822873,65.26473526473526,18.177676865743315
00-0040663,Harold Fannin Jr.,TE,3100,10.386072712159796,64.96642246642247,16.765493029434303
00-0034791,Nick Chubb,RB,3600,6.036648020565681,64.7002997002997,17.50637775698501
00-0038997,Josh Downs,WR,4000,9.614816194943238,63.86113886113886,17.941495598566906
00-0036898,Davis Mills,QB,6000,5.104272022303722,63.37454212454213,16.590508583492838
00-0034775,Christian Kirk,WR,5600,6.045904435659083,62.95787545787546,16.89298859209263
00-0032268,Marcus Mariota,QB,6000,9.466919651928317,62.49542124542125,15.646115904257707
00-0037267,Jerome Ford,RB,9600,3.226051933999905,62.112887112887115,14.732723163240726
00-0039874,Jaylen Wright,RB,3600,4.131473144749969,61.173826173826185,13.838672427141216
00-0030061,Zach Ertz,TE,4000,5.202155943680463,59.30097680097681,11.491715794054453
00-0038979,Cedric Tillman,WR,4600,6.131234719546267,58.85531135531136,12.850649902499127
00-0035719,Deebo Samuel Sr.,WR,6200,7.553194171911006,58.36663336663338,12.4387407158014
00-0036407,Jerry Jeudy,WR,7000,3.6885555580816702,55.37046287046287,10.18657985808491
00-0040162,Dylan Sampson,RB,3600,4.348636702392672,54.84015984015984,9.072270834671587
00-0036628,John Bates,TE,3000,1.5022567419854187,53.18986568986569,7.646278069929942
DST_MIA,Dolphins ,DEF,3500,1.7376396237507348,53.06776556776557,8.708610649159434
00-0035021,Ashton Dulin,WR,3600,1.010867133987888,52.64901764901765,8.496390891938566
00-0040164,Jaylin Lane,WR,3600,3.028380196119917,52.60905760905761,8.473786606275024
00-0033217,Mo Alie-Cox,TE,3200,0.5096518523064133,52.57326007326008,7.33833488166814
00-0036182,Nick Westbrook-Ikhine,WR,3700,2.1345543019327504,51.77988677988678,8.018083389373428
00-0039912,Ben Sinnott,TE,3000,0.9716631543364992,50.689865689865684,6.472434649627571
00-0040259,Gage Larvadain,WR,3600,0.8367891005808501,48.400765900765904,6.400810923670924
00-0037258,Dameon Pierce,RB,3600,0.7801962969209467,48.336663336663335,5.880584530292281
00-0040242,Jacory Croskey-Merritt,RB,3600,3.826468983064773,48.13936063936064,5.803740675574149
00-0037120,Tyler Goodson,RB,3600,0.8020835819711964,47.497502497502495,5.560633891014977
00-0039379,Jamari Thrash,WR,4200,2.6313122480587614,47.188644688644686,5.9039204208528595
00-0038611,Chris Rodriguez Jr.,RB,3600,3.151832007027492,46.09390609390609,5.06391053269352
DST_WAS,Commanders ,DEF,3600,2.0620115310698277,42.91208791208791,4.4249858864155796
00-0039910,Jayden Daniels,QB,10000,0.0,42.78159340659341,0.0
00-0038710,Blake Whiteheart,RB,3600,0.481010365457662,40.52197802197802,3.4927072292883454
DST_IND,Colts ,DEF,3700,1.4645982142857144,40.07326007326007,3.662008984496197
00-0037292,Drew Ogletree,TE,3000,0.0,39.93437118437119,0.0
00-0038041,Jake Ferguson,TE,6200,0.0,39.65659340659341,0.0
00-0033077,Dak Prescott,QB,8000,0.0,39.44826007326008,0.0
00-0035125,Alec Ingold,RB,3600,0.0,38.67382617382617,0.0
00-0033040,Tyreek Hill,WR,7900,0.0,36.28538128538129,0.0
00-0035659,Terry McLaurin,WR,7800,0.0,35.07326007326008,0.0
00-0036358,CeeDee Lamb,WR,7700,0.0,33.86113886113886,0.0
00-0031610,Darren Waller,TE,4700,0.0,32.989926739926744,0.0
00-0039398,Joe Milton III,QB,6000,0.0,31.11492673992674,0.0
00-0037013,Zach Wilson,QB,6000,0.0,31.11492673992674,0.0
00-0040668,Shedeur Sanders,QB,6000,0.0,31.11492673992674,0.0
00-0039164,Anthony Richardson Sr.,QB,6000,0.0,31.11492673992674,0.0
00-0036997,Javonte Williams,RB,7300,0.0,30.67932067932068,0.0
00-0039163,C.J. Stroud,QB,6400,0.0,29.44826007326007,0.0
00-0037247,George Pickens,WR,5800,0.0,29.012654012654014,0.0
00-0033699,Austin Ekeler,RB,6700,0.0,28.861138861138862,0.0
00-0039359,Cade Stover,TE,3000,0.0,27.434371184371184,0.0
00-0038720,Julian Hill,TE,3000,0.0,27.434371184371184,0.0
00-0037348,Tanner Conner,TE,3000,0.0,27.434371184371184,0.0
