player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available
00-0037744,Trey McBride,TE,ARI,11400,43716749,18.46275,18.46275,1.0312886580299652,1.0,19.040409038334616,CAR,0.0,0.0,11.1213,statline_mc+recal_10_4b,4.893072375706225,39.070936017106334,0.0,0.0,0.0,0.0,0.0,0.0,6.60425,4.79625,50.286060255564095,0.41875,CPT,showdown,67.3125,4.928567456992739,True
00-0033119,Jacoby Brissett,QB,ARI,11400,43716743,17.3145,17.3145,0.8475616769546165,1.0,14.675135824007372,CAR,0.0,0.0,11.2182,statline_mc+recal_10_4b,4.337124025026908,27.35385397404777,24.01575,140.9866108463387,0.9505,1.4685,5.214594488180336,0.04625,0.0,0.0,0.0,0.0,CPT,showdown,66.47916666666666,4.662225054088016,True
00-0039150,Bryce Young,QB,CAR,11400,43716744,13.84545,13.84545,1.0400384303979038,1.0,14.39985921528308,ARI,0.0,0.0,11.25555,statline_mc+recal_10_4b,4.010883603729113,26.88776995138442,18.12425,119.52765876108745,0.8955,2.69325,11.310497930785553,0.10525,0.0,0.0,0.0,0.0,CPT,showdown,65.64583333333334,4.4102759360889205,True
00-0038559,Michael Wilson,WR,ARI,11400,43716759,16.125600000000002,16.125600000000002,0.8647810592275972,1.0,13.945136268653968,CAR,0.0,0.0,11.33985,statline_mc+recal_10_4b,3.1302586677621247,30.70324557562096,0.0,0.0,0.0,0.0,0.0,0.0,5.7155,3.503,39.455075124359794,0.26525,CPT,showdown,64.8125,4.171942282234964,True
00-0037744,Trey McBride,TE,ARI,7600,43716690,12.3085,12.3085,1.0312886580299652,1.0,12.693606025556411,CAR,0.0,0.0,7.4142,statline_mc+recal_10_4b,3.262048250470817,26.047290678070887,0.0,0.0,0.0,0.0,0.0,0.0,6.60425,4.79625,50.286060255564095,0.41875,FLEX,showdown,67.3125,24.642837284963697,True
00-0040279,Ryan Fitzgerald,K,CAR,11400,43716751,12.103124999999999,12.103124999999999,1.0,1.0,12.103124999999999,ARI,0.0,0.0,7.29495,kicker_session_13_1,3.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPT,showdown,63.979166666666664,3.9464883056126623,True
00-0038567,Chad Ryland,K,ARI,11400,43716752,11.12655,11.12655,1.0,1.0,11.12655,CAR,0.0,0.0,6.9558,kicker_session_13_1,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPT,showdown,63.14583333333333,3.733217981624116,True
00-0040124,Tetairoa McMillan,WR,CAR,11400,43716747,10.91685,10.91685,0.9815399007789108,1.0,10.715335252191286,ARI,0.0,0.0,10.59915,statline_mc+recal_10_4b,1.7295802946369596,24.694443562334314,0.0,0.0,0.0,0.0,0.0,0.0,4.083,2.354,33.32806834794191,0.20825,CPT,showdown,62.3125,3.5314728992103364,True
00-0033119,Jacoby Brissett,QB,ARI,7600,43716684,11.543,11.543,0.8475616769546165,1.0,9.783423882671581,CAR,0.0,0.0,7.4788,statline_mc+recal_10_4b,2.8914160166846052,18.23590264936518,24.01575,140.9866108463387,0.9505,1.4685,5.214594488180336,0.04625,0.0,0.0,0.0,0.0,FLEX,showdown,66.47916666666666,23.311125270440083,True
00-0039150,Bryce Young,QB,CAR,7600,43716685,9.2303,9.2303,1.0400384303979038,1.0,9.599906143522054,ARI,0.0,0.0,7.5037,statline_mc+recal_10_4b,2.673922402486075,17.925179967589614,18.12425,119.52765876108745,0.8955,2.69325,11.310497930785553,0.10525,0.0,0.0,0.0,0.0,FLEX,showdown,65.64583333333334,22.051379680444605,True
00-0039491,Jalen Coker,WR,CAR,11400,43716760,9.64635,9.64635,0.9815399007789108,1.0,9.468321183129092,ARI,0.0,0.0,10.0512,statline_mc+recal_10_4b,1.6198246228756648,21.151225118525783,0.0,0.0,0.0,0.0,0.0,0.0,3.453,2.33625,28.19714122086062,0.1685,CPT,showdown,61.479166666666664,3.3406302281956424,True
00-0038559,Michael Wilson,WR,ARI,7600,43716700,10.7504,10.7504,0.8647810592275972,1.0,9.29675751243598,CAR,0.0,0.0,7.5599,statline_mc+recal_10_4b,2.0868391118414165,20.468830383747306,0.0,0.0,0.0,0.0,0.0,0.0,5.7155,3.503,39.455075124359794,0.26525,FLEX,showdown,64.8125,20.85971141117482,True
00-0037263,Tyler Allgeier,RB,ARI,11400,43716757,8.1156,8.1156,1.0994897617548982,1.0,8.923021753866097,CAR,0.0,0.0,10.3212,statline_mc+recal_10_4b,0.5987841389719188,22.15507555619183,0.0,0.0,0.0,7.10325,27.76878325089913,0.31375,0.72825,0.5625,4.9055284415415095,0.02075,CPT,showdown,60.64583333333333,3.1601007964778374,True
DST_ARI,Cardinals,DST,ARI,11400,43716754,8.747012745000003,8.747012745000003,1.0536342894891848,0.8086256255061149,8.747012745000003,LAC,17.89,46.22,8.9769,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPT,showdown,77.27083333333333,9.572910225581193,True
00-0040279,Ryan Fitzgerald,K,CAR,7600,43716692,8.06875,8.06875,1.0,1.0,8.06875,ARI,0.0,0.0,4.8633,kicker_session_13_1,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLEX,showdown,63.979166666666664,19.732441528063312,True
DST_CAR,Panthers,DST,CAR,11400,43716753,7.8564953835,7.8564953835,0.9463657105108152,0.941955755369582,7.8564953835,CHI,21.51,45.83,8.4258,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPT,showdown,76.52083333333334,9.106033884676608,True
00-0037614,John Metchie III,WR,CAR,11400,43716786,7.606050000000001,7.606050000000001,0.9815399007789108,1.0,7.465598339057497,ARI,0.0,0.0,9.3552,statline_mc+recal_10_4b,0.7446351498963617,16.855655002949387,0.0,0.0,0.0,0.074,0.3384622115116896,0.00225,3.1285,2.0225,20.14219338220494,0.13525,CPT,showdown,58.14583333333333,2.674967573030764,True
00-0038567,Chad Ryland,K,ARI,7600,43716693,7.4177,7.4177,1.0,1.0,7.4177,CAR,0.0,0.0,4.6372,kicker_session_13_1,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLEX,showdown,63.14583333333333,18.66608990812058,True
00-0040124,Tetairoa McMillan,WR,CAR,7600,43716688,7.2779,7.2779,0.9815399007789108,1.0,7.1435568347941905,ARI,0.0,0.0,7.0661,statline_mc+recal_10_4b,1.1530535297579732,16.462962374889543,0.0,0.0,0.0,0.0,0.0,0.0,4.083,2.354,33.32806834794191,0.20825,FLEX,showdown,62.3125,17.65736449605168,True
00-0036555,Chuba Hubbard,RB,CAR,11400,43716745,5.5167,5.5167,1.1940378460178651,1.0,6.587201959374003,ARI,0.0,0.0,9.3156,statline_mc+recal_10_4b,0.4883850099581406,15.409498084539628,0.0,0.0,0.0,3.345,15.610167141108045,0.0685,1.36275,1.02975,9.787012588051967,0.0585,CPT,showdown,57.3125,2.5304109047270007,True
00-0039491,Jalen Coker,WR,CAR,7600,43716701,6.4309,6.4309,0.9815399007789108,1.0,6.312214122086061,ARI,0.0,0.0,6.7008,statline_mc+recal_10_4b,1.07988308191711,14.100816745683856,0.0,0.0,0.0,0.0,0.0,0.0,3.453,2.33625,28.19714122086062,0.1685,FLEX,showdown,61.479166666666664,16.70315114097821,True
00-0037263,Tyler Allgeier,RB,ARI,7600,43716698,5.4104,5.4104,1.0994897617548982,1.0,5.948681169244065,CAR,0.0,0.0,6.8808,statline_mc+recal_10_4b,0.39918942598127927,14.770050370794552,0.0,0.0,0.0,7.10325,27.76878325089913,0.31375,0.72825,0.5625,4.9055284415415095,0.02075,FLEX,showdown,60.64583333333333,15.800503982389188,True
DST_ARI,Cardinals,DST,ARI,7600,43716695,5.831341830000001,5.831341830000001,1.0536342894891848,0.8086256255061149,5.831341830000001,LAC,17.89,46.22,5.9846,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLEX,showdown,77.27083333333333,47.86455112790596,True
00-0039041,Elijah Higgins,TE,ARI,11400,43716769,5.5524000000000004,5.5524000000000004,1.0312886580299652,1.0,5.726195530831856,CAR,0.0,0.0,7.964700000000001,statline_mc+recal_10_4b,0.0,13.819387664498166,0.0,0.0,0.0,0.0,0.0,0.0,2.13475,1.54375,16.869636872212375,0.09075,CPT,showdown,56.479166666666664,2.393666155551441,True
DST_CAR,Panthers,DST,CAR,7600,43716694,5.237663589,5.237663589,0.9463657105108152,0.941955755369582,5.237663589,CHI,21.51,45.83,5.6172,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLEX,showdown,76.52083333333334,45.530169423383036,True
00-0037005,Tommy Tremble,TE,CAR,11400,43716750,3.9777000000000005,3.9777000000000005,1.2737366136715011,1.0,5.066548620578633,ARI,0.0,0.0,7.7127,statline_mc+recal_10_4b,0.0,12.710311687177153,0.0,0.0,0.0,0.0,0.0,0.0,1.76575,1.203,14.81699080385755,0.1105,CPT,showdown,55.64583333333333,2.26431116524554,True
00-0037614,John Metchie III,WR,CAR,7600,43716727,5.0707,5.0707,0.9815399007789108,1.0,4.977065559371664,ARI,0.0,0.0,6.2368,statline_mc+recal_10_4b,0.49642343326424115,11.237103335299592,0.0,0.0,0.0,0.074,0.3384622115116896,0.00225,3.1285,2.0225,20.14219338220494,0.13525,FLEX,showdown,58.14583333333333,13.374837865153818,True
00-0040187,Mitchell Evans,TE,CAR,11400,43716770,3.48825,3.48825,1.2737366136715011,1.0,4.443164610113812,ARI,0.0,0.0,7.7001,statline_mc+recal_10_4b,0.0,12.382100031107113,0.0,0.0,0.0,0.0,0.0,0.0,1.428,0.98175,12.698597400758743,0.114,CPT,showdown,54.8125,2.1419465873153314,True
00-0039342,Xavier Legette,WR,CAR,11400,43716767,4.4937000000000005,4.4937000000000005,0.9815399007789108,1.0,4.410757423314579,ARI,0.0,0.0,8.1042,statline_mc+recal_10_4b,0.0,11.516736328458453,0.0,0.0,0.0,0.0,0.0,0.0,1.98075,1.11675,12.337549488763855,0.09375,CPT,showdown,53.979166666666664,2.026194656163469,True
00-0041149,Haynes King,QB,CAR,11400,43716763,4.2372000000000005,4.2372000000000005,1.0400384303979038,1.0,4.40690169778298,ARI,0.0,0.0,10.036200000000001,statline_mc+recal_10_4b,0.7838402992388653,10.03545816289165,6.01625,44.267675023878276,0.27,0.39825,1.612274642335226,0.01625,0.0,0.0,0.0,0.0,CPT,showdown,53.14583333333333,1.916698020846121,True
00-0036555,Chuba Hubbard,RB,CAR,7600,43716686,3.6778,3.6778,1.1940378460178651,1.0,4.3914679729160015,ARI,0.0,0.0,6.2104,statline_mc+recal_10_4b,0.3255900066387604,10.272998723026419,0.0,0.0,0.0,3.345,15.610167141108045,0.0685,1.36275,1.02975,9.787012588051967,0.0585,FLEX,showdown,57.3125,12.652054523635005,True
00-0039041,Elijah Higgins,TE,ARI,7600,43716710,3.7016,3.7016,1.0312886580299652,1.0,3.8174636872212377,CAR,0.0,0.0,5.3098,statline_mc+recal_10_4b,0.0,9.212925109665443,0.0,0.0,0.0,0.0,0.0,0.0,2.13475,1.54375,16.869636872212375,0.09075,FLEX,showdown,56.479166666666664,11.968330777757204,True
00-0041561,Carson Beck,QB,ARI,11400,43716764,4.21605,4.21605,0.8475616769546165,1.0,3.5733846222841805,CAR,0.0,0.0,9.85365,statline_mc+recal_10_4b,0.5698057368047322,8.764415997990332,6.045,36.31730337127067,0.2225,0.4275,1.4281428000529373,0.011,0.0,0.0,0.0,0.0,CPT,showdown,52.3125,1.8131186418542455,True
00-0033307,Kendrick Bourne,WR,ARI,11400,43716768,3.92865,3.92865,0.8647810592275972,1.0,3.3974551741478214,CAR,0.0,0.0,7.6312500000000005,statline_mc+recal_10_4b,0.0,8.36707110371724,0.0,0.0,0.0,0.0,0.0,0.0,1.39075,0.90675,11.149701160985478,0.03625,CPT,showdown,51.479166666666664,1.715136747513398,True
00-0037005,Tommy Tremble,TE,CAR,7600,43716691,2.6518,2.6518,1.2737366136715011,1.0,3.377699080385755,ARI,0.0,0.0,5.1418,statline_mc+recal_10_4b,0.0,8.473541124784768,0.0,0.0,0.0,0.0,0.0,0.0,1.76575,1.203,14.81699080385755,0.1105,FLEX,showdown,55.64583333333333,11.3215558262277,True
00-0040556,Corey Kiner,RB,ARI,11400,43716784,2.94135,2.94135,1.0994897617548982,1.0,3.233920226841658,CAR,0.0,0.0,7.64925,statline_mc+recal_10_4b,0.0,8.995589320187328,0.0,0.0,0.0,1.82925,8.732254676858192,0.0515,0.6105,0.44775,4.082213502086191,0.01825,CPT,showdown,50.64583333333333,1.6224498467802508,True
00-0038102,Kenny Pickett,QB,CAR,11400,43716755,3.0509999999999997,3.0509999999999997,1.0400384303979038,1.0,3.17315838853303,ARI,0.0,0.0,9.82605,statline_mc+recal_10_4b,0.41974528030598957,8.354653400744478,4.9625,29.111082942420264,0.2055,0.44975,1.8974560799187603,0.01625,0.0,0.0,0.0,0.0,CPT,showdown,49.8125,1.5347717953881097,True
00-0041027,Jeremiyah Love,RB,ARI,11400,43716746,2.7325500000000003,2.7325500000000003,1.0994897617548982,1.0,3.0043974872481254,CAR,0.0,0.0,7.443300000000001,statline_mc+recal_10_4b,0.0,8.006095722648501,0.0,0.0,0.0,1.84625,8.274350983741353,0.058,0.5315,0.4025,3.494965597912818,0.0125,CPT,showdown,48.979166666666664,1.4518319124584187,True
00-0040187,Mitchell Evans,TE,CAR,7600,43716711,2.3255,2.3255,1.2737366136715011,1.0,2.9621097400758747,ARI,0.0,0.0,5.1334,statline_mc+recal_10_4b,0.0,8.254733354071409,0.0,0.0,0.0,0.0,0.0,0.0,1.428,0.98175,12.698597400758743,0.114,FLEX,showdown,54.8125,10.709732936576657,True
00-0040394,Anthony Tyus III,RB,CAR,11400,43716779,2.46675,2.46675,1.1940378460178651,1.0,2.9454133466180483,ARI,0.0,0.0,7.57785,statline_mc+recal_10_4b,0.0,8.079725556193523,0.0,0.0,0.0,1.7595,8.548556933947129,0.05825,0.451,0.332,3.2325320435065215,0.01575,CPT,showdown,48.14583333333333,1.3733741448510588,True
