player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available,injury_status
00-0040734,TreVeyon Henderson,RB,NE,7600,43782041,7.2816,7.2816,1.0,0.920921825576141,6.705746605418626,SEA,20.38,44.25,0.0,0.0,6.6539,statline_mc+recal_10_4b,1.1069880052767718,14.908299569768122,0.0,0.0,0.0,7.12325,26.89536580969074,0.20475,1.83375,1.38225,9.81460024449552,0.0525,FLEX,showdown,65.26639344262296,12.312579135912802,True,QUESTIONABLE
DST_NE,Patriots,DST,NE,3400,43782058,6.689531798999999,6.689531798999999,0.9345221176008276,0.9594387378066804,6.689531798999999,SEA,20.38,44.25,,,5.961,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLEX,showdown,64.1188524590164,11.40576240163674,True,ACTIVE
00-0037545,Rashid Shaheed,WR,SEA,6400,43782045,6.0801,6.0801,1.0,1.0790781744238591,6.560932510978775,NE,23.88,44.25,0.0,0.0,6.932,statline_mc+recal_10_4b,1.0934914985265642,14.467350760656164,0.0,0.0,0.0,0.0925,0.7673993985798129,0.00375,3.6085,2.21375,30.06442571120793,0.17825,FLEX,showdown,74.77459016393442,23.20809673953465,True,ACTIVE
00-0038476,Tommy DeVito,QB,NE,12000,43782103,6.971399999999999,6.971399999999999,1.0,0.920921825576141,6.420175056304215,SEA,20.38,44.25,0.0,0.0,10.4043,statline_mc+recal_10_4b,1.3736072275640971,13.605988275125346,8.05925,53.80775182181775,0.33075,1.7045,6.720566313300996,0.07025,0.0,0.0,0.0,0.0,CPT,showdown,38.54508196721312,0.438823309143175,True,ACTIVE
00-0033090,Hunter Henry,TE,NE,7200,43782115,6.610799999999999,6.610799999999999,1.0,0.920921825576141,6.087979136687364,SEA,20.38,44.25,0.0,0.0,7.89405,statline_mc+recal_10_4b,0.0823820324469535,14.257138187885015,0.0,0.0,0.0,0.0,0.0,0.0,2.468,1.6255,16.554027577915754,0.1245,CPT,showdown,43.87295081967213,0.6259610220210898,True,ACTIVE
00-0039299,George Holani,RB,SEA,6300,43782118,5.19495,5.19495,1.0,1.0790781744238591,5.605709633214323,NE,23.88,44.25,0.0,0.0,8.58345,statline_mc+recal_10_4b,0.4077667839131397,13.789767850899317,0.0,0.0,0.0,3.056,13.529365888823351,0.094,1.12075,0.8495,7.119531665938798,0.03875,CPT,showdown,54.11885245901639,1.2393572944586884,True,ACTIVE
00-0033908,Cooper Kupp,WR,SEA,5200,43782050,5.1585,5.1585,1.0,1.0790781744238591,5.566413944185268,NE,23.88,44.25,0.0,0.0,6.5138,statline_mc+recal_10_4b,0.5904005872017053,12.8146553465358,0.0,0.0,0.0,0.074,0.4430143918352723,0.002,3.0465,1.86575,25.611125050017407,0.15675,FLEX,showdown,73.2172131147541,20.91938160079889,True,ACTIVE
00-0037816,Romeo Doubs,WR,NE,6600,43782044,5.8996,5.8996,1.0,0.920921825576141,5.433072455678409,SEA,20.38,44.25,0.0,0.0,6.3488,statline_mc+recal_10_4b,0.5234284609241853,11.906109175995468,0.0,0.0,0.0,0.102,0.6206254964755223,0.00275,3.289,2.027,23.28759906030856,0.14775,FLEX,showdown,60.5122950819672,8.968169113677677,True,ACTIVE
00-0039793,AJ Barner,TE,SEA,4600,43782053,4.618,4.618,1.0,1.0790781744238591,4.983146973061845,NE,23.88,44.25,0.0,0.0,5.7235,statline_mc+recal_10_4b,0.2951209797294505,11.197543035201154,0.0,0.0,0.0,0.0,0.0,0.0,2.68325,1.7655,21.65896973061845,0.1625,FLEX,showdown,71.82377049180327,19.063583721300883,True,ACTIVE
00-0038608,Kayshon Boutte,WR,NE,5600,43782048,5.2908,5.2908,1.0,0.920921825576141,4.872407068076492,SEA,20.38,44.25,0.0,0.0,6.2263,statline_mc+recal_10_4b,0.3017155542314115,11.141394152116,0.0,0.0,0.0,0.0945,0.6011789102574739,0.00425,2.8535,1.7515,21.37289177050744,0.13275,FLEX,showdown,59.77459016393442,8.537781659192785,True,ACTIVE
00-0035704,Drew Lock,QB,SEA,7400,43782042,4.2369,4.2369,1.0,1.0790781744238591,4.571981048444881,NE,23.88,44.25,0.0,0.0,6.968,statline_mc+recal_10_4b,1.0326609749094429,9.666419258631128,7.40275,57.21232510980501,0.36125,1.5105,6.8923804405268,0.069,0.0,0.0,0.0,0.0,FLEX,showdown,60.67622950819672,9.066719436309157,True,ACTIVE
00-0033555,Mack Hollins,WR,NE,5400,43782120,4.9221,4.9221,1.0,0.920921825576141,4.532833659453663,SEA,20.38,44.25,0.0,0.0,8.22465,statline_mc+recal_10_4b,0.0,11.5957708351737,0.0,0.0,0.0,0.07625,0.3256837573960949,0.003,1.805,1.1175,13.288207305628326,0.0805,CPT,showdown,40.3483606557377,0.4948800581420329,True,ACTIVE
00-0038797,Emanuel Wilson,RB,SEA,6000,43782119,3.9729,3.9729,1.0,1.0790781744238591,4.287091557037343,NE,23.88,44.25,0.0,0.0,8.2665,statline_mc+recal_10_4b,0.1322372525034598,11.483010941310113,0.0,0.0,0.0,2.167,10.051867067348145,0.082,0.83675,0.62325,5.623743312900804,0.02675,CPT,showdown,43.38114754098361,0.605770510483111,True,QUESTIONABLE
00-0038476,Tommy DeVito,QB,NE,8000,43782040,4.6476,4.6476,1.0,0.920921825576141,4.28011670420281,SEA,20.38,44.25,0.0,0.0,6.9362,statline_mc+recal_10_4b,0.915738151709398,9.070658850083564,8.05925,53.80775182181775,0.33075,1.7045,6.720566313300996,0.07025,0.0,0.0,0.0,0.0,FLEX,showdown,42.56147540983606,2.710031427191551,True,ACTIVE
00-0033090,Hunter Henry,TE,NE,4800,43782052,4.4072,4.4072,1.0,0.920921825576141,4.058652757791576,SEA,20.38,44.25,0.0,0.0,5.2627,statline_mc+recal_10_4b,0.0549213549646356,9.504758791923344,0.0,0.0,0.0,0.0,0.0,0.0,2.468,1.6255,16.554027577915754,0.1245,FLEX,showdown,56.49590163934426,6.8614718917879705,True,ACTIVE
00-0039299,George Holani,RB,SEA,4200,43782055,3.4633,3.4633,1.0,1.0790781744238591,3.737139755476216,NE,23.88,44.25,0.0,0.0,5.7223,statline_mc+recal_10_4b,0.2718445226087598,9.19317856726621,0.0,0.0,0.0,3.056,13.529365888823351,0.094,1.12075,0.8495,7.119531665938798,0.03875,FLEX,showdown,66.16803278688525,13.075375433438968,True,ACTIVE
00-0040673,Jalen Milroe,QB,SEA,9000,43782110,2.88825,2.88825,1.0,1.0790781744238591,3.1167246973099845,NE,23.88,44.25,0.0,0.0,9.9342,statline_mc+recal_10_4b,0.3298029028182326,8.459259277453931,2.596,19.991776459321184,0.1265,1.2515,5.7114540650047525,0.0555,0.0,0.0,0.0,0.0,CPT,showdown,42.64344262295082,0.5766992446869283,True,ACTIVE
00-0033555,Mack Hollins,WR,NE,3600,43782057,3.2814,3.2814,1.0,0.920921825576141,3.0218891063024422,SEA,20.38,44.25,0.0,0.0,5.4831,statline_mc+recal_10_4b,0.0,7.730513890115799,0.0,0.0,0.0,0.07625,0.3256837573960949,0.003,1.805,1.1175,13.288207305628326,0.0805,FLEX,showdown,52.97131147540983,5.424627875046107,True,ACTIVE
00-0038797,Emanuel Wilson,RB,SEA,4000,43782056,2.6486,2.6486,1.0,1.0790781744238591,2.858061038024895,NE,23.88,44.25,0.0,0.0,5.511,statline_mc+recal_10_4b,0.0881581683356399,7.655340627540075,0.0,0.0,0.0,2.167,10.051867067348145,0.082,0.83675,0.62325,5.623743312900804,0.02675,FLEX,showdown,57.151639344262286,7.168079934611325,True,QUESTIONABLE
00-0035891,Cody White,WR,SEA,1200,43782132,2.55945,2.55945,1.0,1.0790781744238591,2.7618822421852234,NE,23.88,44.25,0.0,0.0,7.290000000000001,statline_mc+recal_10_4b,0.0,7.3781963324592,0.0,0.0,0.0,0.04125,0.3184973804963043,0.0015,0.9935,0.60675,8.634050900738519,0.05225,CPT,showdown,71.90573770491804,4.056762671750065,True,ACTIVE
00-0038752,Jake Bobo,WR,SEA,1800,43782130,2.55885,2.55885,1.0,1.0790781744238591,0.0,NE,23.88,44.25,0.0,0.0,7.350899999999999,statline_mc+recal_10_4b,0.0,7.431486933919063,0.0,0.0,0.0,0.0445,0.383251321203791,0.002,0.99625,0.61775,8.564755400031867,0.05,CPT,showdown,71.0860655737705,3.841029675476429,True,OUT
00-0040648,Tory Horton,WR,SEA,4200,43782123,2.55255,2.55255,1.0,1.0790781744238591,2.754466026229413,NE,23.88,44.25,0.0,0.0,7.3689,statline_mc+recal_10_4b,0.0,6.963406756886596,0.0,0.0,0.0,0.04325,0.2080540890271655,0.0015,0.99875,0.63275,8.382552752502253,0.05275,CPT,showdown,38.70901639344262,0.443645495048246,True,QUESTIONABLE
00-0040653,Ricky White III,WR,SEA,300,43782147,2.5488,2.5488,1.0,1.0790781744238591,2.750343525433612,NE,23.88,44.25,0.0,0.0,7.5084,statline_mc+recal_10_4b,0.0,7.20239193869478,0.0,0.0,0.0,0.047,0.4067103727462571,0.0015,0.99375,0.60925,8.326413130144493,0.05425,CPT,showdown,70.02049180327869,3.5776359171588195,True,ACTIVE
00-0037156,Irvin Charles,WR,SEA,300,43782145,2.54685,2.54685,1.0,1.0790781744238591,2.748260353926498,NE,23.88,44.25,0.0,0.0,7.3926,statline_mc+recal_10_4b,0.0,7.253681170146086,0.0,0.0,0.0,0.0435,0.2539652960514529,0.00125,1.004,0.6155,8.437770396791866,0.05425,CPT,showdown,69.20081967213115,3.3873822152699917,True,ACTIVE
00-0040895,Emmanuel Henderson Jr.,WR,SEA,300,43782149,2.5458,2.5458,1.0,1.0790781744238591,2.747051964015228,NE,23.88,44.25,0.0,0.0,7.4931,statline_mc+recal_10_4b,0.0,6.854288741679493,0.0,0.0,0.0,0.04075,0.2082324101166569,0.00125,0.99925,0.61925,8.62544734998486,0.05,CPT,showdown,68.3811475409836,3.207245940620981,True,ACTIVE
00-0041476,Rashad Rochelle,WR,SEA,300,43782141,2.50785,2.50785,1.0,1.0790781744238591,2.706245968638674,NE,23.88,44.25,0.0,0.0,7.554449999999999,statline_mc+recal_10_4b,0.0,6.928736500749327,0.0,0.0,0.0,0.0465,0.2743751442323868,0.00125,0.9555,0.578,8.394764646692106,0.05575,CPT,showdown,67.56147540983606,3.036689062503646,True,ACTIVE
00-0040621,Montorie Foster Jr.,WR,SEA,300,43782143,2.4375,2.4375,1.0,1.0790781744238591,2.630322948380325,NE,23.88,44.25,0.0,0.0,7.190999999999999,statline_mc+recal_10_4b,0.0,6.869074898072256,0.0,0.0,0.0,0.042,0.3620799220966696,0.00125,0.9715,0.59325,8.203406400438832,0.0475,CPT,showdown,66.16803278688525,2.7672986364179244,True,ACTIVE
00-0041123,Behren Morton,QB,NE,9000,43782109,2.57175,2.57175,1.0,0.920921825576141,2.368413756488116,SEA,20.38,44.25,0.0,0.0,9.73245,statline_mc+recal_10_4b,0.0835608093021782,7.328012249594719,1.983,13.183933809328868,0.0865,1.37925,5.318351519522561,0.05075,0.0,0.0,0.0,0.0,CPT,showdown,30.1844262295082,0.2513181830820531,True,ACTIVE
00-0041318,Kyle Dixon,WR,NE,300,43782148,2.5008,2.5008,1.0,0.920921825576141,2.303011059537746,SEA,20.38,44.25,0.0,0.0,7.049850000000001,statline_mc+recal_10_4b,0.0,5.918124008870757,0.0,0.0,0.0,0.05275,0.3260895086888247,0.002,0.88175,0.54525,6.654817554896148,0.045,CPT,showdown,52.561475409836056,1.1171354753252722,True,ACTIVE
00-0041317,Nick DeGennaro,WR,NE,300,43782144,2.4924,2.4924,1.0,0.920921825576141,2.295257483162807,SEA,20.38,44.25,0.0,0.0,6.9834,statline_mc+recal_10_4b,0.0,6.0200852352203125,0.0,0.0,0.0,0.05175,0.3302926891785117,0.003,0.90825,0.561,6.458923865240201,0.04475,CPT,showdown,51.74180327868852,1.0577277645874077,True,ACTIVE
00-0039397,Tejhaun Palmer,WR,NE,300,43782140,2.46285,2.46285,1.0,0.920921825576141,2.2680417242376145,SEA,20.38,44.25,0.0,0.0,6.9729,statline_mc+recal_10_4b,0.0,5.682254623869559,0.0,0.0,0.0,0.05075,0.2083577102278308,0.001,0.89175,0.5565,6.7419204513562665,0.041,CPT,showdown,50.92213114754097,1.0014792732755358,True,ACTIVE
00-0040974,Lance Mason,TE,SEA,300,43782153,2.09505,2.09505,1.0,1.0790781744238591,2.260650028556692,NE,23.88,44.25,0.0,0.0,6.5121,statline_mc+recal_10_4b,0.0,5.940895152869471,0.0,0.0,0.0,0.0,0.0,0.0,0.81975,0.53225,6.666000190377945,0.05075,CPT,showdown,59.77459016393441,1.806953204807833,True,ACTIVE
00-0033576,Eric Saubert,TE,SEA,900,43782133,2.0757,2.0757,1.0,1.0790781744238591,2.239824521067891,NE,23.88,44.25,0.0,0.0,6.43845,statline_mc+recal_10_4b,0.0,5.864732314413852,0.0,0.0,0.0,0.0,0.0,0.0,0.81125,0.53975,6.38716347378594,0.0525,CPT,showdown,58.954918032786885,1.7108619466935704,True,ACTIVE
00-0041322,Jimmy Kibble,WR,NE,300,43782150,2.41275,2.41275,1.0,0.920921825576141,0.0,SEA,20.38,44.25,0.0,0.0,6.859349999999999,statline_mc+recal_10_4b,0.0,5.471873216539103,0.0,0.0,0.0,0.04825,0.2665635493033062,0.002,0.8995,0.567,6.50133318143641,0.03625,CPT,showdown,48.46311475409836,0.85005328264232,True,OUT
00-0040067,Jacardia Wright,RB,SEA,300,43782136,2.05845,2.05845,1.0,1.0790781744238591,2.221286998455404,NE,23.88,44.25,0.0,0.0,6.8745,statline_mc+recal_10_4b,0.0,5.702504140430518,0.0,0.0,0.0,0.9745,4.404867598691271,0.03325,0.519,0.39525,3.451212391011422,0.017,CPT,showdown,57.3155737704918,1.533737686157145,True,ACTIVE
00-0040649,Robbie Ouzts,RB,SEA,300,43782138,2.05785,2.05785,1.0,1.0790781744238591,0.0,NE,23.88,44.25,0.0,0.0,6.86895,statline_mc+recal_10_4b,0.0,5.45583076718411,0.0,0.0,0.0,0.967,4.324805627938281,0.03175,0.54575,0.41425,3.5986079920236707,0.01475,CPT,showdown,56.49590163934426,1.4521756493052975,True,OUT
00-0041319,Cameron Dorner,WR,NE,300,43782146,2.40945,2.40945,1.0,0.920921825576141,2.218926838969636,SEA,20.38,44.25,0.0,0.0,6.815999999999999,statline_mc+recal_10_4b,0.0,5.506147300190238,0.0,0.0,0.0,0.048,0.292140107585072,0.00125,0.9075,0.559,6.71320548554583,0.034,CPT,showdown,46.00409836065573,0.7215232532647515,True,ACTIVE
00-0040570,Jeremiah Webb,WR,NE,300,43782151,2.40585,2.40585,1.0,0.920921825576141,0.0,SEA,20.38,44.25,0.0,0.0,6.973800000000001,statline_mc+recal_10_4b,0.0,5.584506731988882,0.0,0.0,0.0,0.0435,0.2031184398424839,0.00175,0.89225,0.547,6.84236396700492,0.0345,CPT,showdown,45.1844262295082,0.6831536502332887,True,OUT
00-0040131,Kyle Williams,WR,NE,3900,43782124,2.40105,2.40105,1.0,0.920921825576141,2.211119845341361,SEA,20.38,44.25,0.0,0.0,6.79125,statline_mc+recal_10_4b,0.0,5.685007701583817,0.0,0.0,0.0,0.05,0.2535770939009719,0.002,0.89625,0.5445,6.452221875041434,0.0405,CPT,showdown,23.21721311475409,0.157943744742125,True,ACTIVE
00-0038488,Brady Russell,RB,SEA,300,43782137,2.0334,2.0334,1.0,1.0790781744238591,2.194277210121728,NE,23.88,44.25,0.0,0.0,6.841950000000001,statline_mc+recal_10_4b,0.0,5.508518659326004,0.0,0.0,0.0,0.981,4.416305558018437,0.03325,0.512,0.389,3.424709176126412,0.0155,CPT,showdown,53.790983606557376,1.2125614352941327,True,ACTIVE
00-0038621,DeMario Douglas,WR,NE,4500,43782122,2.36985,2.36985,1.0,0.920921825576141,2.182381765337184,SEA,20.38,44.25,0.0,0.0,6.89625,statline_mc+recal_10_4b,0.0,5.3918045353442,0.0,0.0,0.0,0.0485,0.2201951146761867,0.0005,0.88625,0.536,6.50901665423837,0.0385,CPT,showdown,21.987704918032783,0.1455139139522007,True,ACTIVE
00-0037745,Velus Jones Jr.,RB,SEA,3000,43782126,2.01375,2.01375,1.0,1.0790781744238591,2.173071036404868,NE,23.88,44.25,0.0,0.0,6.8557500000000005,statline_mc+recal_10_4b,0.0,5.482239173420474,0.0,0.0,0.0,0.94825,4.28447396425159,0.0325,0.53575,0.3995,3.400166278447528,0.0145,CPT,showdown,34.61065573770492,0.337579745451583,True,ACTIVE
00-0040739,Elijah Arroyo,TE,SEA,2400,43782128,2.01255,2.01255,1.0,1.0790781744238591,2.171751439237565,NE,23.88,44.25,0.0,0.0,6.4632,statline_mc+recal_10_4b,0.0,5.4665465305848,0.0,0.0,0.0,0.0,0.0,0.0,0.81475,0.535,6.393342928250429,0.045,CPT,showdown,52.479508196721305,1.1110475586873905,True,ACTIVE
00-0040058,Nick Kallerup,TE,SEA,300,43782154,2.0064,2.0064,1.0,1.0790781744238591,2.1649888423602763,NE,23.88,44.25,0.0,0.0,6.437100000000001,statline_mc+recal_10_4b,0.0,5.666176730205415,0.0,0.0,0.0,0.0,0.0,0.0,0.81275,0.539,6.085758949068508,0.04925,CPT,showdown,51.65983606557376,1.0519635948885566,True,ACTIVE
00-0040563,Efton Chism III,WR,NE,1500,43782131,2.33415,2.33415,1.0,0.920921825576141,2.14957018003646,SEA,20.38,44.25,0.0,0.0,6.7653,statline_mc+recal_10_4b,0.0,5.324335834411385,0.0,0.0,0.0,0.052,0.2359784644358301,0.00125,0.87775,0.53625,6.106989402473903,0.04175,CPT,showdown,41.16803278688524,0.5226751981849982,True,ACTIVE
00-0041152,Kobe Prentice,WR,NE,300,43782142,2.31795,2.31795,1.0,0.920921825576141,2.1347023969760093,SEA,20.38,44.25,0.0,0.0,6.578850000000001,statline_mc+recal_10_4b,0.0,5.495042926487488,0.0,0.0,0.0,0.043,0.1408520818796104,0.00125,0.893,0.5525,6.297997231293785,0.03625,CPT,showdown,39.200819672131146,0.458432331534229,True,ACTIVE
00-0040673,Jalen Milroe,QB,SEA,6000,43782047,1.9255,1.9255,1.0,1.0790781744238591,2.077816464873323,NE,23.88,44.25,0.0,0.0,6.6228,statline_mc+recal_10_4b,0.2198686018788218,5.639506184969288,2.596,19.991776459321184,0.1265,1.2515,5.7114540650047525,0.0555,0.0,0.0,0.0,0.0,FLEX,showdown,42.64344262295082,2.724880877411554,True,ACTIVE
00-0041323,Myles Montgomery,RB,NE,300,43782139,2.1447,2.1447,1.0,0.920921825576141,0.0,SEA,20.38,44.25,0.0,0.0,6.68895,statline_mc+recal_10_4b,0.0,4.699916658115337,0.0,0.0,0.0,1.042,4.226789346685278,0.02775,0.47275,0.36025,2.7708475001471538,0.0155,CPT,showdown,35.51229508196721,0.358493688591182,True,OUT
00-0041129,Jam Miller,RB,NE,2100,43782129,2.1345,2.1345,1.0,0.920921825576141,1.965691780304864,SEA,20.38,44.25,0.0,0.0,6.6937500000000005,statline_mc+recal_10_4b,0.0,4.8854704253428745,0.0,0.0,0.0,1.0385,4.028070169318808,0.03075,0.481,0.36025,2.756541699380284,0.01475,CPT,showdown,34.118852459016395,0.3266910359221604,True,ACTIVE
00-0039757,Terrell Jennings,RB,NE,3600,43782125,2.1201,2.1201,1.0,0.920921825576141,1.952427644918852,SEA,20.38,44.25,0.0,0.0,6.61425,statline_mc+recal_10_4b,0.0,4.7330831153459005,0.0,0.0,0.0,1.0605,3.981021324030194,0.03225,0.4755,0.363,2.675162975428819,0.01375,CPT,showdown,19.692622950819672,0.1248691321526403,True,ACTIVE
00-0040568,Lan Larison,RB,NE,600,43782134,2.06745,2.06745,1.0,0.920921825576141,1.9039398783277517,SEA,20.38,44.25,0.0,0.0,6.551550000000001,statline_mc+recal_10_4b,0.0,4.6636551193130655,0.0,0.0,0.0,1.0625,4.352424933810209,0.0315,0.46775,0.35125,2.3330075883748003,0.011,CPT,showdown,33.053278688524586,0.3042886107835059,True,ACTIVE
00-0036187,Reggie Gilliam,RB,NE,300,43782135,2.06565,2.06565,1.0,0.920921825576141,1.902339858948693,SEA,20.38,44.25,0.0,0.0,6.48855,statline_mc+recal_10_4b,0.0,4.707188434968225,0.0,0.0,0.0,1.0245,4.062328676857945,0.02575,0.47275,0.358,2.759937049466673,0.01325,CPT,showdown,32.233606557377044,0.2881069657014806,True,ACTIVE
00-0038720,Julian Hill,TE,NE,300,43782159,2.01465,2.01465,1.0,0.920921825576141,0.0,SEA,20.38,44.25,0.0,0.0,6.1647,statline_mc+recal_10_4b,0.0,4.712086913921867,0.0,0.0,0.0,0.0,0.0,0.0,0.742,0.4945,5.106824664582602,0.0385,CPT,showdown,31.41393442622951,0.2727858379976326,True,OUT
