roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,method,recommendation_rank,worst_top25_score,avg_top25_score,score_gap_from_best,n_candidates_in_pool,n_real_stack_in_pool,generated_at_utc
QB,00-0034796,Lamar Jackson,QB,BAL,7500,27.11883479934497,3.62,DAL,44220218,8.4593,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.5075,0.5428125,0.0,130,71,2026-09-24T00:08:33.709049+00:00
DST,DST_CLE,Browns,DST,CLE,2500,6.970002619500001,2.79,CAR,44221416,5.8546,dst_simulated_session_10_4+recal_10_4b,worst_top25_realstack_v1,1,0.5075,0.5428125,0.0,130,71,2026-09-24T00:08:33.709049+00:00
RB1,00-0038134,Kenneth Walker III,RB,KC,7400,23.503218101169647,3.18,MIA,44220310,11.1998,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.5075,0.5428125,0.0,130,71,2026-09-24T00:08:33.709049+00:00
RB2,00-0032764,Derrick Henry,RB,BAL,7700,20.8945654835119,2.71,DAL,44220306,9.9733,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.5075,0.5428125,0.0,130,71,2026-09-24T00:08:33.709049+00:00
WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7900,21.384790890016586,2.71,NYJ,44220614,10.3146,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.5075,0.5428125,0.0,130,71,2026-09-24T00:08:33.709049+00:00
WR2,00-0038606,Parker Washington,WR,JAX,6000,16.048933872600887,2.67,NE,44220640,9.3083,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.5075,0.5428125,0.0,130,71,2026-09-24T00:08:33.709049+00:00
WR3,00-0041048,Ted Hurst III,WR,TB,3000,6.0586634071124745,2.02,MIN,44220812,7.0822,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.5075,0.5428125,0.0,130,71,2026-09-24T00:08:33.709049+00:00
TE,00-0034753,Mark Andrews,TE,BAL,4400,11.129731016550796,2.53,DAL,44221118,7.5109,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.5075,0.5428125,0.0,130,71,2026-09-24T00:08:33.709049+00:00
FLEX,00-0039066,Michael Mayer,TE,LV,3300,8.297191650191055,2.51,NO,44221144,5.8606,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.5075,0.5428125,0.0,130,71,2026-09-24T00:08:33.709049+00:00
QB,00-0034857,Josh Allen,QB,BUF,8000,27.65734298764802,3.46,LAC,44220217,8.5224,statline_mc+recal_10_4b,worst_top25_realstack_v1,2,0.48875,0.51,-0.018749999999999933,130,71,2026-09-24T00:08:33.709049+00:00
DST,DST_CAR,Panthers,DST,CAR,3000,8.624755908,2.87,CLE,44221406,6.0112,dst_simulated_session_10_4+recal_10_4b,worst_top25_realstack_v1,2,0.48875,0.51,-0.018749999999999933,130,71,2026-09-24T00:08:33.709049+00:00
RB1,00-0038134,Kenneth Walker III,RB,KC,7400,23.503218101169647,3.18,MIA,44220310,11.1998,statline_mc+recal_10_4b,worst_top25_realstack_v1,2,0.48875,0.51,-0.018749999999999933,130,71,2026-09-24T00:08:33.709049+00:00
RB2,00-0039139,Jahmyr Gibbs,RB,DET,8800,23.317448621234902,2.65,NYJ,44220302,9.5855,statline_mc+recal_10_4b,worst_top25_realstack_v1,2,0.48875,0.51,-0.018749999999999933,130,71,2026-09-24T00:08:33.709049+00:00
WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7900,21.384790890016586,2.71,NYJ,44220614,10.3146,statline_mc+recal_10_4b,worst_top25_realstack_v1,2,0.48875,0.51,-0.018749999999999933,130,71,2026-09-24T00:08:33.709049+00:00
WR2,00-0037261,Khalil Shakir,WR,BUF,4800,11.86559756846926,2.47,LAC,44220678,8.6218,statline_mc+recal_10_4b,worst_top25_realstack_v1,2,0.48875,0.51,-0.018749999999999933,130,71,2026-09-24T00:08:33.709049+00:00
WR3,00-0039451,Isaiah Williams,WR,NYJ,3300,6.832718763944301,2.07,DET,44220780,6.8837,statline_mc+recal_10_4b,worst_top25_realstack_v1,2,0.48875,0.51,-0.018749999999999933,130,71,2026-09-24T00:08:33.709049+00:00
