season,week,player_id,site_player_id,player_name,position,team,salary,final_projection,sigma,statline_p10,statline_p90,sigma_source,actual_points,joined
2021,1,00-0033873,1523,Patrick Mahomes II,QB,KC,8800,24.64104105860832,12.704069997446998,10.22940227432289,41.24839198724699,statline_mc,33.28,True
2021,1,00-0029701,1410,Ryan Tannehill,QB,TEN,7700,22.353962674458568,11.558310832397552,9.164008283397894,37.74954410343637,statline_mc,15.18,True
2021,1,00-0034857,1529,Josh Allen,QB,BUF,8100,20.66973072077549,11.276300622508511,8.053300205017441,35.446831501728944,statline_mc,17.2,True
2021,1,00-0035228,1537,Kyler Murray,QB,ARI,8400,20.43371881075233,11.248758782711276,8.113016495247336,35.250951956378096,statline_mc,34.56,True
2021,1,00-0026143,1301,Matt Ryan,QB,ATL,7300,18.91483581909273,10.332957998206872,7.403234917778882,32.270372206760584,statline_mc,7.36,True
2021,1,00-0029263,1412,Russell Wilson,QB,SEA,7800,18.896856223936258,10.118938193391497,7.71422973400795,32.37081824588768,statline_mc,27.06,True
2021,1,00-0034855,1528,Baker Mayfield,QB,CLE,7100,18.421075374520992,10.144222792679388,7.0927990210902,31.76603517121504,statline_mc,13.64,True
2021,1,00-0029604,1415,Kirk Cousins,QB,MIN,7200,17.645994619609212,9.73378578888187,6.8706427159291446,30.740124627305427,statline_mc,22.04,True
2021,1,00-0036971,1565,Trevor Lawrence,QB,JAX,6800,16.689763771007176,9.593536871544693,6.102802848537691,29.3932241862772,statline_mc,22.08,True
2021,1,00-0032764,5445,Derrick Henry,RB,TEN,8900,16.66928260045533,16.2127243148676,3.1907798831947343,34.98288371476856,statline_mc,9.2,True
2021,1,00-0036389,1554,Jalen Hurts,QB,PHI,7600,16.432182496660623,9.264182231436372,6.064263094539504,28.840940512874997,statline_mc,28.76,True
2021,1,00-0034869,1524,Sam Darnold,QB,CAR,6500,16.062945246936458,8.889854268816556,6.025984457001295,28.256714006348822,statline_mc,19.06,True
2021,1,00-0032950,1514,Carson Wentz,QB,IND,6500,16.021131025824513,9.0975839097532,5.852893910225784,28.035135527611967,statline_mc,18.34,True
2021,1,00-0033280,5536,Christian McCaffrey,RB,CAR,10400,15.555092047089843,15.095756006243272,2.7970520235745955,33.762950893172096,statline_mc,23.2,True
2021,1,00-0036442,1550,Joe Burrow,QB,CIN,7200,15.14685189597034,8.763190296582449,5.398435797078468,27.18989998901092,statline_mc,18.64,True
2021,1,00-0036972,1572,Mac Jones,QB,NE,6200,15.117083641446603,8.58840685876077,5.484902193517485,26.735866839057643,statline_mc,15.24,True
2021,1,00-0036355,1552,Justin Herbert,QB,LAC,7600,14.942712909370488,8.553189287953531,5.176969272091168,26.14239817185938,statline_mc,14.38,True
2021,1,00-0035676,5728,A.J. Brown,WR,TEN,7800,14.557625661626924,16.693439180210845,2.6327955758998622,31.162438018525137,statline_mc,12.9,True
2021,1,00-0033893,5559,Dalvin Cook,RB,MIN,9400,14.45659133610482,13.645932833181512,2.70035193414633,30.860104357670934,statline_mc,17.4,True
2021,1,00-0022924,1232,Ben Roethlisberger,QB,PIT,7100,14.382840414570616,8.459884519240216,4.906468980292918,25.33392825817539,statline_mc,12.02,True
2021,1,00-0033040,5485,Tyreek Hill,WR,KC,8500,14.269584158228875,15.770247523664096,2.686924571922914,30.36660088082045,statline_mc,31.6,True
2021,1,00-0031237,1439,Teddy Bridgewater,QB,DEN,6600,14.2451953232026,8.30420824748903,4.766895243902715,25.57356375785269,statline_mc,20.46,True
2021,1,00-0028118,1400,Tyrod Taylor,QB,HOU,6800,14.22040237419672,8.292146574498068,4.767328083776755,25.31730534099245,statline_mc,23.64,True
2021,1,00-0023459,1252,Aaron Rodgers,QB,GB,8000,13.908225490415164,8.17630792966003,4.685829981766652,25.001847485379503,statline_mc,3.32,True
2021,1,00-0030564,5206,DeAndre Hopkins,WR,ARI,8200,13.785112642877188,15.085441699482717,2.663920711743616,29.98730731308489,statline_mc,23.3,True
2021,1,00-0030506,4582,Travis Kelce,TE,KC,8500,13.60818952001537,13.46035511076841,2.81253348786762,28.266392946531344,statline_mc,22.6,True
2021,1,00-0037013,1566,Zach Wilson,QB,NYJ,6500,13.592541136179753,7.924567134771205,4.592384557836762,24.274414774177533,statline_mc,19.32,True
2021,1,00-0027944,5089,Julio Jones,WR,TEN,7000,13.31727751342436,14.549537110853633,2.563227461689581,29.52974510669526,statline_mc,4.4,True
2021,1,00-0031345,1452,Jimmy Garoppolo,QB,SF,6900,13.092925475040165,7.984424548944406,4.327936155858901,23.399976722508097,statline_mc,14.76,True
2021,1,00-0036360,5818,Clyde Edwards-Helaire,RB,KC,6800,12.575694028763673,12.425412695070245,2.0936338729072403,27.345786933348855,statline_mc,8.7,True
2021,1,00-0031588,5424,Stefon Diggs,WR,BUF,7900,12.33094404429768,13.867934506324646,2.234572081169606,27.01653285069627,statline_mc,11.4,True
2021,1,00-0033293,5543,Aaron Jones,RB,GB,7400,12.274370714021446,12.348389513067763,2.100388633975647,27.03393814281557,statline_mc,3.2,True
