player_id,player_name,position,season_avg,recent_form,games_played
00-0019596,T.Brady,QB,25.02,23.87625,3
00-0032187,D.Johnson,RB,24.914285714285715,28.001,7
00-0020531,D.Brees,QB,23.506666666666664,23.4384,6
00-0030496,L.Bell,RB,22.725,22.859782608695653,4
00-0026143,M.Ryan,QB,22.560000000000002,19.0524,7
00-0031408,M.Evans,WR,21.75,22.789,6
00-0029668,A.Luck,QB,21.40857142857143,23.1964,7
00-0028009,D.Murray,RB,21.357142857142858,19.688000000000002,7
00-0027939,C.Newton,QB,21.328000000000003,21.230200000000004,5
00-0027944,J.Jones,WR,21.0,22.912999999999997,7
00-0027942,A.Green,WR,20.785714285714285,21.567,7
00-0022924,B.Roethlisberger,QB,20.2,19.8444,6
00-0026498,M.Stafford,QB,20.165714285714284,20.160400000000003,7
00-0032144,M.Gordon,RB,19.942857142857143,22.017,7
00-0023459,A.Rodgers,QB,19.906666666666666,19.1576,6
00-0027793,A.Brown,WR,19.87142857142857,18.067999999999998,7
00-0033045,E.Elliott,RB,19.85,22.691000000000003,6
00-0029608,T.Hilton,WR,19.7,22.376,7
00-0025418,G.Olsen,TE,19.000000000000004,19.829,6
00-0027029,L.McCoy,RB,18.785714285714285,17.109,7
00-0031280,D.Carr,QB,18.16,14.986,7
00-0032966,C.Coleman,WR,18.15,19.691666666666666,2
00-0027973,A.Dalton,QB,17.985714285714288,19.584999999999994,7
00-0022921,L.Fitzgerald,WR,17.785714285714285,15.940999999999999,7
00-0031236,B.Cooks,WR,17.75,16.997,6
00-0033077,D.Prescott,QB,17.69,18.7428,6
00-0026986,M.Crabtree,WR,17.585714285714285,17.262,7
00-0028118,T.Taylor,QB,17.568571428571428,19.966600000000003,7
00-0030414,S.Ware,RB,17.450000000000003,16.896,6
00-0032268,M.Mariota,QB,17.30857142857143,20.2324,7
00-0022942,P.Rivers,QB,17.231428571428573,16.336,7
00-0030107,T.Riddick,RB,17.220000000000002,17.464,5
00-0031503,J.Winston,QB,17.123333333333335,16.712599999999995,6
00-0029293,M.Jones,WR,17.085714285714285,14.322999999999999,7
00-0031235,O.Beckham,WR,17.000000000000004,18.999,7
00-0029604,K.Cousins,QB,16.62,17.9546,7
00-0031045,C.Hyde,RB,16.416666666666668,14.206000000000001,6
00-0032784,K.Hogan,QB,16.4,16.4,1
00-0032765,M.Thomas,WR,16.283333333333335,18.810000000000002,6
00-0027974,C.Kaepernick,QB,16.1,15.77,2
00-0027325,L.Blount,RB,15.957142857142857,17.785999999999998,7
00-0030432,C.Michael,RB,15.933333333333335,16.580000000000002,6
00-0031544,A.Cooper,WR,15.914285714285715,15.692000000000002,7
00-0032058,T.Coleman,RB,15.914285714285715,14.123000000000001,7
00-0031382,J.Landry,WR,15.857142857142858,14.105,7
00-0031407,B.Bortles,QB,15.83,15.370000000000001,6
00-0031590,J.Ajayi,RB,15.733333333333334,21.971000000000004,6
00-0030663,W.Snead,WR,15.660000000000002,13.574000000000002,5
00-0028002,R.Cobb,WR,15.516666666666667,19.805,6
00-0027685,E.Sanders,WR,15.414285714285715,14.762,7
00-0031359,K.Benjamin,WR,15.4,13.774000000000001,6
00-0031285,D.Freeman,RB,15.385714285714286,15.774000000000001,7
00-0030472,J.Reed,TE,15.320000000000002,16.162,5
00-0026184,M.Forte,RB,15.242857142857142,14.118,7
00-0031381,D.Adams,WR,15.166666666666666,20.144000000000002,6
