player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available
00-0036389,Jalen Hurts,QB,PHI,7900,1554,23.299,23.299,1.3496981712070926,0.9620915032679739,30.25456932234508,KC,23.0,53.5,16.20990523805298,statline_mc,12.52493658910373,50.386461099561075,36.6875,374.1188661691881,2.25675,8.46125,57.45564675577554,0.41575,0.0,0.0,0.0,0.0,84.62972908461632,8.353553481255965,,classic,True
00-0029263,Russell Wilson,QB,SEA,7700,1412,22.7997,22.7997,1.2342235983338157,1.035294117647059,29.133075713337544,SF,24.75,52.0,14.66226851832231,statline_mc,12.52190597488602,49.21973798624838,35.08825,423.5244413639627,2.66025,3.66125,18.30348058779032,0.15425,0.0,0.0,0.0,0.0,82.03753431197039,7.027802233348375,,classic,True
00-0034857,Josh Allen,QB,BUF,8500,1529,18.3516,18.3516,1.1023544873365558,1.3908496732026143,28.13679724930821,HOU,33.25,47.5,14.954268762269262,statline_mc,11.94798781294175,46.99244674076776,33.68,339.7743097481751,2.58025,5.3505,36.66574859381208,0.32575,0.0,0.0,0.0,0.0,87.95112781954887,10.424028743789615,,classic,True
00-0031800,Taylor Heinicke,QB,WAS,7400,1487,19.0352,19.0352,1.330096006058851,1.0143790849673202,25.68266396901367,ATL,24.25,47.5,13.304464856516004,statline_mc,10.905967748473348,43.155526051327854,33.42225,344.1417288809522,2.26275,5.4095,27.464948137755833,0.282,0.0,0.0,0.0,0.0,70.8452679317341,3.3325005499389055,,classic,True
00-0032764,Derrick Henry,RB,TEN,10200,5445,17.8738,17.8738,1.3676814988290398,1.0457516339869282,25.56403936048291,NYJ,25.0,44.5,26.434656436363433,statline_mc,4.0042571528641995,55.78849811650457,0.0,0.0,0.0,23.2205,142.56256717067748,1.0655,3.382,2.6575,31.43032643415162,0.118,82.8156701277002,7.715286226755971,,classic,True
00-0033908,Cooper Kupp,WR,LA,8600,5552,18.3195,18.3195,1.1643301916835491,1.192156862745098,25.428675805591478,ARI,28.5,53.5,26.80397515912555,statline_mc,4.322500727117595,56.10026509342592,0.0,0.0,0.0,0.334,2.2071565457630924,0.01375,11.384,7.58075,147.7508515101517,1.109,97.8514739229025,20.151122917490046,,classic,True
00-0034855,Baker Mayfield,QB,CLE,7300,1528,18.5696,18.5696,1.2181854632125273,1.1084967320261438,25.07554941946694,MIN,26.5,52.0,12.894914015557752,statline_mc,10.50338182605341,42.05111284295819,34.8935,420.15474292252503,1.69175,3.282,17.356097025659395,0.17125,0.0,0.0,0.0,0.0,76.40082348728964,4.826363610623676,,classic,True
00-0033873,Patrick Mahomes II,QB,KC,8700,1523,22.9402,22.9402,0.8382598623393402,1.2758169934640522,24.53378235154606,PHI,30.5,53.5,12.47066306129009,statline_mc,10.348848019386104,41.2501570447222,38.52975,336.2637654286383,2.48875,3.44125,16.99981734400528,0.146,0.0,0.0,0.0,0.0,100.0,23.2748119266934,,classic,True
00-0026498,Matthew Stafford,QB,LA,7800,1340,23.7768,23.7768,0.835765041320473,1.192156862745098,23.690344976057748,ARI,28.5,53.5,12.386472817392207,statline_mc,9.953949373538155,40.32582091165906,37.264,338.361950547199,2.47,2.67175,8.69366954169787,0.09125,0.0,0.0,0.0,0.0,85.21989497553407,8.688770177453534,,classic,True
00-0036442,Joe Burrow,QB,CIN,7200,1550,18.7355,18.7355,1.1297975185440938,1.118954248366013,23.68529817977149,JAX,26.75,46.0,12.618850396195706,statline_mc,9.620672344598285,40.478070096267835,31.65625,321.35165843884187,2.51025,2.8185,13.48981842217809,0.12225,0.0,0.0,0.0,0.0,67.74585272705573,2.7103973771638605,,classic,True
