player_id,player_name,position,team,salary,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,injury_status
00-0036223,Jonathan Taylor,RB,IND,7700,24.922222222222224,24.257,1.0818579544973113,1.0,26.602466378551025,ATL,0.0,0.0,ACTIVE
00-0039040,De'Von Achane,RB,MIA,6200,19.22222222222222,18.443,1.0888301862126537,1.0,20.50551546298161,BUF,0.0,0.0,QUESTIONABLE
00-0035710,Daniel Jones,QB,IND,6000,19.684444444444445,19.199,0.8348715139896845,1.0,16.231340066233564,ATL,0.0,0.0,QUESTIONABLE
00-0036252,Michael Pittman Jr.,WR,IND,3700,16.233333333333334,18.882,0.8785030611365009,1.0,15.424463913080974,ATL,0.0,0.0,ACTIVE
00-0034383,Dalton Schultz,TE,HOU,3500,9.5625,11.615,1.381796443136495,1.0,14.631497087261565,JAX,0.0,0.0,ACTIVE
00-0036554,Nico Collins,WR,HOU,8000,13.028571428571428,13.17,1.0395360869190309,1.0,13.617180212862932,JAX,0.0,0.0,ACTIVE
00-0036613,Jaylen Waddle,WR,MIA,6000,13.768888888888888,14.4334,0.944468396999224,1.0,13.318085289298956,BUF,0.0,0.0,ACTIVE
00-0032268,Marcus Mariota,QB,WAS,5000,12.94,11.547391304347826,1.0481172121046145,1.0,12.83282815281391,DET,0.0,0.0,ACTIVE
00-0035719,Deebo Samuel Sr.,WR,WAS,5200,13.45,9.86,1.0899801672846423,1.0,12.703718849702506,DET,0.0,0.0,ACTIVE
00-0038997,Josh Downs,WR,IND,3300,10.5375,14.54,0.8785030611365009,1.0,11.0153302578253,ATL,0.0,0.0,ACTIVE
00-0040663,Harold Fannin Jr.,TE,CLE,2600,10.725,13.076,1.0326526894562846,0.8595988538681948,10.563681946310473,NYJ,19.0,39.5,QUESTIONABLE
00-0037664,Alec Pierce,WR,IND,3900,10.585714285714284,12.982,0.8785030611365009,1.0,10.35215457199522,ATL,0.0,0.0,QUESTIONABLE
00-0036212,Tua Tagovailoa,QB,MIA,6500,12.562222222222225,11.3702,0.7798073850928842,1.0,9.331339796024972,BUF,0.0,0.0,ACTIVE
00-0033885,David Njoku,TE,CLE,4600,9.285714285714286,11.077,1.0326526894562846,0.8595988538681948,9.037655446320674,NYJ,19.0,39.5,ACTIVE
00-0030061,Zach Ertz,TE,WAS,3300,9.566666666666668,8.906,0.938439295606069,1.0,8.66773814731619,DET,0.0,0.0,ACTIVE
00-0040583,Woody Marks,RB,HOU,3000,8.95,9.74,0.869204887179365,1.0,8.122719670691165,JAX,0.0,0.0,ACTIVE
00-0039880,Malik Washington,WR,MIA,3000,7.077777777777778,8.561,0.944468396999224,1.0,7.385165689402433,BUF,0.0,0.0,ACTIVE
00-0034775,Christian Kirk,WR,HOU,4700,6.875,7.141304347826087,1.0395360869190309,1.0,7.285227087402665,JAX,0.0,0.0,ACTIVE
00-0034791,Nick Chubb,RB,HOU,3000,7.8625,5.943,0.869204887179365,1.0,5.9999040349773605,JAX,0.0,0.0,ACTIVE
00-0038979,Cedric Tillman,WR,CLE,3800,8.4,6.460869565217391,0.937483832025524,0.8595988538681948,5.987890378466253,NYJ,19.0,39.5,ACTIVE
00-0040242,Jacory Croskey-Merritt,RB,WAS,3000,8.7,6.106000000000001,0.7774038362606889,1.0,5.7551205998378805,DET,0.0,0.0,ACTIVE
00-0040138,Jaylin Noel,WR,HOU,3000,4.575,6.316000000000001,1.0395360869190309,1.0,5.660793761317583,JAX,0.0,0.0,ACTIVE
00-0040130,Jayden Higgins,WR,HOU,3000,5.2375,5.456,1.0395360869190309,1.0,5.558139572734328,JAX,0.0,0.0,ACTIVE
00-0040164,Jaylin Lane,WR,WAS,3000,4.199999999999999,4.971,1.0899801672846423,1.0,4.998104057083727,DET,0.0,0.0,ACTIVE
00-0040128,Tyler Warren,TE,IND,4200,13.155555555555557,11.713,0.3934794684332533,1.0,4.892633010351415,ATL,0.0,0.0,ACTIVE
00-0036898,Davis Mills,QB,HOU,5000,3.7,4.113333333333334,1.1759185722762335,1.0,4.59392188902582,JAX,0.0,0.0,ACTIVE
00-0040162,Dylan Sampson,RB,CLE,3000,5.550000000000001,4.448,1.0667514524474024,0.8595988538681948,4.58397465110421,NYJ,19.0,39.5,ACTIVE
00-0040198,Ollie Gordon II,RB,MIA,3000,3.688888888888889,4.6530000000000005,1.0888301862126537,1.0,4.541450216127078,BUF,0.0,0.0,ACTIVE
00-0038611,Chris Rodriguez Jr.,RB,WAS,3000,5.066666666666666,6.421,0.7774038362606889,1.0,4.465278068175353,DET,0.0,0.0,QUESTIONABLE
00-0039874,Jaylen Wright,RB,MIA,3000,3.8,3.8,1.0888301862126537,1.0,4.137554707608084,BUF,0.0,0.0,ACTIVE
00-0036407,Jerry Jeudy,WR,CLE,5800,5.9625,3.829,0.937483832025524,0.8595988538681948,3.9452892297756095,NYJ,19.0,39.5,QUESTIONABLE
00-0037267,Jerome Ford,RB,CLE,8000,4.4875,3.4650000000000003,1.0667514524474024,0.8595988538681948,3.646135068304285,NYJ,19.0,39.5,ACTIVE
00-0039379,Jamari Thrash,WR,CLE,3500,2.957142857142857,3.87,0.937483832025524,0.8595988538681948,2.750860765401133,NYJ,19.0,39.5,ACTIVE
00-0036628,John Bates,TE,WAS,2500,2.65,2.965217391304348,0.938439295606069,1.0,2.6347703266853006,DET,0.0,0.0,ACTIVE
DST_CLE,Browns ,DST,CLE,3200,2.74,2.74,1.0,0.9546444444444444,2.615725777777778,JAX,16.5,40.5,ACTIVE
DST_HOU,Texans ,DST,HOU,3300,2.61,2.61,1.0,1.0013752913752916,2.613589510489511,BUF,21.62,44.5,ACTIVE
00-0036182,Nick Westbrook-Ikhine,WR,MIA,3100,2.275,3.178,0.944468396999224,1.0,2.575093084418384,BUF,0.0,0.0,ACTIVE
DST_DAL,Cowboys ,DST,DAL,2800,2.4,2.4,1.0,1.0110973815828186,2.4266337157987645,NYG,25.22,47.88,ACTIVE
DST_MIA,Dolphins ,DST,MIA,2900,1.91,1.91,1.0,1.0371872642221218,1.9810276746642528,LV,18.41,40.5,ACTIVE
DST_WAS,Commanders ,DST,WAS,3000,2.08,2.08,1.0,0.8842711951627429,1.8392840859385051,PHI,21.59,47.5,ACTIVE
00-0039912,Ben Sinnott,TE,WAS,2500,1.6333333333333335,1.825,0.938439295606069,1.0,1.622717948652161,DET,0.0,0.0,ACTIVE
DST_IND,Colts ,DST,IND,3100,1.59,1.59,1.0,0.8801946472019465,1.399509489051095,BAL,22.53,48.56,ACTIVE
00-0035021,Ashton Dulin,WR,IND,3000,1.5,1.174,0.8785030611365009,1.0,1.1745585927395017,ATL,0.0,0.0,ACTIVE
00-0037120,Tyler Goodson,RB,IND,3000,0.9,1.0347826086956522,1.0818579544973113,1.0,1.0465799777202252,ATL,0.0,0.0,ACTIVE
00-0040259,Gage Larvadain,WR,CLE,3000,1.125,1.0271739130434785,0.937483832025524,0.8595988538681948,0.8671754644063182,NYJ,19.0,39.5,ACTIVE
00-0037258,Dameon Pierce,RB,HOU,3000,0.8666666666666667,0.78125,0.869204887179365,1.0,0.7161886101654976,JAX,0.0,0.0,ACTIVE
00-0038710,Blake Whiteheart,RB,CLE,3000,0.6,0.8043478260869564,1.0667514524474024,0.8595988538681948,0.6438782592634439,NYJ,19.0,39.5,ACTIVE
00-0033217,Mo Alie-Cox,TE,IND,2700,1.8,1.376,0.3934794684332533,1.0,0.6248453958720063,ATL,0.0,0.0,ACTIVE
00-0037013,Zach Wilson,QB,MIA,5000,0.79,0.6583333333333334,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0038041,Jake Ferguson,TE,DAL,5200,14.266666666666667,10.568,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
