team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
GB,rush,0.5563,recent,36.2,16.57,0.4576,19.64
SF,rush,0.9392,recent,43.95,24.51,0.5577,19.44
PIT,recv,0.6592,recent,43.77,25.14,0.5743,18.63
CIN,pass,1.0,exclusive,62.83,36.81,0.5858,26.02
LV,pass,1.0,exclusive,53.6,31.61,0.5898,21.99
GB,recv,0.7542,recent,26.13,15.62,0.5979,10.51
NE,recv,1.0,recent,44.18,26.69,0.6042,17.49
LAC,rush,1.0,recent,44.04,27.06,0.6144,16.98
LAC,recv,0.7329,recent,38.82,23.9,0.6157,14.92
IND,recv,0.7562,recent,39.23,24.2,0.6169,15.03
TEN,recv,1.0,recent,49.27,30.94,0.6279,18.33
NE,pass,1.0,exclusive,44.25,27.99,0.6325,16.26
IND,rush,0.8968,recent,34.92,22.4,0.6415,12.52
LV,rush,1.0,recent,41.55,26.67,0.6418,14.88
SF,recv,1.0,recent,45.8,29.5,0.6442,16.3
CIN,recv,0.954,recent,51.69,33.34,0.6451,18.35
SF,pass,1.0,exclusive,46.64,30.5,0.654,16.14
CIN,rush,1.0,recent,41.81,27.7,0.6624,14.11
HOU,rush,1.0,recent,41.53,27.61,0.6649,13.92
HOU,recv,0.8865,recent,42.0,27.98,0.6662,14.02
PIT,pass,1.0,exclusive,60.54,40.36,0.6667,20.18
ARI,pass,1.0,exclusive,50.36,34.01,0.6754,16.35
NE,rush,0.9184,recent,41.55,28.3,0.6812,13.25
ARI,recv,0.8678,recent,41.25,28.32,0.6864,12.94
PIT,rush,1.0,recent,36.4,25.0,0.6868,11.4
TEN,rush,1.0,recent,39.09,26.85,0.6869,12.24
HOU,pass,1.0,exclusive,46.68,33.16,0.7103,13.52
GB,pass,1.0,exclusive,30.48,21.7,0.712,8.78
DET,pass,1.0,exclusive,55.78,40.39,0.7241,15.39
DET,recv,0.9462,recent,47.58,35.29,0.7416,12.3
TEN,pass,1.0,exclusive,43.86,32.87,0.7495,10.99
DET,rush,1.0,recent,30.93,23.51,0.7602,7.42
LV,recv,0.9457,recent,37.11,28.82,0.7766,8.29
LAC,pass,1.0,exclusive,41.93,34.19,0.8155,7.74
IND,pass,1.0,exclusive,30.14,33.32,1.1057,3.18
ARI,rush,0.9767,recent,22.87,23.81,1.0411,0.94
