player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available
00-0033537,Deshaun Watson,QB,CLE,6600,134515-54879,17.4401,17.4401,1.0,0.8936206168145332,15.58482410918402,CAR,19.83,42.11,2.0,1.0,7.514,statline_mc+recal_10_4b,5.608958449791549,26.87729581699307,30.033,213.14673872381508,1.33975,5.0755,20.34954560231417,0.16925,0.0,0.0,0.0,0.0,15.58482410918402,0.0,17.360000610351562,60.38182884382566,1.464846265546506,,classic,True
00-0036355,Justin Herbert,QB,LAC,7200,134515-69189,15.9737,15.9737,1.0,0.9661737783410789,15.433380003233575,BUF,21.44,50.17,2.0,1.0,7.462,statline_mc+recal_10_4b,5.955864368988408,26.60729306069958,33.4475,233.83506979416106,1.36125,2.98775,12.472272114671316,0.1115,0.0,0.0,0.0,0.0,15.433380003233575,0.0,12.06999969482422,78.6011274213075,5.382369843750387,,classic,True
00-0034869,Sam Darnold,QB,SEA,6900,134515-63589,13.6246,13.6246,1.0,1.0729756372341925,14.618818752133807,WAS,23.81,40.17,1.0,1.0,7.3966,statline_mc+recal_10_4b,5.618964270163874,25.275354471289443,29.37175,226.0296971655681,1.369,1.33375,5.951308655110816,0.06,0.0,0.0,0.0,0.0,14.618818752133807,0.0,0.5199999809265137,69.1851732748184,2.7471406724048233,,classic,True
00-0036223,Jonathan Taylor,RB,IND,8500,134515-89675,15.6874,15.6874,1.0,0.923813547387692,14.49225703960801,HOU,20.5,42.56,2.0,1.0,8.7426,statline_mc+recal_10_4b,2.3455996858329304,31.927345193878946,0.0,0.0,0.0,16.63525,64.71728581541893,0.741,3.4675,2.67625,19.899034580661137,0.0765,14.49225703960801,0.0,25.39999961853028,80.18443080357142,9.023132930904426,,classic,True
00-0038606,Parker Washington,WR,JAX,7100,134515-137516,13.1567,13.1567,1.0,1.099112801013942,14.46068070926104,NE,24.39,45.83,2.0,1.0,8.3453,statline_mc+recal_10_4b,2.7203161499074926,32.31059646165513,0.0,0.0,0.0,0.05175,0.3128364248461546,0.00175,9.12525,5.733,86.41397066776422,0.496,14.46068070926104,0.0,15.050000190734863,89.08754671926908,11.972214375999515,,classic,True
00-0039851,Drake Maye,QB,NE,7400,134515-152316,14.7197,14.7197,1.0,0.9661737783410789,14.22180088218561,JAX,21.44,45.83,2.0,1.0,7.4377,statline_mc+recal_10_4b,5.126990198533885,25.156772085327344,31.729,218.03223602493614,1.0965,3.7475,16.62261441188163,0.142,0.0,0.0,0.0,0.0,14.22180088218561,0.0,10.920000076293944,71.32311213680387,3.200383140298867,,classic,True
00-0030565,Geno Smith,QB,NYJ,6700,134515-26483,15.3532,15.3532,1.0,0.9224616251232222,14.162696752448163,DET,20.47,47.5,2.0,1.0,7.3821,statline_mc+recal_10_4b,5.300855590507497,24.688379568428402,34.13275,224.33596014330845,1.09675,3.784,12.545083467158252,0.125,0.0,0.0,0.0,0.0,14.162696752448163,0.0,12.4399995803833,67.75537227602905,2.4804300998474185,,classic,True
00-0038933,Dalton Kincaid,TE,BUF,5700,134515-145558,10.5518,10.5518,1.0,1.2942402478524153,13.65652379687657,LAC,28.72,50.17,2.0,1.0,7.9298,statline_mc+recal_10_4b,2.5517566630113926,28.980031252578407,0.0,0.0,0.0,0.0,0.0,0.0,6.77975,4.8715,83.04773796876569,0.498,13.65652379687657,0.0,18.75,97.87007160537482,14.004723981139811,,classic,True
00-0038597,Chase Brown,RB,CIN,7500,134515-89493,12.8784,12.8784,1.0,1.0351218138290383,13.330691632952748,PIT,22.97,42.44,2.0,1.0,8.4154,statline_mc+recal_10_4b,2.5961474904978563,27.97392911677563,0.0,0.0,0.0,15.588,63.39786636177135,0.4775,3.965,2.96075,21.490299967756126,0.1165,13.330691632952748,0.0,13.0,82.91004464285713,11.560275344089543,,classic,True
00-0035710,Daniel Jones,QB,IND,7100,134515-63519,13.5974,13.5974,1.0,0.923813547387692,12.561483657899828,HOU,20.5,42.56,2.0,1.0,7.3153,statline_mc+recal_10_4b,4.195610833577305,22.68575173739443,31.3625,189.36838127001403,1.18775,2.00025,7.972484070992668,0.0755,0.0,0.0,0.0,0.0,12.561483657899828,0.0,11.220000267028809,64.57106915859565,1.9758165379022419,,classic,True
00-0038128,Malik Willis,QB,MIA,6500,134515-87691,14.9142,14.9142,1.0,0.7899732432051825,11.781818723054254,KC,17.53,45.89,2.0,1.0,7.2513,statline_mc+recal_10_4b,3.988341619816669,20.845942459189935,30.793,189.2143944391465,0.91825,2.87475,9.88242945488391,0.10575,0.0,0.0,0.0,0.0,11.781818723054254,0.0,15.09000015258789,57.20811894673123,1.1677242096979608,,classic,True
00-0030506,Travis Kelce,TE,KC,5500,134515-33076,9.096,9.096,1.0,1.2780171806787777,11.624785605375942,MIA,28.36,45.89,2.0,1.0,7.2584,statline_mc+recal_10_4b,2.2166174666922203,25.198240430877714,0.0,0.0,0.0,0.0,0.0,0.0,6.462,4.4645,67.60535605375941,0.44875,11.624785605375942,0.0,16.100000381469727,92.49524840876944,10.208580881664627,,classic,True
00-0039491,Jalen Coker,WR,CAR,6200,134515-201547,11.5763,11.5763,1.0,1.004027601746233,11.622920564069762,CLE,22.28,42.11,2.0,1.0,7.5489,statline_mc+recal_10_4b,2.2500082368389998,25.542815821151226,0.0,0.0,0.0,0.066,0.48723704579258387,0.002,7.464,5.2695,65.17446859490505,0.411,11.622920564069762,0.0,21.700000762939453,78.82747612126245,6.547314278148618,,classic,True
00-0038120,Breece Hall,RB,NYJ,7100,134515-103064,12.0647,12.0647,1.0,0.9224616251232222,11.129231978349349,DET,20.47,47.5,2.0,1.0,7.7856,statline_mc+recal_10_4b,2.1832806059218948,23.387547012323534,0.0,0.0,0.0,13.6625,47.24181544959405,0.3705,3.58875,2.8405,23.318004333899445,0.0975,11.129231978349349,0.0,16.75,78.72130102040816,7.899344701737481,,classic,True
00-0023459,Aaron Rodgers,QB,PIT,6900,134515-6894,12.4004,12.4004,1.0,0.8773975496408957,10.880116099472719,CIN,19.47,42.44,2.0,1.0,7.2053,statline_mc+recal_10_4b,3.698596374333067,19.88979229142508,33.9405,172.6225929191399,0.97125,1.904,6.727123827071244,0.068,0.0,0.0,0.0,0.0,10.880116099472719,0.0,8.760000228881836,55.76479267554479,1.0533357160856411,,classic,True
00-0039040,De'Von Achane,RB,MIA,7900,134515-138820,13.5956,13.5956,1.0,0.7899732432051825,10.740149519469236,KC,17.53,45.89,2.0,1.0,7.3308,statline_mc+recal_10_4b,2.5076290770145455,22.440731925732702,0.0,0.0,0.0,13.83975,42.67014546647281,0.2465,5.5045,4.006,24.701349728219547,0.118,10.740149519469236,0.0,9.699999809265137,71.37276785714286,4.0500585487587495,,classic,True
00-0040666,Omarion Hampton,RB,LAC,7200,134515-174215,10.9846,10.9846,1.0,0.9661737783410789,10.613070296526985,BUF,21.44,50.17,2.0,1.0,7.8813,statline_mc+recal_10_4b,1.4252172749747658,24.428532305162012,0.0,0.0,0.0,14.0995,56.033100561159614,0.5015,1.9265,1.47625,11.136352404110228,0.05275,10.613070296526985,0.0,12.399999618530272,83.5985331632653,12.306954968214228,,classic,True
00-0040124,Tetairoa McMillan,WR,CAR,6800,134515-167620,10.5421,10.5421,1.0,1.004027601746233,10.584559002658638,CLE,22.28,42.11,2.0,1.0,7.3968,statline_mc+recal_10_4b,1.9849390454221414,23.514430562863424,0.0,0.0,0.0,0.0685,0.35224937191337613,0.0025,7.80075,4.62275,64.60459065467299,0.30125,10.584559002658638,0.0,11.800000190734863,79.00189472591362,6.6148349713268875,,classic,True
00-0036555,Chuba Hubbard,RB,CAR,6700,134515-87467,10.5253,10.5253,1.0,1.004027601746233,10.567658220066667,CLE,22.28,42.11,2.0,1.0,7.6634,statline_mc+recal_10_4b,1.7717050078342975,23.336376442357334,0.0,0.0,0.0,12.313,53.193102058738205,0.39275,2.39725,1.875,14.778480141928464,0.105,10.567658220066667,0.0,17.799999237060547,76.55054209183673,6.484651559531358,,classic,True
00-0031503,Jameis Winston,QB,NYG,6400,134515-24849,11.1724,11.1724,1.0,0.923813547387692,10.321216925550827,TEN,20.5,38.33,1.0,1.0,7.1386,statline_mc+recal_10_4b,3.3033814178742493,18.79774519568852,29.14025,153.99848696228418,0.9725,1.9855,7.4552744705945955,0.079,0.0,0.0,0.0,0.0,10.321216925550827,0.0,3.539999961853028,50.383531325665864,0.7171904810837576,,classic,True
00-0037261,Khalil Shakir,WR,BUF,5900,134515-86518,7.8495,7.8495,1.0,1.2942402478524153,10.159107187087546,LAC,28.72,50.17,2.0,1.0,7.3796,statline_mc+recal_10_4b,1.5624594365621123,23.748876704649106,0.0,0.0,0.0,0.04525,0.36223098429172207,0.00175,6.14475,3.732,62.40384088658373,0.3415,10.159107187087546,0.0,6.150000095367432,94.1972072259136,16.169985249509473,,classic,True
